# 0MPH-SA (Up to date)
# 2947 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.5 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019083,-9.541674,0.019188,9.594232,-0.000002,0,0.000002,3.141593,0.002006,1.00287,0.575786,1.867068,9.791353,1.658409,0,0,0,32.117071,8.45895,30.041752,0.113601,NaN,1.829056,NaN,0.000298,19487.114382,4.60824,-0,1.160452,-0.001861,1.080266,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011309,334.878113,0.002,0.042595
0.004,-0.000019,-0.018513,-9.25628,0.018615,9.307266,-0.000002,0,0.000002,3.141593,0.001946,0.972874,0.575786,1.867068,9.791353,1.652679,0,0,0,32.117021,8.458901,30.041703,0.1136,NaN,1.829055,NaN,0.000298,19477.63164,13.82472,-0,1.160623,-0.001525,1.080438,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011303,334.878113,0.002,0.050165
0.006,-0.000018,-0.017942,-8.970886,0.018041,9.0203,-0.000002,0,0.000002,3.141593,0.001886,0.942878,0.575786,1.867068,9.791353,1.646944,0,0,0,32.116972,8.458851,30.041655,0.1136,NaN,1.829053,NaN,0.000298,19468.788891,23.0412,-0,1.160783,-0.001231,1.080597,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011297,334.878113,0.002,0.056925
0.008,-0.000017,-0.017371,-8.68549,0.017467,8.733332,-0.000002,0,0.000002,3.141593,0.001826,0.912882,0.575786,1.867068,9.791353,1.641204,0,0,0,32.116922,8.458802,30.041606,0.1136,NaN,1.829052,NaN,0.000298,19460.587014,32.25768,-0,1.160931,-0.000977,1.080746,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011291,334.878113,0.002,0.063496
0.01,-0.000017,-0.0168,-8.400094,0.016893,8.446364,-0.000002,0,0.000002,3.141593,0.001766,0.882885,0.575786,1.867068,9.791353,1.63546,0,0,0,32.116873,8.458752,30.041557,0.1136,NaN,1.82905,NaN,0.000298,19453.026825,41.47416,-0,1.161068,-0.000759,1.080882,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011285,334.878113,0.002,0.069664
0.012,-0.000016,-0.016229,-8.114696,0.016319,8.159394,-0.000002,0,0.000002,3.141593,0.001706,0.852889,0.575786,1.867068,9.791353,1.629711,0,0,0,32.116823,8.458703,30.041508,0.1136,NaN,1.829049,NaN,0.000297,19446.109079,50.69064,-0,1.161193,-0.000576,1.081007,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011279,334.878113,0.002,0.075877
0.014,-0.000016,-0.015659,-7.829298,0.015745,7.872424,-0.000002,0,0.000002,3.141593,0.001646,0.822892,0.575786,1.867068,9.791353,1.623958,0,0,0,32.116774,8.458653,30.04146,0.1136,NaN,1.829047,NaN,0.000297,19439.834468,59.90712,-0,1.161307,-0.000425,1.081121,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011273,334.878113,0.002,0.082059
0.016,-0.000015,-0.015088,-7.543899,0.015171,7.585453,-0.000002,0,0.000002,3.141593,0.001586,0.792896,0.575786,1.867068,9.791353,1.618201,0,0,0,32.116724,8.458604,30.041411,0.1136,NaN,1.829046,NaN,0.000297,19434.20362,69.1236,-0,1.161409,-0.000302,1.081223,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011267,334.878113,0.002,0.088072
0.018,-0.000015,-0.014517,-7.258499,0.014597,7.298481,-0.000002,0,0.000002,3.141593,0.001526,0.762899,0.575786,1.867068,9.791353,1.612442,0,0,0,32.116675,8.458554,30.041362,0.1136,NaN,1.829044,NaN,0.000297,19429.217102,78.34008,-0,1.161499,-0.000206,1.081313,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011261,334.878113,0.002,0.093461
0.02,-0.000014,-0.013946,-6.973098,0.014023,7.011508,-0.000001,0,0.000001,3.141593,0.001466,0.732902,0.575786,1.867068,9.791353,1.606679,0,0,0,32.116625,8.458505,30.041313,0.1136,NaN,1.829043,NaN,0.000297,19424.875415,87.55656,-0,1.161578,-0.000132,1.081392,0.009751,0.070434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,0.1,279.056292,85630.011255,334.878113,0.002,0.101458
