# 10MPH-SA-45DEG-HOT (Up to date)
# 3012 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.01908,-9.539999,0.019185,9.592548,-0.000002,0,0.000002,3.141593,0.002005,1.002694,0.575786,1.867068,9.791353,1.470499,0,0,0,31.7431,8.45895,29.625626,0.111665,NaN,1.818856,NaN,0.01203,656325.623365,4.60824,0.000207,0.51725,0.001235,0.436919,0.009886,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.316685,318.289739,84555.222678,358.653582,0.002,0.002456
0.004,-0.000019,-0.018502,-9.251243,0.018604,9.302202,-0.000002,0,0.000002,3.141593,0.001945,0.972345,0.575786,1.867068,9.791353,1.470379,0,0,0,31.74305,8.458901,29.625577,0.111665,NaN,1.818855,NaN,0.011992,654228.323529,13.82472,0.000207,0.517539,0.00124,0.437208,0.009885,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.302839,318.289739,84555.222677,358.653582,0.002,0.003111
0.006,-0.000018,-0.017925,-8.962486,0.018024,9.011854,-0.000002,0,0.000002,3.141593,0.001884,0.941995,0.575786,1.867068,9.791353,1.470258,0,0,0,31.743001,8.458851,29.625527,0.111665,NaN,1.818853,NaN,0.011953,652131.033218,23.0412,0.000206,0.51783,0.001245,0.437499,0.009885,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.288992,318.289739,84555.222676,358.653582,0.002,0.003757
0.008,-0.000017,-0.017347,-8.673728,0.017443,8.721506,-0.000002,0,0.000002,3.141593,0.001823,0.911646,0.575786,1.867068,9.791353,1.470136,0,0,0,31.742951,8.458802,29.625477,0.111665,NaN,1.818852,NaN,0.011915,650033.752524,32.25768,0.000206,0.518121,0.00125,0.437791,0.009885,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.275146,318.289739,84555.222675,358.653582,0.002,0.004401
0.01,-0.000017,-0.01677,-8.38497,0.016862,8.431156,-0.000002,0,0.000002,3.141593,0.001763,0.881296,0.575786,1.867068,9.791353,1.470014,0,0,0,31.742902,8.458752,29.625428,0.111664,NaN,1.81885,NaN,0.011877,647936.48154,41.47416,0.000205,0.518414,0.001255,0.438085,0.009885,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.2613,318.289739,84555.222674,358.653582,0.002,0.00479
0.012,-0.000016,-0.016192,-8.09621,0.016282,8.140806,-0.000002,0,0.000002,3.141593,0.001702,0.850946,0.575786,1.867068,9.791353,1.46989,0,0,0,31.742852,8.458703,29.625378,0.111664,NaN,1.818849,NaN,0.011838,645839.220361,50.69064,0.000205,0.518709,0.00126,0.438379,0.009884,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.247454,318.289739,84555.222673,358.653582,0.002,0.005161
0.014,-0.000016,-0.015615,-7.807449,0.015701,7.850455,-0.000002,0,0.000002,3.141593,0.001641,0.820596,0.575786,1.867068,9.791353,1.469766,0,0,0,31.742803,8.458653,29.625328,0.111664,NaN,1.818847,NaN,0.0118,643741.969083,59.90712,0.000204,0.519004,0.001266,0.438675,0.009884,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.233608,318.289739,84555.222672,358.653582,0.002,0.005525
0.016,-0.000015,-0.015037,-7.518688,0.01512,7.560103,-0.000002,0,0.000002,3.141593,0.00158,0.790246,0.575786,1.867068,9.791353,1.469641,0,0,0,31.742753,8.458604,29.625278,0.111664,NaN,1.818846,NaN,0.011761,641644.727802,69.1236,0.000204,0.519301,0.001271,0.438972,0.009884,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.219762,318.289739,84555.222671,358.653582,0.002,0.005887
0.018,-0.000014,-0.01446,-7.229926,0.01454,7.26975,-0.000002,0,0.000002,3.141593,0.00152,0.759896,0.575786,1.867068,9.791353,1.469516,0,0,0,31.742704,8.458554,29.625229,0.111664,NaN,1.818844,NaN,0.011723,639547.496616,78.34008,0.000203,0.519599,0.001276,0.439271,0.009884,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.205916,318.289739,84555.222669,358.653582,0.002,0.006252
0.02,-0.000014,-0.013882,-6.941162,0.013959,6.979396,-0.000001,0,0.000001,3.141593,0.001459,0.729546,0.575786,1.867068,9.791353,1.469389,0,0,0,31.742654,8.458505,29.625179,0.111664,NaN,1.818843,NaN,0.011684,637450.275626,87.55656,0.000203,0.519899,0.001282,0.43957,0.009883,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.19207,318.289739,84555.222668,358.653582,0.002,0.006612
0.022,-0.000013,-0.013305,-6.652398,0.013378,6.689041,-0.000001,0,0.000001,3.141593,0.001398,0.699195,0.575786,1.867068,9.791353,1.469262,0,0,0,31.742605,8.458455,29.625129,0.111664,NaN,1.818841,NaN,0.011646,635353.064931,96.77304,0.000202,0.520199,0.001287,0.439871,0.009883,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.178224,318.289739,84555.222667,358.653582,0.002,0.006975
0.024,-0.000013,-0.012727,-6.363633,0.012797,6.398686,-0.000001,0,0.000001,3.141593,0.001338,0.668845,0.575786,1.867068,9.791353,1.469134,0,0,0,31.742555,8.458406,29.625079,0.111664,NaN,1.81884,NaN,0.011607,633255.864635,105.98952,0.000202,0.520501,0.001293,0.440174,0.009883,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,4.164378,318.289739,84555.222666,358.653582,0.002,0.007339
0.026,-0.000006,-0.005529,-2.76453,0.00556,2.779758,-0.000001,0,0.000001,3.141593,0.000581,0.290564,0.575786,1.867068,9.791353,1.467409,0,0,0,31.74193,8.457781,29.624452,0.111663,NaN,1.81882,NaN,0.011571,631262.374749,220.85919,0.000211,0.520789,0.001359,0.440462,0.009883,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,4.150532,318.289739,84555.222653,358.653582,0.002,0.007703
0.028,0.000041,0.041393,20.697282,0.041621,20.811289,0.000004,0,0.000004,0,0.004351,2.175372,0.575786,1.867068,9.791353,1.456081,0,0,0,31.74073,8.45658,29.623245,0.111662,NaN,1.818784,NaN,0.011547,629937.301351,969.648,0.000285,0.520982,0.001844,0.440655,0.009882,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,4.136686,318.289739,84555.222567,358.653582,0.002,0.008069
0.03,0.000219,0.136334,47.471387,0.137085,47.732873,0.000023,0,0.000023,0,0.014329,4.989444,0.575786,1.867068,9.791353,1.433135,0,0,0,31.739529,8.45538,29.622039,0.11166,NaN,1.818747,NaN,0.011542,629659.151861,1824.09,0.000485,0.521022,0.00314,0.440695,0.009882,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000017,0.15748,0.019478,1.466077,0,4.122839,318.289738,84555.22224,358.653581,0.002,0.00847
0.032,0.000638,0.282495,73.08416,0.284051,73.486728,0.000067,0,0.000067,0,0.029691,7.681455,0.575786,1.867068,9.791353,1.397925,0,0,0,31.737419,8.45327,29.619919,0.111658,NaN,1.818682,NaN,0.011566,631012.985866,2641.330208,0.000942,0.520826,0.006077,0.440498,0.009883,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000035,0.15748,0.019478,1.466077,0,4.108993,318.289737,84555.221471,358.653581,0.002,0.008839
0.034,0.001386,0.465902,91.708248,0.468468,92.213403,0.000146,0,0.000146,0,0.048968,9.638925,0.575786,1.867068,9.791353,1.354122,0,0,0,31.734399,8.45025,29.616884,0.111654,NaN,1.818589,NaN,0.011627,634345.507683,3235.359667,0.00182,0.520344,0.011611,0.440016,0.009883,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000057,0.15748,0.019478,1.466077,0,4.095147,318.289736,84555.220097,358.65358,0.002,0.009204
0.036,0.002536,0.684231,109.169884,0.688,109.771222,0.000267,0,0.000267,0,0.071916,11.474217,0.575786,1.867068,9.791353,1.302796,0,0,0,31.731379,8.44723,29.613848,0.111651,NaN,1.818496,NaN,0.011736,640274.729076,3792.187333,0.003381,0.519496,0.021175,0.439167,0.009884,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000084,0.15748,0.019478,1.466077,0,4.081301,318.289733,84555.217984,358.653578,0.002,0.009571
0.038,0.004159,0.937977,126.88143,0.943144,127.580329,0.000437,0,0.000437,0,0.098585,13.335776,0.575786,1.867068,9.791353,1.244621,0,0,0,31.727867,8.443718,29.610317,0.111646,NaN,1.818388,NaN,0.011907,649572.637822,4356.815417,0.006004,0.518186,0.03653,0.437856,0.009885,0.070445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000116,0.15748,0.019478,1.466077,0,4.067455,318.28973,84555.215004,358.653576,0.002,0.009937
0.04,0.006322,1.225689,143.866398,1.232441,144.658855,0.000665,0,0.000665,0,0.128825,15.120968,0.575786,1.867068,9.791353,1.181002,0,0,0,31.723705,8.439556,29.606133,0.111641,NaN,1.818261,NaN,0.012152,662959.542946,4898.042438,0.010143,0.516342,0.059244,0.43601,0.009886,0.070446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000151,0.15748,0.019478,1.466077,0,4.053609,318.289725,84555.21103,358.653573,0.002,0.010294
0.042,0.009069,1.521457,147.894325,1.529837,148.708968,0.000953,0,0.000953,0,0.159912,15.54432,0.575786,1.867068,9.791353,1.118504,0,0,0,31.719386,8.435236,29.601788,0.111636,NaN,1.818128,NaN,0.012454,679455.227112,5025.8485,0.015781,0.514137,0.087759,0.433802,0.009888,0.070446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000188,0.15748,0.019478,1.466077,0,4.039763,318.289719,84555.205984,358.65357,0.002,0.010654
