# 15MPH-45DEG-SA (Up to date)
# 2991 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (28.8 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019076,-9.538182,0.019181,9.590721,-0.000002,0,0.000002,3.141593,0.002005,1.002503,0.575786,1.867068,9.791353,1.468831,0,0,0,31.345975,8.45895,27.788205,0.113025,NaN,1.848156,NaN,0.020682,1351897.073375,4.60824,0.000575,0.459511,0.001151,0.37898,0.010064,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.927929,279.056292,85630.011309,334.878113,0.002,0.003197
0.004,-0.000018,-0.018492,-9.245768,0.018593,9.296696,-0.000002,0,0.000002,3.141593,0.001944,0.971769,0.575786,1.867068,9.791353,1.468754,0,0,0,31.345925,8.458901,27.788158,0.113025,NaN,1.848154,NaN,0.020623,1348035.22326,13.82472,0.000573,0.45972,0.001154,0.379189,0.010064,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.908085,279.056292,85630.011303,334.878113,0.002,0.003819
0.006,-0.000018,-0.017907,-8.953352,0.018005,9.00267,-0.000002,0,0.000002,3.141593,0.001882,0.941035,0.575786,1.867068,9.791353,1.468677,0,0,0,31.345876,8.458851,27.788111,0.113025,NaN,1.848153,NaN,0.020564,1344173.381177,23.0412,0.000571,0.459929,0.001157,0.379399,0.010064,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.88824,279.056292,85630.011297,334.878113,0.002,0.004427
0.008,-0.000017,-0.017322,-8.660936,0.017417,8.708643,-0.000002,0,0.000002,3.141593,0.001821,0.910301,0.575786,1.867068,9.791353,1.468599,0,0,0,31.345826,8.458802,27.788064,0.113024,NaN,1.848151,NaN,0.020505,1340311.547196,32.25768,0.00057,0.460139,0.001161,0.379609,0.010063,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.868395,279.056292,85630.01129,334.878113,0.002,0.005083
0.01,-0.000017,-0.016737,-8.368519,0.016829,8.414615,-0.000002,0,0.000002,3.141593,0.001759,0.879567,0.575786,1.867068,9.791353,1.468521,0,0,0,31.345777,8.458752,27.788017,0.113024,NaN,1.84815,NaN,0.020446,1336449.721387,41.47416,0.000568,0.46035,0.001164,0.37982,0.010063,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.84855,279.056292,85630.011284,334.878113,0.002,0.005666
0.012,-0.000016,-0.016152,-8.076101,0.016241,8.120586,-0.000002,0,0.000002,3.141593,0.001698,0.848832,0.575786,1.867068,9.791353,1.468442,0,0,0,31.345727,8.458703,27.78797,0.113024,NaN,1.848148,NaN,0.020387,1332587.90382,50.69064,0.000566,0.460561,0.001167,0.380033,0.010063,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.828706,279.056292,85630.011278,334.878113,0.002,0.006245
0.014,-0.000016,-0.015567,-7.783682,0.015653,7.826556,-0.000002,0,0.000002,3.141593,0.001636,0.818098,0.575786,1.867068,9.791353,1.468363,0,0,0,31.345678,8.458653,27.787923,0.113024,NaN,1.848147,NaN,0.020328,1328726.094567,59.90712,0.000564,0.460774,0.00117,0.380245,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.808861,279.056292,85630.011272,334.878113,0.002,0.006858
0.016,-0.000015,-0.014983,-7.491262,0.015065,7.532526,-0.000002,0,0.000002,3.141593,0.001575,0.787363,0.575786,1.867068,9.791353,1.468284,0,0,0,31.345628,8.458604,27.787876,0.113024,NaN,1.848145,NaN,0.020268,1324864.2937,69.1236,0.000563,0.460987,0.001173,0.380459,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.789016,279.056292,85630.011266,334.878113,0.002,0.007455
0.018,-0.000014,-0.014398,-7.198841,0.014477,7.238494,-0.000002,0,0.000002,3.141593,0.001513,0.756629,0.575786,1.867068,9.791353,1.468204,0,0,0,31.345579,8.458554,27.787829,0.113024,NaN,1.848144,NaN,0.020209,1321002.501293,78.34008,0.000561,0.461201,0.001176,0.380674,0.010062,0.070466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.769172,279.056292,85630.011259,334.878113,0.002,0.008068
0.02,-0.000014,-0.013813,-6.906419,0.013889,6.944462,-0.000001,0,0.000001,3.141593,0.001452,0.725894,0.575786,1.867068,9.791353,1.468124,0,0,0,31.345529,8.458505,27.787782,0.113024,NaN,1.848142,NaN,0.02015,1317140.717419,87.55656,0.000559,0.461416,0.00118,0.380889,0.010061,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.749327,279.056292,85630.011253,334.878113,0.002,0.008688
