# 15MPH-HIGH (Up to date)
# 3035 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (30.5 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019075,-9.537694,0.01918,9.59023,-0.000002,0,0.000002,3.141593,0.002005,1.002452,0.575786,1.867068,9.788535,1.468644,0,0,0,31.8471,8.45895,29.722842,0.111926,NaN,1.817664,NaN,0.021415,1127997.676918,4.60824,0.000562,0.472162,0.001189,0.391755,0.009937,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.432768,299.033007,75391.427405,346.984002,0.002,0.002135
0.004,-0.000018,-0.0185,-9.249881,0.018602,9.300832,-0.000002,0,0.000002,3.141593,0.001944,0.972202,0.575786,1.867068,9.788535,1.46857,0,0,0,31.84705,8.458901,29.722792,0.111926,NaN,1.817663,NaN,0.021385,1126406.05852,13.82472,0.000561,0.47227,0.001192,0.391864,0.009937,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.422224,299.033007,75391.427403,346.984002,0.002,0.002701
0.006,-0.000018,-0.017924,-8.962067,0.018023,9.011432,-0.000002,0,0.000002,3.141593,0.001884,0.941951,0.575786,1.867068,9.788535,1.468496,0,0,0,31.847001,8.458851,29.722742,0.111926,NaN,1.817661,NaN,0.021355,1124814.446327,23.0412,0.000561,0.472379,0.001195,0.391972,0.009937,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.41168,299.033007,75391.427401,346.984002,0.002,0.003166
0.008,-0.000017,-0.017349,-8.674252,0.017444,8.722032,-0.000002,0,0.000002,3.141593,0.001823,0.911701,0.575786,1.867068,9.788535,1.468421,0,0,0,31.846951,8.458802,29.722693,0.111926,NaN,1.817659,NaN,0.021325,1123222.840366,32.25768,0.000561,0.472487,0.001198,0.392081,0.009937,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.401136,299.033007,75391.427399,346.984002,0.002,0.003598
0.01,-0.000017,-0.016773,-8.386436,0.016865,8.432631,-0.000002,0,0.000002,3.141593,0.001763,0.88145,0.575786,1.867068,9.788535,1.468347,0,0,0,31.846902,8.458752,29.722643,0.111926,NaN,1.817658,NaN,0.021294,1121631.240662,41.47416,0.000561,0.472596,0.001201,0.39219,0.009937,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.390592,299.033007,75391.427398,346.984002,0.002,0.004039
0.012,-0.000016,-0.016197,-8.098619,0.016286,8.143229,-0.000002,0,0.000002,3.141593,0.001702,0.851199,0.575786,1.867068,9.788535,1.468272,0,0,0,31.846852,8.458703,29.722593,0.111926,NaN,1.817656,NaN,0.021264,1120039.647242,50.69064,0.00056,0.472705,0.001203,0.3923,0.009937,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.380048,299.033007,75391.427396,346.984002,0.002,0.004462
0.014,-0.000016,-0.015622,-7.810802,0.015708,7.853826,-0.000002,0,0.000002,3.141593,0.001642,0.820948,0.575786,1.867068,9.788535,1.468197,0,0,0,31.846803,8.458653,29.722543,0.111926,NaN,1.817655,NaN,0.021234,1118448.060133,59.90712,0.00056,0.472814,0.001206,0.392409,0.009937,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.369504,299.033007,75391.427394,346.984002,0.002,0.004881
0.016,-0.000015,-0.015046,-7.522983,0.015129,7.564422,-0.000002,0,0.000002,3.141593,0.001581,0.790697,0.575786,1.867068,9.788535,1.468122,0,0,0,31.846753,8.458604,29.722493,0.111926,NaN,1.817653,NaN,0.021204,1116856.479362,69.1236,0.00056,0.472924,0.001209,0.392519,0.009936,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.35896,299.033007,75391.427392,346.984002,0.002,0.005333
0.018,-0.000014,-0.01447,-7.235164,0.01455,7.275017,-0.000002,0,0.000002,3.141593,0.001521,0.760446,0.575786,1.867068,9.788535,1.468046,0,0,0,31.846704,8.458554,29.722443,0.111926,NaN,1.817652,NaN,0.021174,1115264.904956,78.34008,0.00056,0.473034,0.001212,0.392629,0.009936,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.348416,299.033007,75391.42739,346.984002,0.002,0.005749
0.02,-0.000014,-0.013895,-6.947344,0.013971,6.985612,-0.000001,0,0.000001,3.141593,0.00146,0.730195,0.575786,1.867068,9.788535,1.467971,0,0,0,31.846654,8.458505,29.722394,0.111926,NaN,1.81765,NaN,0.021143,1113673.336943,87.55656,0.000559,0.473143,0.001215,0.392739,0.009936,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.337872,299.033007,75391.427388,346.984002,0.002,0.006195
0.022,-0.000013,-0.013319,-6.659523,0.013392,6.696205,-0.000001,0,0.000001,3.141593,0.0014,0.699944,0.575786,1.867068,9.788535,1.467895,0,0,0,31.846605,8.458455,29.722344,0.111926,NaN,1.817649,NaN,0.021113,1112081.775348,96.77304,0.000559,0.473253,0.001218,0.392849,0.009936,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.327328,299.033007,75391.427387,346.984002,0.002,0.006619
0.024,-0.000013,-0.012743,-6.371701,0.012814,6.406798,-0.000001,0,0.000001,3.141593,0.001339,0.669693,0.575786,1.867068,9.788535,1.467819,0,0,0,31.846555,8.458406,29.722294,0.111926,NaN,1.817647,NaN,0.021083,1110490.220201,105.98952,0.000559,0.473364,0.001221,0.39296,0.009936,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.316784,299.033007,75391.427385,346.984002,0.002,0.00705
0.026,-0.000006,-0.005569,-2.784352,0.0056,2.799689,-0.000001,0,0.000001,3.141593,0.000585,0.292647,0.575786,1.867068,9.788535,1.466839,0,0,0,31.84593,8.457781,29.721664,0.111925,NaN,1.817628,NaN,0.021055,1109002.73829,220.85919,0.000573,0.473467,0.001256,0.393063,0.009936,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,7.30624,299.033007,75391.427362,346.984002,0.002,0.00747
0.028,0.000041,0.041201,20.600836,0.041427,20.714311,0.000004,0,0.000004,0,0.00433,2.165235,0.575786,1.867068,9.788535,1.460433,0,0,0,31.84473,8.45658,29.720456,0.111924,NaN,1.817591,NaN,0.021039,1108165.679418,969.648,0.000682,0.473525,0.001496,0.393121,0.009935,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,7.295696,299.033007,75391.427214,346.984002,0.002,0.007886
0.03,0.000218,0.135773,47.287492,0.136521,47.547964,0.000023,0,0.000023,0,0.01427,4.970116,0.575786,1.867068,9.788535,1.447478,0,0,0,31.843529,8.45538,29.719247,0.111922,NaN,1.817555,NaN,0.02104,1108248.005041,1824.09,0.000944,0.473519,0.002071,0.393116,0.009935,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000017,0.15748,0.019478,1.466077,0,7.285152,299.033007,75391.426653,346.984002,0.002,0.008323
0.032,0.000635,0.2814,72.816595,0.28295,73.217689,0.000067,0,0.000067,0,0.029576,7.653332,0.575786,1.867068,9.788535,1.42757,0,0,0,31.841419,8.45327,29.717121,0.11192,NaN,1.81749,NaN,0.021066,1109601.71414,2641.330208,0.001464,0.473425,0.003202,0.393021,0.009936,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000035,0.15748,0.019478,1.466077,0,7.274608,299.033005,75391.425332,346.984001,0.002,0.008743
0.034,0.001381,0.46415,91.379822,0.466706,91.883167,0.000145,0,0.000145,0,0.048784,9.604406,0.575786,1.867068,9.788535,1.402691,0,0,0,31.838399,8.45025,29.714079,0.111916,NaN,1.817397,NaN,0.021118,1112328.100869,3235.359667,0.002339,0.473236,0.005093,0.392832,0.009936,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000057,0.15748,0.019478,1.466077,0,7.264064,299.033002,75391.42297,346.983999,0.002,0.009182
0.036,0.002527,0.681707,108.784387,0.685462,109.383602,0.000266,0,0.000266,0,0.07165,11.4337,0.575786,1.867068,9.788535,1.37328,0,0,0,31.835379,8.44723,29.711037,0.111912,NaN,1.817305,NaN,0.021202,1116769.732785,3792.187333,0.003749,0.47293,0.008097,0.392525,0.009936,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000084,0.15748,0.019478,1.466077,0,7.25352,299.032998,75391.419341,346.983997,0.002,0.009603
0.038,0.004143,0.934567,126.438037,0.939715,127.134493,0.000435,0,0.000435,0,0.098227,13.289173,0.575786,1.867068,9.788534,1.339453,0,0,0,31.831867,8.443718,29.707498,0.111908,NaN,1.817197,NaN,0.021328,1123392.431898,4356.815417,0.005952,0.472476,0.012705,0.39207,0.009937,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000115,0.15748,0.019478,1.466077,0,7.242976,299.032993,75391.414221,346.983994,0.002,0.010037
0.04,0.006299,1.221282,143.367472,1.228009,144.15718,0.000662,0,0.000662,0,0.128362,15.068529,0.575786,1.867068,9.788534,1.301657,0,0,0,31.827705,8.439556,29.703303,0.111903,NaN,1.81707,NaN,0.021504,1132647.777921,4898.042438,0.009269,0.471847,0.019464,0.391439,0.009938,0.07047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000151,0.15748,0.019478,1.466077,0,7.232432,299.032985,75391.407392,346.983989,0.002,0.010457
0.042,0.009036,1.516025,147.382206,1.524375,148.194028,0.00095,0,0.00095,0,0.159341,15.490494,0.575786,1.867068,9.788534,1.263504,0,0,0,31.823386,8.435236,29.698948,0.111898,NaN,1.816937,NaN,0.021717,1143863.695506,5025.8485,0.013673,0.471094,0.028152,0.390684,0.009939,0.07047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000187,0.15748,0.019478,1.466077,0,7.221888,299.032975,75391.398721,346.983983,0.002,0.010873
0.044,0.012366,1.813711,148.853635,1.823701,149.673562,0.0013,0,0.0013,0,0.190629,15.645147,0.575786,1.867068,9.788534,1.22578,0,0,0,31.819073,8.430923,29.694599,0.111893,NaN,1.816805,NaN,0.021963,1156862.790105,5072.250493,0.019222,0.470233,0.038694,0.389821,0.00994,0.070471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000224,0.15748,0.019478,1.466077,0,7.211344,299.032964,75391.388174,346.983976,0.002,0.011305
0.046,0.01629,2.110139,148.224645,2.121762,149.041108,0.001712,0,0.001712,0,0.221785,15.579038,0.575786,1.867068,9.788534,1.189098,0,0,0,31.814765,8.426616,29.690254,0.111888,NaN,1.816672,NaN,0.022239,1171398.799051,5051.449444,0.025911,0.469284,0.050872,0.38887,0.009942,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00026,0.15748,0.019478,1.466077,0,7.2008,299.03295,75391.375745,346.983968,0.002,0.011724
# Event LIFTOFF occurred at t=0.048 seconds
0.048,0.020804,2.404608,147.245277,2.417854,148.056345,0.002187,0,0.002187,0,0.252735,15.476102,0.575786,1.867068,9.788534,1.153591,0,0,0,31.810458,8.422309,29.685909,0.111882,NaN,1.81654,NaN,0.022542,1187350.070301,5019.447889,0.033753,0.468261,0.064498,0.387845,0.009944,0.070473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000296,0.15748,0.019478,1.466077,0,7.190256,299.032934,75391.361444,346.983958,0.002,0.012158
0.05,0.025906,2.697119,146.265607,2.711975,147.071279,0.002723,0,0.002723,0,0.283479,15.373135,0.575786,1.867068,9.788534,1.119291,0,0,0,31.806151,8.418002,29.681562,0.111877,NaN,1.816408,NaN,0.02287,1204627.004778,4987.446333,0.042757,0.467173,0.079377,0.386754,0.009945,0.070474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000333,0.15748,0.019478,1.466077,0,7.179712,299.032916,75391.345284,346.983947,0.002,0.012591
0.052,0.031591,2.987669,145.285635,3.004126,146.085909,0.00332,0,0.00332,0,0.314017,15.270136,0.575786,1.867068,9.788534,1.085785,0,0,0,31.801844,8.413694,29.677214,0.111872,NaN,1.816276,NaN,0.023197,1221822.206098,4955.444778,0.052938,0.46611,0.095531,0.385687,0.009947,0.070476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000368,0.15748,0.019478,1.466077,0,7.159814,299.032896,75391.327277,346.983935,0.002,0.01301
0.054,0.037856,3.277486,144.918263,3.295539,145.716513,0.003979,0,0.003979,0,0.344478,15.231523,0.575786,1.867068,9.788534,1.053323,0,0,0,31.797568,8.409418,29.672896,0.111867,NaN,1.816144,NaN,0.023547,1240294.717647,4943.0442,0.064327,0.464989,0.112651,0.384564,0.009949,0.070477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000404,0.15748,0.019478,1.466077,0,7.139917,299.032874,75391.307431,346.983921,0.002,0.013439
0.056,0.044701,3.567793,145.163888,3.587445,145.963492,0.004698,0,0.004698,0,0.37499,15.257339,0.575786,1.867068,9.788534,1.021794,0,0,0,31.793292,8.405142,29.668577,0.111862,NaN,1.816013,NaN,0.023923,1260074.258158,4950.2446,0.076974,0.463813,0.130601,0.383384,0.009951,0.070478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00044,0.15748,0.019478,1.466077,0,7.120019,299.03285,75391.285748,346.983907,0.002,0.013856
0.058,0.052128,3.858592,145.40954,3.879846,146.210497,0.005479,0,0.005479,0,0.405554,15.283159,0.575786,1.867068,9.788534,0.991221,0,0,0,31.789015,8.400866,29.664257,0.111857,NaN,1.815881,NaN,0.024322,1281108.016433,4957.445,0.090882,0.462588,0.149177,0.382155,0.009953,0.07048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000476,0.15748,0.019478,1.466077,0,7.100121,299.032823,75391.262224,346.983891,0.002,0.014288
0.06,0.060136,4.149882,145.655219,4.17274,146.457529,0.006321,0,0.006321,0,0.43617,15.30898,0.575786,1.867068,9.788534,0.961614,0,0,0,31.784739,8.39659,29.659936,0.111852,NaN,1.81575,NaN,0.024744,1303342.879613,4964.6454,0.106047,0.461321,0.168181,0.380885,0.009955,0.070481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000512,0.15748,0.019478,1.466077,0,7.080224,299.032795,75391.236857,346.983874,0.002,0.014709
