# 15MPH-LOW (Up to date)
# 2949 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (28.9 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019089,-9.544372,0.019194,9.596945,-0.000002,0,0.000002,3.141593,0.002006,1.003154,0.575786,1.867068,9.794061,1.468685,0,0,0,32.117071,8.45895,30.041752,0.113601,NaN,1.829056,NaN,0.021057,1393263.985579,4.60824,0.000662,0.456441,0.001148,0.376026,0.009947,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.321035,300.010589,95099.69829,347.576417,0.002,0.001739
0.004,-0.000019,-0.018518,-9.258979,0.01862,9.30998,-0.000002,0,0.000002,3.141593,0.001946,0.973158,0.575786,1.867068,9.794061,1.468611,0,0,0,32.117021,8.458901,30.041703,0.1136,NaN,1.829055,NaN,0.021023,1390959.400347,13.82472,0.000661,0.45656,0.001151,0.376146,0.009946,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.308871,300.010589,95099.698284,347.576417,0.002,0.00231
0.006,-0.000018,-0.017947,-8.973584,0.018046,9.023013,-0.000002,0,0.000002,3.141593,0.001886,0.943162,0.575786,1.867068,9.794061,1.468537,0,0,0,32.116972,8.458851,30.041655,0.1136,NaN,1.829053,NaN,0.020988,1388654.822751,23.0412,0.00066,0.45668,0.001154,0.376266,0.009946,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.296706,300.010589,95099.698278,347.576417,0.002,0.002785
0.008,-0.000017,-0.017376,-8.688188,0.017472,8.736045,-0.000002,0,0.000002,3.141593,0.001826,0.913165,0.575786,1.867068,9.794061,1.468463,0,0,0,32.116922,8.458802,30.041606,0.1136,NaN,1.829052,NaN,0.020953,1386350.252826,32.25768,0.00066,0.4568,0.001157,0.376386,0.009946,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.284541,300.010589,95099.698272,347.576417,0.002,0.003267
0.01,-0.000017,-0.016806,-8.402792,0.016898,8.449077,-0.000002,0,0.000002,3.141593,0.001766,0.883169,0.575786,1.867068,9.794061,1.468388,0,0,0,32.116873,8.458752,30.041557,0.1136,NaN,1.82905,NaN,0.020918,1384045.690612,41.47416,0.000659,0.45692,0.001159,0.376506,0.009946,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.272376,300.010589,95099.698266,347.576417,0.002,0.003724
0.012,-0.000016,-0.016235,-8.117395,0.016324,8.162108,-0.000002,0,0.000002,3.141593,0.001706,0.853173,0.575786,1.867068,9.794061,1.468313,0,0,0,32.116823,8.458703,30.041508,0.1136,NaN,1.829049,NaN,0.020883,1381741.136147,50.69064,0.000659,0.45704,0.001162,0.376627,0.009946,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.260211,300.010589,95099.698261,347.576417,0.002,0.004212
0.014,-0.000016,-0.015664,-7.831996,0.01575,7.875137,-0.000002,0,0.000002,3.141593,0.001646,0.823176,0.575786,1.867068,9.794061,1.468238,0,0,0,32.116774,8.458653,30.04146,0.1136,NaN,1.829047,NaN,0.020848,1379436.58947,59.90712,0.000658,0.457161,0.001165,0.376748,0.009945,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.248046,300.010589,95099.698255,347.576417,0.002,0.00468
0.016,-0.000015,-0.015093,-7.546597,0.015176,7.588166,-0.000002,0,0.000002,3.141593,0.001586,0.793179,0.575786,1.867068,9.794061,1.468163,0,0,0,32.116724,8.458604,30.041411,0.1136,NaN,1.829046,NaN,0.020814,1377132.05062,69.1236,0.000657,0.457282,0.001168,0.376869,0.009945,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.235881,300.010589,95099.698249,347.576417,0.002,0.005154
0.018,-0.000015,-0.014522,-7.261197,0.014602,7.301194,-0.000002,0,0.000002,3.141593,0.001526,0.763183,0.575786,1.867068,9.794061,1.468087,0,0,0,32.116675,8.458554,30.041362,0.1136,NaN,1.829044,NaN,0.020779,1374827.519635,78.34008,0.000657,0.457403,0.001171,0.376991,0.009945,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.223716,300.010589,95099.698243,347.576417,0.002,0.005617
0.02,-0.000014,-0.013952,-6.975797,0.014028,7.014221,-0.000001,0,0.000001,3.141593,0.001466,0.733186,0.575786,1.867068,9.794061,1.468012,0,0,0,32.116625,8.458505,30.041313,0.1136,NaN,1.829043,NaN,0.020744,1372522.996557,87.55656,0.000656,0.457524,0.001174,0.377112,0.009945,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.211551,300.010589,95099.698237,347.576417,0.002,0.006088
0.022,-0.000013,-0.013381,-6.690395,0.013455,6.727247,-0.000001,0,0.000001,3.141593,0.001406,0.703189,0.575786,1.867068,9.794061,1.467936,0,0,0,32.116576,8.458455,30.041265,0.1136,NaN,1.829041,NaN,0.020709,1370218.481424,96.77304,0.000655,0.457646,0.001176,0.377234,0.009945,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.199386,300.010589,95099.698231,347.576417,0.002,0.006555
0.024,-0.000013,-0.01281,-6.404992,0.012881,6.440273,-0.000001,0,0.000001,3.141593,0.001346,0.673192,0.575786,1.867068,9.794061,1.467859,0,0,0,32.116526,8.458406,30.041216,0.1136,NaN,1.82904,NaN,0.020674,1367913.974276,105.98952,0.000655,0.457768,0.001179,0.377356,0.009944,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.187221,300.010589,95099.698225,347.576417,0.002,0.007042
0.026,-0.000006,-0.005696,-2.8478,0.005727,2.863487,-0.000001,0,0.000001,3.141593,0.000599,0.299316,0.575786,1.867068,9.794061,1.46687,0,0,0,32.115901,8.457781,30.0406,0.113599,NaN,1.829021,NaN,0.020641,1365738.83491,220.85919,0.000672,0.457883,0.001213,0.377472,0.009944,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,7.175056,300.010589,95099.698153,347.576417,0.002,0.007494
0.028,0.000041,0.04068,20.340799,0.040905,20.452841,0.000004,0,0.000004,0,0.004276,2.137904,0.575786,1.867068,9.794061,1.460401,0,0,0,32.114701,8.45658,30.039418,0.113598,NaN,1.828985,NaN,0.020621,1364372.53111,969.648,0.0008,0.457956,0.001448,0.377545,0.009944,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,7.162891,300.010588,95099.697678,347.576417,0.002,0.007985
0.03,0.000216,0.134285,46.803095,0.135024,47.060899,0.000023,0,0.000023,0,0.014114,4.919203,0.575786,1.867068,9.794061,1.447337,0,0,0,32.1135,8.45538,30.038235,0.113596,NaN,1.828949,NaN,0.020617,1364147.142673,1824.09,0.00111,0.457968,0.002009,0.377557,0.009944,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000017,0.15748,0.019478,1.466077,0,7.150726,300.010587,95099.695887,347.576416,0.002,0.008449
0.032,0.000628,0.278513,72.117532,0.280047,72.514775,0.000066,0,0.000066,0,0.029273,7.579858,0.575786,1.867068,9.794061,1.42724,0,0,0,32.11139,8.45327,30.036157,0.113594,NaN,1.828886,NaN,0.020638,1365507.152559,2641.330208,0.001725,0.457895,0.003118,0.377484,0.009944,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000034,0.15748,0.019478,1.466077,0,7.138561,300.010584,95099.691663,347.576414,0.002,0.008909
0.034,0.001367,0.459553,90.524606,0.462084,91.023241,0.000144,0,0.000144,0,0.048301,9.51452,0.575786,1.867068,9.794061,1.402112,0,0,0,32.10837,8.45025,30.033182,0.11359,NaN,1.828795,NaN,0.020684,1368582.728899,3235.359667,0.002766,0.457732,0.004975,0.377321,0.009944,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000057,0.15748,0.019478,1.466077,0,7.126396,300.010578,95099.68411,347.57641,0.002,0.009408
0.036,0.002501,0.675107,107.78273,0.678826,108.376427,0.000263,0,0.000263,0,0.070957,11.328421,0.575786,1.867068,9.794061,1.372393,0,0,0,32.10535,8.44723,30.030206,0.113586,NaN,1.828704,NaN,0.020763,1373805.083816,3792.187333,0.004444,0.457457,0.007933,0.377044,0.009945,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000083,0.15748,0.019478,1.466077,0,7.114231,300.01057,95099.672498,347.576405,0.002,0.009862
0.038,0.004102,0.925667,125.287794,0.930765,125.977914,0.000431,0,0.000431,0,0.097291,13.168278,0.575786,1.867068,9.794061,1.338202,0,0,0,32.101838,8.443718,30.026745,0.113582,NaN,1.828599,NaN,0.020884,1381759.948433,4356.815417,0.007071,0.457039,0.01248,0.376626,0.009946,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000114,0.15748,0.019478,1.466077,0,7.102066,300.010557,95099.656116,347.576398,0.002,0.010342
0.04,0.006237,1.209796,142.074669,1.21646,142.857256,0.000656,0,0.000656,0,0.127155,14.932649,0.575786,1.867068,9.794061,1.299991,0,0,0,32.097676,8.439556,30.022642,0.113577,NaN,1.828474,NaN,0.021054,1393015.728899,4898.042438,0.011033,0.456454,0.019158,0.376039,0.009946,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000149,0.15748,0.019478,1.466077,0,7.089902,300.010541,95099.634262,347.576388,0.002,0.010797
0.042,0.008949,1.501886,146.05543,1.510159,146.859944,0.000941,0,0.000941,0,0.157855,15.351044,0.575786,1.867068,9.794061,1.261414,0,0,0,32.093357,8.435236,30.018383,0.113572,NaN,1.828344,NaN,0.021261,1406734.313845,5025.8485,0.016299,0.455749,0.027753,0.375332,0.009948,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000185,0.15748,0.019478,1.466077,0,7.077737,300.01052,95099.606511,347.576375,0.002,0.011277
0.044,0.012248,1.796894,147.514268,1.806791,148.326818,0.001287,0,0.001287,0,0.188861,15.504374,0.575786,1.867068,9.794061,1.223268,0,0,0,32.089043,8.430923,30.014129,0.113567,NaN,1.828214,NaN,0.021502,1422694.236737,5072.250493,0.02294,0.454939,0.038188,0.374521,0.009949,0.07047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000222,0.15748,0.019478,1.466077,0,7.065572,300.010495,95099.572751,347.57636,0.002,0.011731
0.046,0.016135,2.090654,146.890351,2.102169,147.699464,0.001696,0,0.001696,0,0.219737,15.438798,0.575786,1.867068,9.794061,1.186174,0,0,0,32.084736,8.426616,30.00988,0.113562,NaN,1.828084,NaN,0.021773,1440587.064455,5051.449444,0.030948,0.454046,0.050248,0.373625,0.009951,0.070471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000258,0.15748,0.019478,1.466077,0,7.053407,300.010465,95099.532967,347.576342,0.002,0.012227
# Event LIFTOFF occurred at t=0.048 seconds
0.048,0.020608,2.382471,145.918998,2.395594,146.722761,0.002166,0,0.002166,0,0.250408,15.336705,0.575786,1.867068,9.794061,1.150272,0,0,0,32.080429,8.422309,30.00563,0.113557,NaN,1.827955,NaN,0.02207,1460259.977355,5019.447889,0.040339,0.45308,0.063743,0.372656,0.009952,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000294,0.15748,0.019478,1.466077,0,7.041242,300.010431,95099.487189,347.576321,0.002,0.012684
0.05,0.025663,2.672345,144.947341,2.687065,145.745751,0.002697,0,0.002697,0,0.280875,15.234579,0.575786,1.867068,9.794061,1.115593,0,0,0,32.076122,8.418002,30.001378,0.113551,NaN,1.827825,NaN,0.022393,1481600.141382,4987.446333,0.051126,0.45205,0.078477,0.371624,0.009954,0.070473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000329,0.15748,0.019478,1.466077,0,7.029077,300.010392,95099.435459,347.576297,0.002,0.013187
0.052,0.031296,2.960276,143.97538,2.976582,144.768437,0.003289,0,0.003289,0,0.311138,15.132422,0.575786,1.867068,9.794061,1.082615,0,0,0,32.071815,8.413694,29.997126,0.113546,NaN,1.827696,NaN,0.022764,1506206.026536,4955.444778,0.063282,0.450887,0.093989,0.370457,0.009956,0.070474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000365,0.15748,0.019478,1.466077,0,7.026602,300.010349,95099.377815,347.576271,0.002,0.013656
0.054,0.037504,3.247477,143.610859,3.265365,144.401908,0.003942,0,0.003942,0,0.341324,15.09411,0.575786,1.867068,9.794061,1.05081,0,0,0,32.067539,8.409418,29.992903,0.113541,NaN,1.827567,NaN,0.023159,1532326.950642,4943.0442,0.076863,0.449679,0.110302,0.369245,0.009958,0.070475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0004,0.15748,0.019478,1.466077,0,7.024127,300.010301,95099.314286,347.576242,0.002,0.014148
0.056,0.044286,3.535166,143.854168,3.554638,144.646557,0.004655,0,0.004655,0,0.371561,15.119682,0.575786,1.867068,9.794061,1.02005,0,0,0,32.063262,8.405142,29.988679,0.113536,NaN,1.827438,NaN,0.023577,1559993.796541,4950.2446,0.091928,0.448428,0.127282,0.36799,0.009961,0.070477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000436,0.15748,0.019478,1.466077,0,7.021651,300.010249,95099.244873,347.576211,0.002,0.01461
0.058,0.051645,3.823341,144.097496,3.844401,144.891225,0.005428,0,0.005428,0,0.401849,15.145257,0.575786,1.867068,9.794061,0.99034,0,0,0,32.058986,8.400866,29.984454,0.113531,NaN,1.827309,NaN,0.024018,1589135.489847,4957.445,0.108478,0.44714,0.144739,0.366699,0.009963,0.070478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000471,0.15748,0.019478,1.466077,0,7.019176,300.010192,95099.169567,347.576177,0.002,0.015091
0.06,0.05958,4.112003,144.340842,4.134653,145.135912,0.006262,0,0.006262,0,0.432189,15.170834,0.575786,1.867068,9.794061,0.961677,0,0,0,32.05471,8.39659,29.980228,0.113526,NaN,1.82718,NaN,0.02448,1619681.926077,4964.6454,0.126509,0.445823,0.16249,0.365378,0.009966,0.07048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000507,0.15748,0.019478,1.466077,0,7.016701,300.010131,95099.088357,347.57614,0.002,0.01555
0.062,0.068093,4.401151,144.584208,4.425394,145.380618,0.007157,0,0.007157,0,0.46258,15.196413,0.575786,1.867068,9.794061,0.934051,0,0,0,32.050434,8.392313,29.976001,0.113521,NaN,1.827051,NaN,0.024961,1651564.496483,4971.8458,0.14601,0.444482,0.180367,0.364032,0.009968,0.070482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000543,0.15748,0.019478,1.466077,0,7.014226,300.010066,95099.001234,347.5761,0.002,0.016022
0.064,0.077185,4.690786,144.827594,4.716624,145.625345,0.008112,0,0.008112,0,0.493021,15.221994,0.575786,1.867068,9.794061,0.907448,0,0,0,32.046158,8.388037,29.971773,0.113515,NaN,1.826922,NaN,0.025462,1684716.510908,4979.0462,0.166965,0.443123,0.198215,0.362668,0.009971,0.070484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000578,0.15748,0.019478,1.466077,0,7.011751,300.009996,95098.908188,347.576058,0.002,0.016482
0.066,0.086857,4.980908,145.071,5.008345,145.870092,0.009129,0,0.009129,0,0.523515,15.247577,0.575786,1.867068,9.794061,0.881847,0,0,0,32.041881,8.383761,29.967544,0.11351,NaN,1.826793,NaN,0.025982,1719073.525706,4986.2466,0.189355,0.44175,0.2159,0.36129,0.009974,0.070486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000614,0.15748,0.019478,1.466077,0,7.009276,300.009922,95098.809209,347.576013,0.002,0.016895
0.068,0.097109,5.271517,145.314427,5.300554,146.11486,0.010207,0,0.010207,0,0.554059,15.273162,0.575786,1.867068,9.794061,0.857225,0,0,0,32.037605,8.379485,29.963313,0.113505,NaN,1.826664,NaN,0.026518,1754573.58639,4993.447,0.213158,0.440367,0.233304,0.359903,0.009977,0.070488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00065,0.15748,0.019478,1.466077,0,7.006801,300.009843,95098.704287,347.575965,0.002,0.017512
0.07,0.107943,5.562613,145.557876,5.593253,146.35965,0.011345,0,0.011345,0,0.584654,15.298749,0.575786,1.867068,9.79406,0.833554,0,0,0,32.033329,8.375209,29.959082,0.1135,NaN,1.826535,NaN,0.027071,1791157.395479,5000.6474,0.238349,0.43898,0.250328,0.35851,0.00998,0.07049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000686,0.15748,0.019478,1.466077,0,7.004326,300.00976,95098.593412,347.575915,0.002,0.018144
0.072,0.11936,5.854196,145.801348,5.886442,146.604463,0.012545,0,0.012545,0,0.615301,15.324339,0.575786,1.867068,9.79406,0.810806,0,0,0,32.029053,8.370932,29.95485,0.113495,NaN,1.826406,NaN,0.02764,1828768.416112,5007.8478,0.2649,0.437592,0.266888,0.357116,0.009983,0.070493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000722,0.15748,0.019478,1.466077,0,7.001851,300.009673,95098.476573,347.575862,0.002,0.018737
0.074,0.131361,6.146632,146.228816,6.18049,147.034286,0.013807,0,0.013807,0,0.646037,15.369268,0.575786,1.867068,9.79406,0.788924,0,0,0,32.024566,8.366446,29.950408,0.113489,NaN,1.826271,NaN,0.028224,1867402.403715,5020.939386,0.292821,0.436203,0.282937,0.355722,0.009986,0.070495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000758,0.15748,0.019478,1.466077,0,6.999375,300.00958,95098.353758,347.575806,0.002,0.019351
0.076,0.143948,6.44029,146.839338,6.475765,147.64817,0.01513,0,0.01513,0,0.676902,15.433436,0.575786,1.867068,9.79406,0.767853,0,0,0,32.02008,8.361959,29.945965,0.113484,NaN,1.826135,NaN,0.028823,1907062.098942,5039.922159,0.322123,0.434815,0.298439,0.354328,0.009989,0.070498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000794,0.15748,0.019478,1.466077,0,6.9969,300.009484,95098.224945,347.575747,0.002,0.019955
0.078,0.157123,6.735169,147.449988,6.772268,148.262183,0.016514,0,0.016514,0,0.707895,15.497618,0.575786,1.867068,9.79406,0.747567,0,0,0,32.015593,8.357473,29.94152,0.113479,NaN,1.826,NaN,0.029437,1947705.080163,5058.904932,0.352788,0.433431,0.313351,0.352938,0.009993,0.070501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00083,0.15748,0.019478,1.466077,0,6.994425,300.009383,95098.090109,347.575686,0.002,0.020564
0.08,0.17089,7.031269,148.060767,7.07,148.876327,0.017961,0,0.017961,0,0.739016,15.561814,0.575786,1.867068,9.79406,0.728041,0,0,0,32.011106,8.352986,29.937075,0.113473,NaN,1.825864,NaN,0.030066,1989290.97891,5077.887705,0.384795,0.432053,0.327639,0.351553,0.009996,0.070503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000867,0.15748,0.019478,1.466077,0,6.99195,300.009277,95097.949224,347.575622,0.002,0.021178
0.082,0.18525,7.328592,148.671677,7.36896,149.490602,0.019471,0,0.019471,0,0.770266,15.626023,0.575786,1.867068,9.79406,0.709246,0,0,0,32.00662,8.348499,29.932629,0.113468,NaN,1.825729,NaN,0.030708,2031781.466149,5096.870477,0.418122,0.430682,0.34128,0.350176,0.01,0.070506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000903,0.15748,0.019478,1.466077,0,6.989475,300.009167,95097.802267,347.575555,0.002,0.021776
0.084,0.200205,7.627136,149.282717,7.669148,150.105008,0.021042,0,0.021042,0,0.801644,15.690246,0.575786,1.867068,9.79406,0.691155,0,0,0,32.002133,8.344013,29.928181,0.113462,NaN,1.825593,NaN,0.031364,2075140.218814,5115.85325,0.452748,0.429321,0.354262,0.348808,0.010003,0.07051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00094,0.15748,0.019478,1.466077,0,6.987,300.009052,95097.649212,347.575485,0.002,0.022406
0.086,0.215759,7.926902,149.893889,7.970566,150.719547,0.022677,0,0.022677,0,0.833151,15.754483,0.575786,1.867068,9.79406,0.673741,0,0,0,31.997646,8.339526,29.923732,0.113457,NaN,1.825457,NaN,0.032032,2119332.870887,5134.836023,0.488654,0.427971,0.366576,0.347451,0.010007,0.070513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000977,0.15748,0.019478,1.466077,0,6.984525,300.008932,95097.490033,347.575413,0.002,0.02302
0.088,0.231914,8.227892,150.505194,8.273213,151.334219,0.024375,0,0.024375,0,0.864786,15.818733,0.575786,1.867068,9.79406,0.656978,0,0,0,31.99316,8.335039,29.919282,0.113452,NaN,1.825322,NaN,0.032712,2164326.95273,5153.818795,0.525817,0.426633,0.378225,0.346106,0.010011,0.070516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001014,0.15748,0.019478,1.466077,0,6.98205,300.008808,95097.324707,347.575338,0.002,0.023618
