# 15MPH-SA-36C-(TYP) (Up to date)
# 2976 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (29 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019087,-9.54371,0.019193,9.596279,-0.000002,0,0.000002,3.141593,0.002006,1.003084,0.575786,1.867068,9.791353,1.468634,0,0,0,32.57763,8.45895,27.522782,0.116076,NaN,1.773077,NaN,0.021163,1187511.754624,4.60824,0.000608,0.458674,0.001156,0.378285,0.00992,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.465059,308.373667,85898.455906,352.644442,0.002,0.002711
0.004,-0.000019,-0.018525,-9.262351,0.018627,9.31337,-0.000002,0,0.000002,3.141593,0.001947,0.973512,0.575786,1.867068,9.791353,1.468564,0,0,0,32.57758,8.458901,27.522736,0.116075,NaN,1.773076,NaN,0.021121,1185159.600986,13.82472,0.000607,0.45882,0.001158,0.378432,0.00992,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.450218,308.373667,85898.455904,352.644442,0.002,0.003366
0.006,-0.000018,-0.017962,-8.980991,0.018061,9.030461,-0.000002,0,0.000002,3.141593,0.001888,0.94394,0.575786,1.867068,9.791353,1.468493,0,0,0,32.577531,8.458851,27.522691,0.116075,NaN,1.773074,NaN,0.021079,1182807.453285,23.0412,0.000606,0.458967,0.001161,0.378579,0.00992,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.435378,308.373667,85898.455903,352.644442,0.002,0.004003
0.008,-0.000017,-0.017399,-8.69963,0.017495,8.74755,-0.000002,0,0.000002,3.141593,0.001829,0.914368,0.575786,1.867068,9.791353,1.468422,0,0,0,32.577481,8.458802,27.522645,0.116075,NaN,1.773073,NaN,0.021037,1180455.311558,32.25768,0.000605,0.459113,0.001164,0.378726,0.009919,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.420538,308.373667,85898.455902,352.644442,0.002,0.004644
0.01,-0.000017,-0.016837,-8.418268,0.016929,8.464638,-0.000002,0,0.000002,3.141593,0.00177,0.884796,0.575786,1.867068,9.791353,1.468351,0,0,0,32.577432,8.458752,27.522599,0.116075,NaN,1.773072,NaN,0.020996,1178103.175839,41.47416,0.000604,0.45926,0.001167,0.378873,0.009919,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.405698,308.373667,85898.455901,352.644442,0.002,0.005253
0.012,-0.000016,-0.016274,-8.136906,0.016363,8.181726,-0.000002,0,0.000002,3.141593,0.00171,0.855223,0.575786,1.867068,9.791353,1.468279,0,0,0,32.577382,8.458703,27.522554,0.116075,NaN,1.77307,NaN,0.020954,1175751.046165,50.69064,0.000603,0.459408,0.001169,0.379021,0.009919,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.390858,308.373667,85898.4559,352.644442,0.002,0.005872
0.014,-0.000016,-0.015711,-7.855542,0.015798,7.898813,-0.000002,0,0.000002,3.141593,0.001651,0.825651,0.575786,1.867068,9.791353,1.468207,0,0,0,32.577333,8.458653,27.522508,0.116075,NaN,1.773069,NaN,0.020912,1173398.922572,59.90712,0.000602,0.459556,0.001172,0.379169,0.009919,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.376017,308.373667,85898.455899,352.644442,0.002,0.006499
0.016,-0.000015,-0.015148,-7.574178,0.015232,7.615899,-0.000002,0,0.000002,3.141593,0.001592,0.796078,0.575786,1.867068,9.791353,1.468135,0,0,0,32.577283,8.458604,27.522462,0.116075,NaN,1.773067,NaN,0.02087,1171046.805096,69.1236,0.000601,0.459704,0.001175,0.379318,0.009919,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.361177,308.373667,85898.455898,352.644442,0.002,0.007102
0.018,-0.000015,-0.014586,-7.292813,0.014666,7.332984,-0.000002,0,0.000002,3.141593,0.001533,0.766506,0.575786,1.867068,9.791353,1.468062,0,0,0,32.577234,8.458554,27.522417,0.116075,NaN,1.773066,NaN,0.020828,1168694.693775,78.34008,0.0006,0.459853,0.001178,0.379467,0.009918,0.070468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.346337,308.373667,85898.455897,352.644442,0.002,0.007718
0.02,-0.000014,-0.014023,-7.011447,0.0141,7.050068,-0.000001,0,0.000001,3.141593,0.001474,0.736933,0.575786,1.867068,9.791353,1.46799,0,0,0,32.577184,8.458505,27.522371,0.116075,NaN,1.773065,NaN,0.020786,1166342.588644,87.55656,0.000599,0.460002,0.001181,0.379617,0.009918,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.331497,308.373667,85898.455896,352.644442,0.002,0.008332
0.022,-0.000013,-0.01346,-6.73008,0.013534,6.767152,-0.000001,0,0.000001,3.141593,0.001415,0.70736,0.575786,1.867068,9.791353,1.467917,0,0,0,32.577135,8.458455,27.522325,0.116075,NaN,1.773063,NaN,0.020744,1163990.489743,96.77304,0.000599,0.460152,0.001183,0.379766,0.009918,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.316657,308.373667,85898.455895,352.644442,0.002,0.008968
0.024,-0.000013,-0.012897,-6.448713,0.012968,6.484234,-0.000001,0,0.000001,3.141593,0.001356,0.677787,0.575786,1.867068,9.791353,1.467843,0,0,0,32.577085,8.458406,27.52228,0.116075,NaN,1.773062,NaN,0.020702,1161638.397108,105.98952,0.000598,0.460302,0.001186,0.379917,0.009918,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.301816,308.373667,85898.455894,352.644442,0.002,0.009604
0.026,-0.000006,-0.005884,-2.941812,0.005916,2.958017,-0.000001,0,0.000001,3.141593,0.000618,0.309197,0.575786,1.867068,9.791353,1.466884,0,0,0,32.57646,8.457781,27.521703,0.116074,NaN,1.773044,NaN,0.020662,1159392.910853,220.85919,0.000612,0.460445,0.001219,0.38006,0.009917,0.070467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,7.286976,308.373667,85898.45588,352.644442,0.002,0.01022
