# 15MPH-SA-45DEG-36C (Up to date)
# 2967 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (28 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019088,-9.544183,0.019194,9.596755,-0.000002,0,0.000002,3.141593,0.002006,1.003134,0.575786,1.867068,9.791353,1.469133,0,0,0,32.68887,8.45895,29.807779,0.116815,NaN,1.825398,NaN,0.017713,1022057.40371,4.60824,0.000439,0.479799,0.001192,0.399446,0.009895,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.248215,308.373667,85898.455906,352.644442,0.002,0.00269
0.004,-0.000019,-0.018528,-9.263782,0.01863,9.314809,-0.000002,0,0.000002,3.141593,0.001947,0.973663,0.575786,1.867068,9.791353,1.469045,0,0,0,32.68882,8.458901,29.80773,0.116815,NaN,1.825397,NaN,0.017702,1021459.910619,13.82472,0.00044,0.479845,0.001195,0.399492,0.009895,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.244506,308.373667,85898.455904,352.644442,0.002,0.003149
0.006,-0.000018,-0.017967,-8.983379,0.018066,9.032862,-0.000002,0,0.000002,3.141593,0.001888,0.944191,0.575786,1.867068,9.791353,1.468956,0,0,0,32.688771,8.458851,29.80768,0.116815,NaN,1.825395,NaN,0.017692,1020862.425485,23.0412,0.000441,0.479892,0.001198,0.399539,0.009895,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.240797,308.373667,85898.455903,352.644442,0.002,0.003587
0.008,-0.000017,-0.017406,-8.702976,0.017502,8.750914,-0.000002,0,0.000002,3.141593,0.001829,0.91472,0.575786,1.867068,9.791353,1.468868,0,0,0,32.688721,8.458802,29.807631,0.116815,NaN,1.825394,NaN,0.017682,1020264.948321,32.25768,0.000441,0.479938,0.001201,0.399585,0.009895,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.237089,308.373667,85898.455902,352.644442,0.002,0.004008
0.01,-0.000017,-0.016845,-8.422572,0.016938,8.468966,-0.000002,0,0.000002,3.141593,0.00177,0.885248,0.575786,1.867068,9.791353,1.46878,0,0,0,32.688672,8.458752,29.807582,0.116815,NaN,1.825393,NaN,0.017671,1019667.479142,41.47416,0.000442,0.479984,0.001204,0.399631,0.009894,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.23338,308.373667,85898.455901,352.644442,0.002,0.004416
0.012,-0.000016,-0.016284,-8.142167,0.016374,8.187016,-0.000002,0,0.000002,3.141593,0.001712,0.855776,0.575786,1.867068,9.791353,1.468691,0,0,0,32.688622,8.458703,29.807533,0.116815,NaN,1.825391,NaN,0.017661,1019070.017961,50.69064,0.000443,0.48003,0.001208,0.399678,0.009894,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.229671,308.373667,85898.4559,352.644442,0.002,0.004855
0.014,-0.000016,-0.015724,-7.861761,0.01581,7.905066,-0.000002,0,0.000002,3.141593,0.001653,0.826304,0.575786,1.867068,9.791353,1.468603,0,0,0,32.688573,8.458653,29.807484,0.116815,NaN,1.82539,NaN,0.01765,1018472.564793,59.90712,0.000443,0.480077,0.001211,0.399724,0.009894,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.225962,308.373667,85898.455899,352.644442,0.002,0.005313
0.016,-0.000015,-0.015163,-7.581354,0.015246,7.623115,-0.000002,0,0.000002,3.141593,0.001594,0.796832,0.575786,1.867068,9.791353,1.468514,0,0,0,32.688523,8.458604,29.807435,0.116815,NaN,1.825388,NaN,0.01764,1017875.119652,69.1236,0.000444,0.480123,0.001214,0.399771,0.009894,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.222253,308.373667,85898.455898,352.644442,0.002,0.005757
0.018,-0.000015,-0.014602,-7.300947,0.014682,7.341163,-0.000002,0,0.000002,3.141593,0.001535,0.76736,0.575786,1.867068,9.791353,1.468425,0,0,0,32.688474,8.458554,29.807386,0.116815,NaN,1.825387,NaN,0.01763,1017277.682552,78.34008,0.000445,0.48017,0.001217,0.399817,0.009894,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.218544,308.373667,85898.455897,352.644442,0.002,0.00617
0.02,-0.000014,-0.014041,-7.020539,0.014118,7.05921,-0.000001,0,0.000001,3.141593,0.001476,0.737888,0.575786,1.867068,9.791353,1.468336,0,0,0,32.688424,8.458505,29.807337,0.116815,NaN,1.825385,NaN,0.017619,1016680.253507,87.55656,0.000445,0.480216,0.00122,0.399864,0.009894,0.070458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.214836,308.373667,85898.455896,352.644442,0.002,0.006607
