# 15MPH-SA-45DEG-COLD (Up to date)
# 2988 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (29.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.01908,-9.540007,0.019185,9.592556,-0.000002,0,0.000002,3.141593,0.002005,1.002695,0.575786,1.867068,9.791353,1.469163,0,0,0,31.7431,8.45895,29.625626,0.111665,NaN,1.818856,NaN,0.018116,1114361.417995,4.60824,0.000444,0.473087,0.001174,0.392696,0.009932,0.070459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.183606,289.53313,84482.689719,341.227077,0.002,0.001769
0.004,-0.000019,-0.018503,-9.251251,0.018604,9.302209,-0.000002,0,0.000002,3.141593,0.001945,0.972346,0.575786,1.867068,9.791353,1.469065,0,0,0,31.74305,8.458901,29.625577,0.111665,NaN,1.818855,NaN,0.018146,1116232.557457,13.82472,0.000447,0.472958,0.001177,0.392567,0.009932,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.193927,289.53313,84482.689718,341.227077,0.002,0.002241
0.006,-0.000018,-0.017925,-8.962494,0.018024,9.011862,-0.000002,0,0.000002,3.141593,0.001884,0.941996,0.575786,1.867068,9.791353,1.468967,0,0,0,31.743001,8.458851,29.625527,0.111665,NaN,1.818853,NaN,0.018177,1118103.707733,23.0412,0.000449,0.472829,0.00118,0.392438,0.009932,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.204248,289.53313,84482.689717,341.227077,0.002,0.002698
0.008,-0.000017,-0.017347,-8.673736,0.017443,8.721513,-0.000002,0,0.000002,3.141593,0.001823,0.911646,0.575786,1.867068,9.791353,1.468869,0,0,0,31.742951,8.458802,29.625477,0.111665,NaN,1.818852,NaN,0.018207,1119974.868769,32.25768,0.000452,0.472701,0.001183,0.392309,0.009932,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.214569,289.53313,84482.689715,341.227077,0.002,0.003178
0.01,-0.000017,-0.01677,-8.384977,0.016862,8.431164,-0.000002,0,0.000002,3.141593,0.001763,0.881297,0.575786,1.867068,9.791353,1.468771,0,0,0,31.742902,8.458752,29.625428,0.111664,NaN,1.81885,NaN,0.018238,1121846.040511,41.47416,0.000455,0.472573,0.001186,0.39218,0.009933,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.224889,289.53313,84482.689714,341.227077,0.002,0.003639
0.012,-0.000016,-0.016192,-8.096218,0.016282,8.140814,-0.000002,0,0.000002,3.141593,0.001702,0.850947,0.575786,1.867068,9.791353,1.468674,0,0,0,31.742852,8.458703,29.625378,0.111664,NaN,1.818849,NaN,0.018268,1123717.222907,50.69064,0.000457,0.472445,0.001189,0.392052,0.009933,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.23521,289.53313,84482.689713,341.227077,0.002,0.004091
0.014,-0.000016,-0.015615,-7.807457,0.015701,7.850463,-0.000002,0,0.000002,3.141593,0.001641,0.820597,0.575786,1.867068,9.791353,1.468577,0,0,0,31.742803,8.458653,29.625328,0.111664,NaN,1.818847,NaN,0.018298,1125588.415903,59.90712,0.00046,0.472317,0.001192,0.391924,0.009933,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.245531,289.53313,84482.689712,341.227077,0.002,0.004546
0.016,-0.000015,-0.015037,-7.518696,0.01512,7.560111,-0.000002,0,0.000002,3.141593,0.00158,0.790247,0.575786,1.867068,9.791353,1.468481,0,0,0,31.742753,8.458604,29.625278,0.111664,NaN,1.818846,NaN,0.018329,1127459.619448,69.1236,0.000463,0.47219,0.001195,0.391797,0.009933,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.255852,289.53313,84482.689711,341.227077,0.002,0.004995
0.018,-0.000014,-0.01446,-7.229934,0.01454,7.269758,-0.000002,0,0.000002,3.141593,0.00152,0.759897,0.575786,1.867068,9.791353,1.468385,0,0,0,31.742704,8.458554,29.625229,0.111664,NaN,1.818844,NaN,0.018359,1129330.833488,78.34008,0.000465,0.472063,0.001198,0.391669,0.009933,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.266172,289.53313,84482.68971,341.227077,0.002,0.005442
0.02,-0.000014,-0.013882,-6.941171,0.013959,6.979405,-0.000001,0,0.000001,3.141593,0.001459,0.729546,0.575786,1.867068,9.791353,1.468289,0,0,0,31.742654,8.458505,29.625179,0.111664,NaN,1.818843,NaN,0.01839,1131202.057972,87.55656,0.000468,0.471936,0.001201,0.391542,0.009934,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.276493,289.53313,84482.689708,341.227077,0.002,0.005902
0.022,-0.000013,-0.013305,-6.652407,0.013378,6.68905,-0.000001,0,0.000001,3.141593,0.001398,0.699196,0.575786,1.867068,9.791353,1.468193,0,0,0,31.742605,8.458455,29.625129,0.111664,NaN,1.818841,NaN,0.01842,1133073.292848,96.77304,0.000471,0.471809,0.001204,0.391415,0.009934,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.286814,289.53313,84482.689707,341.227077,0.002,0.006355
0.024,-0.000013,-0.012727,-6.363642,0.012797,6.398694,-0.000001,0,0.000001,3.141593,0.001338,0.668846,0.575786,1.867068,9.791353,1.468098,0,0,0,31.742555,8.458406,29.625079,0.111664,NaN,1.81884,NaN,0.01845,1134944.538066,105.98952,0.000474,0.471683,0.001207,0.391289,0.009934,0.07046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,6.297135,289.53313,84482.689706,341.227077,0.002,0.006806
0.026,-0.000006,-0.005529,-2.764539,0.00556,2.779767,-0.000001,0,0.000001,3.141593,0.000581,0.290565,0.575786,1.867068,9.791353,1.466953,0,0,0,31.74193,8.457781,29.624452,0.111663,NaN,1.81882,NaN,0.018483,1136939.558368,220.85919,0.000491,0.471549,0.001246,0.391154,0.009934,0.070461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,6.307455,289.53313,84482.689692,341.227077,0.002,0.007281
0.028,0.000041,0.041393,20.697272,0.041621,20.811279,0.000004,0,0.000004,0,0.004351,2.175371,0.575786,1.867068,9.791353,1.459529,0,0,0,31.74073,8.45658,29.623245,0.111662,NaN,1.818784,NaN,0.018528,1139713.121653,969.648,0.000604,0.471362,0.001526,0.390967,0.009934,0.070461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,6.317776,289.53313,84482.689597,341.227077,0.002,0.007732
0.03,0.000219,0.136334,47.471375,0.137085,47.73286,0.000023,0,0.000023,0,0.014329,4.989443,0.575786,1.867068,9.791353,1.444584,0,0,0,31.739529,8.45538,29.622039,0.11166,NaN,1.818747,NaN,0.018591,1143612.180681,1824.09,0.000878,0.471101,0.002204,0.390706,0.009935,0.070461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000017,0.15748,0.019478,1.466077,0,6.328097,289.533129,84482.689238,341.227076,0.002,0.00818
