# 15MPH-SA-45DEG-HO (Up to date)
# 3023 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (30 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019081,-9.540486,0.019186,9.593038,-0.000002,0,0.000002,3.141593,0.002005,1.002745,0.575786,1.867068,9.791353,1.468436,0,0,0,31.8471,8.45895,29.722842,0.111926,NaN,1.817664,NaN,0.022553,1230398.738236,4.60824,0.000696,0.465584,0.00118,0.385164,0.009947,0.070473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.090693,318.289739,84555.222678,358.653582,0.002,0.001941
0.004,-0.000019,-0.018505,-9.252673,0.018607,9.303639,-0.000002,0,0.000002,3.141593,0.001945,0.972495,0.575786,1.867068,9.791353,1.468373,0,0,0,31.84705,8.458901,29.722792,0.111926,NaN,1.817663,NaN,0.022466,1225635.517165,13.82472,0.000692,0.465874,0.001183,0.385455,0.009946,0.070473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.05932,318.289739,84555.222677,358.653582,0.002,0.002393
0.006,-0.000018,-0.01793,-8.964859,0.018028,9.01424,-0.000002,0,0.000002,3.141593,0.001884,0.942245,0.575786,1.867068,9.791353,1.468311,0,0,0,31.847001,8.458851,29.722742,0.111926,NaN,1.817661,NaN,0.022378,1220872.300912,23.0412,0.000688,0.466166,0.001186,0.385747,0.009946,0.070473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.027947,318.289739,84555.222676,358.653582,0.002,0.002835
0.008,-0.000017,-0.017354,-8.677044,0.01745,8.724839,-0.000002,0,0.000002,3.141593,0.001824,0.911994,0.575786,1.867068,9.791353,1.468247,0,0,0,31.846951,8.458802,29.722693,0.111926,NaN,1.817659,NaN,0.022291,1216109.089534,32.25768,0.000685,0.466459,0.001188,0.386041,0.009945,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.996574,318.289739,84555.222675,358.653582,0.002,0.003256
0.01,-0.000017,-0.016778,-8.389228,0.016871,8.435438,-0.000002,0,0.000002,3.141593,0.001763,0.881743,0.575786,1.867068,9.791353,1.468184,0,0,0,31.846902,8.458752,29.722643,0.111926,NaN,1.817658,NaN,0.022204,1211345.883087,41.47416,0.000681,0.466753,0.001191,0.386336,0.009945,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.965201,318.289739,84555.222674,358.653582,0.002,0.003673
0.012,-0.000016,-0.016203,-8.101411,0.016292,8.146036,-0.000002,0,0.000002,3.141593,0.001703,0.851493,0.575786,1.867068,9.791353,1.468119,0,0,0,31.846852,8.458703,29.722593,0.111926,NaN,1.817656,NaN,0.022116,1206582.68163,50.69064,0.000677,0.467049,0.001194,0.386633,0.009944,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.933829,318.289739,84555.222673,358.653582,0.002,0.004114
0.014,-0.000016,-0.015627,-7.813593,0.015713,7.856633,-0.000002,0,0.000002,3.141593,0.001642,0.821242,0.575786,1.867068,9.791353,1.468054,0,0,0,31.846803,8.458653,29.722543,0.111926,NaN,1.817655,NaN,0.022029,1201819.485222,59.90712,0.000674,0.467346,0.001197,0.386931,0.009944,0.070471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.902456,318.289739,84555.222672,358.653582,0.002,0.004533
0.016,-0.000015,-0.015052,-7.525775,0.015134,7.567229,-0.000002,0,0.000002,3.141593,0.001582,0.790991,0.575786,1.867068,9.791353,1.467989,0,0,0,31.846753,8.458604,29.722493,0.111926,NaN,1.817653,NaN,0.021942,1197056.293922,69.1236,0.00067,0.467645,0.0012,0.38723,0.009943,0.070471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.871083,318.289739,84555.222671,358.653582,0.002,0.004972
0.018,-0.000014,-0.014476,-7.237955,0.014556,7.277824,-0.000002,0,0.000002,3.141593,0.001521,0.76074,0.575786,1.867068,9.791353,1.467923,0,0,0,31.846704,8.458554,29.722443,0.111926,NaN,1.817652,NaN,0.021855,1192293.107793,78.34008,0.000666,0.467945,0.001203,0.387532,0.009943,0.070471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.83971,318.289739,84555.222669,358.653582,0.002,0.005506
0.02,-0.000014,-0.0139,-6.950135,0.013977,6.988418,-0.000001,0,0.000001,3.141593,0.001461,0.730489,0.575786,1.867068,9.791353,1.467857,0,0,0,31.846654,8.458505,29.722394,0.111926,NaN,1.81765,NaN,0.021767,1187529.926895,87.55656,0.000663,0.468247,0.001206,0.387834,0.009942,0.070471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.808337,318.289739,84555.222668,358.653582,0.002,0.006156
0.022,-0.000013,-0.013325,-6.662314,0.013398,6.699012,-0.000001,0,0.000001,3.141593,0.0014,0.700237,0.575786,1.867068,9.791353,1.46779,0,0,0,31.846605,8.458455,29.722344,0.111926,NaN,1.817649,NaN,0.02168,1182766.751291,96.77304,0.000659,0.468551,0.001209,0.388139,0.009942,0.07047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.776964,318.289739,84555.222667,358.653582,0.002,0.006707
0.024,-0.000013,-0.012749,-6.374492,0.012819,6.409604,-0.000001,0,0.000001,3.141593,0.00134,0.669986,0.575786,1.867068,9.791353,1.467723,0,0,0,31.846555,8.458406,29.722294,0.111926,NaN,1.817647,NaN,0.021593,1178003.581046,105.98952,0.000655,0.468856,0.001213,0.388445,0.009941,0.07047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.745591,318.289739,84555.222666,358.653582,0.002,0.007159
0.026,-0.000006,-0.005575,-2.787143,0.005605,2.802495,-0.000001,0,0.000001,3.141593,0.000586,0.292941,0.575786,1.867068,9.791353,1.466799,0,0,0,31.84593,8.457781,29.721664,0.111925,NaN,1.817628,NaN,0.021507,1173344.761061,220.85919,0.000668,0.469156,0.001246,0.388746,0.009941,0.07047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,7.714218,318.289739,84555.222653,358.653582,0.002,0.007589
0.028,0.000041,0.041195,20.598045,0.041422,20.711505,0.000004,0,0.000004,0,0.00433,2.164942,0.575786,1.867068,9.791353,1.460718,0,0,0,31.84473,8.45658,29.720456,0.111924,NaN,1.817591,NaN,0.021434,1169336.749354,969.648,0.000784,0.469416,0.001472,0.389006,0.009941,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,7.682845,318.289739,84555.222567,358.653582,0.002,0.007941
0.03,0.000218,0.135762,47.2847,0.13651,47.545157,0.000023,0,0.000023,0,0.014269,4.969822,0.575786,1.867068,9.791353,1.448368,0,0,0,31.843529,8.45538,29.719247,0.111922,NaN,1.817555,NaN,0.021377,1166242.494825,1824.09,0.001065,0.469617,0.002011,0.389207,0.00994,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000017,0.15748,0.019478,1.466077,0,7.651472,318.289738,84555.222242,358.653581,0.002,0.008298
0.032,0.000635,0.281383,72.813802,0.282933,73.214881,0.000067,0,0.000067,0,0.029575,7.653039,0.575786,1.867068,9.791353,1.42931,0,0,0,31.841419,8.45327,29.717121,0.11192,NaN,1.81749,NaN,0.021343,1164402.468792,2641.330208,0.001619,0.469736,0.003066,0.389327,0.00994,0.070469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000035,0.15748,0.019478,1.466077,0,7.620099,318.289737,84555.221476,358.653581,0.002,0.008731
