# 20MPH-SA-45DEG-17C (Up to date)
# 2969 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (33.9 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019088,-9.544211,0.019194,9.596783,-0.000002,0,0.000002,3.141593,0.002006,1.003137,0.575786,1.867068,9.791353,1.467796,0,0,0,32.68887,8.45895,27.528083,0.116731,NaN,1.772224,NaN,0.03254,1977912.891706,4.60824,0.001356,0.423756,0.001094,0.343256,0.009985,0.070515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.105373,289.53313,85848.618413,341.227077,0.002,0.002376
0.004,-0.000019,-0.018528,-9.26381,0.01863,9.314837,-0.000002,0,0.000002,3.141593,0.001947,0.973666,0.575786,1.867068,9.791353,1.467744,0,0,0,32.68882,8.458901,27.528037,0.116731,NaN,1.772222,NaN,0.032566,1979495.058496,13.82472,0.00136,0.423705,0.001095,0.343205,0.009985,0.070515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.114196,289.53313,85848.618412,341.227077,0.002,0.003034
0.006,-0.000018,-0.017967,-8.983407,0.018066,9.032891,-0.000002,0,0.000002,3.141593,0.001888,0.944194,0.575786,1.867068,9.791353,1.467692,0,0,0,32.688771,8.458851,27.527991,0.116731,NaN,1.772221,NaN,0.032592,1981077.230629,23.0412,0.001364,0.423655,0.001097,0.343154,0.009985,0.070515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.12302,289.53313,85848.618411,341.227077,0.002,0.003648
0.008,-0.000017,-0.017406,-8.703004,0.017502,8.750943,-0.000002,0,0.000002,3.141593,0.001829,0.914723,0.575786,1.867068,9.791353,1.46764,0,0,0,32.688721,8.458802,27.527946,0.116731,NaN,1.77222,NaN,0.032618,1982659.408092,32.25768,0.001368,0.423604,0.001098,0.343103,0.009986,0.070516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.131844,289.53313,85848.618409,341.227077,0.002,0.004286
0.01,-0.000017,-0.016845,-8.4226,0.016938,8.468994,-0.000002,0,0.000002,3.141593,0.001771,0.885251,0.575786,1.867068,9.791353,1.467589,0,0,0,32.688672,8.458752,27.5279,0.116731,NaN,1.772218,NaN,0.032644,1984241.590872,41.47416,0.001372,0.423553,0.0011,0.343052,0.009986,0.070516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.140668,289.53313,85848.618408,341.227077,0.002,0.004919
0.012,-0.000016,-0.016284,-8.142195,0.016374,8.187045,-0.000002,0,0.000002,3.141593,0.001712,0.855779,0.575786,1.867068,9.791353,1.467537,0,0,0,32.688622,8.458703,27.527854,0.116731,NaN,1.772217,NaN,0.03267,1985823.778957,50.69064,0.001376,0.423503,0.001101,0.343001,0.009986,0.070516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.149492,289.53313,85848.618407,341.227077,0.002,0.005524
0.014,-0.000016,-0.015724,-7.86179,0.01581,7.905095,-0.000002,0,0.000002,3.141593,0.001653,0.826307,0.575786,1.867068,9.791353,1.467486,0,0,0,32.688573,8.458653,27.527809,0.116731,NaN,1.772215,NaN,0.032696,1987405.972335,59.90712,0.001381,0.423452,0.001103,0.34295,0.009986,0.070516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.158315,289.53313,85848.618406,341.227077,0.002,0.00615
0.016,-0.000015,-0.015163,-7.581383,0.015246,7.623143,-0.000002,0,0.000002,3.141593,0.001594,0.796835,0.575786,1.867068,9.791353,1.467435,0,0,0,32.688523,8.458604,27.527763,0.11673,NaN,1.772214,NaN,0.032722,1988988.170992,69.1236,0.001385,0.423402,0.001104,0.342899,0.009986,0.070516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.167139,289.53313,85848.618405,341.227077,0.002,0.006844
0.018,-0.000015,-0.014602,-7.300976,0.014682,7.341191,-0.000002,0,0.000002,3.141593,0.001535,0.767363,0.575786,1.867068,9.791353,1.467383,0,0,0,32.688474,8.458554,27.527717,0.11673,NaN,1.772213,NaN,0.032748,1990570.374917,78.34008,0.001389,0.423351,0.001105,0.342849,0.009986,0.070516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.175963,289.53313,85848.618404,341.227077,0.002,0.007454
0.02,-0.000014,-0.014041,-7.020567,0.014118,7.059239,-0.000001,0,0.000001,3.141593,0.001476,0.737891,0.575786,1.867068,9.791353,1.467332,0,0,0,32.688424,8.458505,27.527671,0.11673,NaN,1.772211,NaN,0.032774,1992152.584096,87.55656,0.001393,0.423301,0.001107,0.342798,0.009986,0.070516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,11.184787,289.53313,85848.618402,341.227077,0.002,0.008091
