# 30MPH-SA-36C (Up to date)
# 3044 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (35 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019088,-9.544222,0.019194,9.596794,-0.000002,0,0.000002,3.141593,0.002006,1.003138,0.575786,1.867068,9.791353,1.467578,0,0,0,32.68887,8.45895,29.807779,0.116815,NaN,1.825398,NaN,0.036045,2079892.603039,4.60824,0.001702,0.429169,0.001114,0.34865,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.713121,308.373667,85898.455906,352.644442,0.002,0.00282
0.004,-0.000019,-0.018528,-9.26382,0.01863,9.314848,-0.000002,0,0.000002,3.141593,0.001947,0.973667,0.575786,1.867068,9.791353,1.467534,0,0,0,32.68882,8.458901,29.80773,0.116815,NaN,1.825397,NaN,0.036051,2080211.441592,13.82472,0.001704,0.429159,0.001116,0.34864,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.715012,308.373667,85898.455904,352.644442,0.002,0.003529
0.006,-0.000018,-0.017967,-8.983418,0.018066,9.032901,-0.000002,0,0.000002,3.141593,0.001888,0.944195,0.575786,1.867068,9.791353,1.46749,0,0,0,32.688771,8.458851,29.80768,0.116815,NaN,1.825395,NaN,0.036056,2080530.284262,23.0412,0.001707,0.429149,0.001117,0.34863,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.716902,308.373667,85898.455903,352.644442,0.002,0.004224
0.008,-0.000017,-0.017406,-8.703015,0.017502,8.750953,-0.000002,0,0.000002,3.141593,0.001829,0.914724,0.575786,1.867068,9.791353,1.467445,0,0,0,32.688721,8.458802,29.807631,0.116815,NaN,1.825394,NaN,0.036062,2080849.131049,32.25768,0.00171,0.42914,0.001119,0.34862,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.718793,308.373667,85898.455902,352.644442,0.002,0.004864
0.01,-0.000017,-0.016845,-8.422611,0.016938,8.469005,-0.000002,0,0.000002,3.141593,0.001771,0.885252,0.575786,1.867068,9.791353,1.467401,0,0,0,32.688672,8.458752,29.807582,0.116815,NaN,1.825393,NaN,0.036067,2081167.98195,41.47416,0.001712,0.42913,0.00112,0.34861,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.720683,308.373667,85898.455901,352.644442,0.002,0.005507
0.012,-0.000016,-0.016284,-8.142206,0.016374,8.187055,-0.000002,0,0.000002,3.141593,0.001712,0.85578,0.575786,1.867068,9.791353,1.467357,0,0,0,32.688622,8.458703,29.807533,0.116815,NaN,1.825391,NaN,0.036073,2081486.836963,50.69064,0.001715,0.42912,0.001121,0.3486,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.722574,308.373667,85898.4559,352.644442,0.002,0.006173
0.014,-0.000016,-0.015724,-7.8618,0.01581,7.905105,-0.000002,0,0.000002,3.141593,0.001653,0.826308,0.575786,1.867068,9.791353,1.467312,0,0,0,32.688573,8.458653,29.807484,0.116815,NaN,1.82539,NaN,0.036078,2081805.696087,59.90712,0.001718,0.42911,0.001123,0.34859,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.724464,308.373667,85898.455899,352.644442,0.002,0.006795
0.016,-0.000015,-0.015163,-7.581393,0.015246,7.623154,-0.000002,0,0.000002,3.141593,0.001594,0.796837,0.575786,1.867068,9.791353,1.467268,0,0,0,32.688523,8.458604,29.807435,0.116815,NaN,1.825388,NaN,0.036084,2082124.559319,69.1236,0.00172,0.4291,0.001124,0.34858,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.726354,308.373667,85898.455898,352.644442,0.002,0.00744
0.018,-0.000015,-0.014602,-7.300986,0.014682,7.341202,-0.000002,0,0.000002,3.141593,0.001535,0.767365,0.575786,1.867068,9.791353,1.467224,0,0,0,32.688474,8.458554,29.807386,0.116815,NaN,1.825387,NaN,0.036089,2082443.426658,78.34008,0.001723,0.42909,0.001126,0.348571,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.728245,308.373667,85898.455897,352.644442,0.002,0.008116
0.02,-0.000014,-0.014041,-7.020577,0.014119,7.059249,-0.000001,0,0.000001,3.141593,0.001476,0.737892,0.575786,1.867068,9.791353,1.46718,0,0,0,32.688424,8.458505,29.807337,0.116815,NaN,1.825385,NaN,0.036095,2082762.298101,87.55656,0.001726,0.429081,0.001127,0.348561,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.730135,308.373667,85898.455896,352.644442,0.002,0.008744
0.022,-0.000013,-0.01348,-6.740168,0.013555,6.777295,-0.000001,0,0.000001,3.141593,0.001417,0.70842,0.575786,1.867068,9.791353,1.467135,0,0,0,32.688375,8.458455,29.807288,0.116815,NaN,1.825384,NaN,0.0361,2083081.173648,96.77304,0.001728,0.429071,0.001128,0.348551,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.732026,308.373667,85898.455895,352.644442,0.002,0.009398
0.024,-0.000013,-0.01292,-6.459758,0.012991,6.49534,-0.000001,0,0.000001,3.141593,0.001358,0.678948,0.575786,1.867068,9.791353,1.467091,0,0,0,32.688325,8.458406,29.807239,0.116814,NaN,1.825382,NaN,0.036106,2083400.053296,105.98952,0.001731,0.429061,0.00113,0.348541,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.733916,308.373667,85898.455894,352.644442,0.002,0.010019
0.026,-0.000006,-0.00593,-2.964793,0.005962,2.981124,-0.000001,0,0.000001,3.141593,0.000623,0.311612,0.575786,1.867068,9.791353,1.466542,0,0,0,32.6877,8.457781,29.806619,0.116814,NaN,1.825364,NaN,0.036113,2083828.744957,220.85919,0.001759,0.429048,0.001147,0.348528,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,12.735807,308.373667,85898.45588,352.644442,0.002,0.010673
0.028,0.00004,0.039635,19.818152,0.039854,19.927316,0.000004,0,0.000004,0,0.004166,2.082972,0.575786,1.867068,9.791353,1.462966,0,0,0,32.6865,8.45658,29.805428,0.116812,NaN,1.825328,NaN,0.036132,2084931.561048,969.648,0.001943,0.429014,0.001267,0.348494,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,12.737697,308.373667,85898.455792,352.644442,0.002,0.011315
0.03,0.000211,0.131268,45.817492,0.131991,46.069868,0.000022,0,0.000022,0,0.013797,4.815612,0.575786,1.867068,9.791353,1.455784,0,0,0,32.685299,8.45538,29.804237,0.116811,NaN,1.825293,NaN,0.036167,2086917.237764,1824.09,0.002352,0.428953,0.00153,0.348432,0.009986,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000016,0.15748,0.019478,1.466077,0,12.739588,308.373666,85898.455463,352.644442,0.002,0.011929
