# 30MPH-SA-45DEG-COLD (Up to date)
# 3048 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (33 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019081,-9.540523,0.019186,9.593075,-0.000002,0,0.000002,3.141593,0.002005,1.002749,0.575786,1.867068,9.791353,1.467529,0,0,0,31.8471,8.45895,29.722842,0.111926,NaN,1.817664,NaN,0.038513,2369069.342481,4.60824,0.001872,0.420992,0.001095,0.340399,0.010046,0.070548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.143788,289.53313,84482.689719,341.227077,0.002,0.001889
0.004,-0.000019,-0.018505,-9.25271,0.018607,9.303676,-0.000002,0,0.000002,3.141593,0.001945,0.972499,0.575786,1.867068,9.791353,1.467487,0,0,0,31.84705,8.458901,29.722792,0.111926,NaN,1.817663,NaN,0.03846,2365806.553528,13.82472,0.001869,0.421078,0.001096,0.340485,0.010046,0.070547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.125629,289.53313,84482.689718,341.227077,0.002,0.002476
0.006,-0.000018,-0.01793,-8.964896,0.018029,9.014277,-0.000002,0,0.000002,3.141593,0.001884,0.942248,0.575786,1.867068,9.791353,1.467445,0,0,0,31.847001,8.458851,29.722742,0.111926,NaN,1.817661,NaN,0.038407,2362543.768765,23.0412,0.001867,0.421163,0.001098,0.340571,0.010045,0.070547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.10747,289.53313,84482.689717,341.227077,0.002,0.003023
0.008,-0.000017,-0.017354,-8.677081,0.01745,8.724876,-0.000002,0,0.000002,3.141593,0.001824,0.911998,0.575786,1.867068,9.791353,1.467403,0,0,0,31.846951,8.458802,29.722693,0.111926,NaN,1.817659,NaN,0.038354,2359280.98821,32.25768,0.001864,0.421249,0.001099,0.340657,0.010045,0.070547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.089311,289.53313,84482.689715,341.227077,0.002,0.003562
0.01,-0.000017,-0.016779,-8.389265,0.016871,8.435475,-0.000002,0,0.000002,3.141593,0.001763,0.881747,0.575786,1.867068,9.791353,1.46736,0,0,0,31.846902,8.458752,29.722643,0.111926,NaN,1.817658,NaN,0.038301,2356018.21188,41.47416,0.001862,0.421334,0.001101,0.340743,0.010045,0.070546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.071151,289.53313,84482.689714,341.227077,0.002,0.004092
0.012,-0.000016,-0.016203,-8.101448,0.016292,8.146073,-0.000002,0,0.000002,3.141593,0.001703,0.851496,0.575786,1.867068,9.791353,1.467318,0,0,0,31.846852,8.458703,29.722593,0.111926,NaN,1.817656,NaN,0.038248,2352755.439792,50.69064,0.001859,0.42142,0.001102,0.34083,0.010044,0.070546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.052992,289.53313,84482.689713,341.227077,0.002,0.004632
0.014,-0.000016,-0.015627,-7.81363,0.015713,7.85667,-0.000002,0,0.000002,3.141593,0.001642,0.821246,0.575786,1.867068,9.791353,1.467276,0,0,0,31.846803,8.458653,29.722543,0.111926,NaN,1.817655,NaN,0.038195,2349492.671964,59.90712,0.001857,0.421506,0.001104,0.340916,0.010044,0.070546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.034833,289.53313,84482.689712,341.227077,0.002,0.005171
0.016,-0.000015,-0.015052,-7.525812,0.015135,7.567266,-0.000002,0,0.000002,3.141593,0.001582,0.790995,0.575786,1.867068,9.791353,1.467233,0,0,0,31.846753,8.458604,29.722493,0.111926,NaN,1.817653,NaN,0.038142,2346229.908414,69.1236,0.001854,0.421592,0.001106,0.341003,0.010044,0.070545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,13.016674,289.53313,84482.689711,341.227077,0.002,0.0057
0.018,-0.000014,-0.014476,-7.237992,0.014556,7.277861,-0.000002,0,0.000002,3.141593,0.001521,0.760744,0.575786,1.867068,9.791353,1.46719,0,0,0,31.846704,8.458554,29.722443,0.111926,NaN,1.817652,NaN,0.038089,2342967.149159,78.34008,0.001851,0.421679,0.001107,0.34109,0.010044,0.070545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.998515,289.53313,84482.68971,341.227077,0.002,0.006237
0.02,-0.000014,-0.0139,-6.950172,0.013977,6.988456,-0.000001,0,0.000001,3.141593,0.001461,0.730493,0.575786,1.867068,9.791353,1.467148,0,0,0,31.846654,8.458505,29.722394,0.111926,NaN,1.81765,NaN,0.038036,2339704.394218,87.55656,0.001849,0.421765,0.001109,0.341177,0.010043,0.070545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.980356,289.53313,84482.689708,341.227077,0.002,0.0068
0.022,-0.000013,-0.013325,-6.662351,0.013398,6.699049,-0.000001,0,0.000001,3.141593,0.0014,0.700241,0.575786,1.867068,9.791353,1.467105,0,0,0,31.846605,8.458455,29.722344,0.111926,NaN,1.817649,NaN,0.037983,2336441.643608,96.77304,0.001846,0.421852,0.00111,0.341264,0.010043,0.070545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.962196,289.53313,84482.689707,341.227077,0.002,0.007346
0.024,-0.000013,-0.012749,-6.374529,0.012819,6.409641,-0.000001,0,0.000001,3.141593,0.00134,0.66999,0.575786,1.867068,9.791353,1.467062,0,0,0,31.846555,8.458406,29.722294,0.111926,NaN,1.817647,NaN,0.03793,2333178.897348,105.98952,0.001844,0.421939,0.001112,0.341352,0.010043,0.070544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.944037,289.53313,84482.689706,341.227077,0.002,0.007884
0.026,-0.000006,-0.005575,-2.787181,0.005605,2.802533,-0.000001,0,0.000001,3.141593,0.000586,0.292944,0.575786,1.867068,9.791353,1.466508,0,0,0,31.84593,8.457781,29.721664,0.111925,NaN,1.817628,NaN,0.037879,2330040.366681,220.85919,0.001868,0.422022,0.00113,0.341436,0.010042,0.070544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,12.925878,289.53313,84482.689692,341.227077,0.002,0.008425
0.028,0.000041,0.041195,20.598005,0.041422,20.711465,0.000004,0,0.000004,0,0.00433,2.164938,0.575786,1.867068,9.791353,1.462886,0,0,0,31.84473,8.45658,29.720456,0.111924,NaN,1.817591,NaN,0.03784,2327664.591855,969.648,0.002061,0.422086,0.001249,0.3415,0.010042,0.070544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,12.907719,289.53313,84482.689597,341.227077,0.002,0.008979
