# 30MPH-SA-45DEG (Up to date)
# 3096 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (33.6 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019083,-9.541727,0.019189,9.594285,-0.000002,0,0.000002,3.141593,0.002006,1.002876,0.575786,1.867068,9.791353,1.467585,0,0,0,32.117071,8.45895,30.041752,0.113601,NaN,1.829056,NaN,0.036446,2148035.391128,4.60824,0.001701,0.427134,0.001109,0.346579,0.010019,0.070536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.657334,299.449202,84509.122925,347.236216,0.002,0.002343
0.004,-0.000019,-0.018513,-9.256333,0.018615,9.307319,-0.000002,0,0.000002,3.141593,0.001946,0.97288,0.575786,1.867068,9.791353,1.467541,0,0,0,32.117021,8.458901,30.041703,0.1136,NaN,1.829055,NaN,0.036418,2146385.243257,13.82472,0.0017,0.427183,0.001111,0.346629,0.010019,0.070536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.647552,299.449202,84509.122924,347.236216,0.002,0.002949
0.006,-0.000018,-0.017942,-8.970938,0.018041,9.020353,-0.000002,0,0.000002,3.141593,0.001886,0.942884,0.575786,1.867068,9.791353,1.467496,0,0,0,32.116972,8.458851,30.041655,0.1136,NaN,1.829053,NaN,0.03639,2144735.099575,23.0412,0.0017,0.427232,0.001112,0.346678,0.010019,0.070535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.637771,299.449202,84509.122923,347.236216,0.002,0.003573
0.008,-0.000017,-0.017371,-8.685543,0.017467,8.733385,-0.000002,0,0.000002,3.141593,0.001826,0.912887,0.575786,1.867068,9.791353,1.467452,0,0,0,32.116922,8.458802,30.041606,0.1136,NaN,1.829052,NaN,0.036362,2143084.960091,32.25768,0.0017,0.427281,0.001114,0.346727,0.010019,0.070535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.62799,299.449202,84509.122921,347.236216,0.002,0.004207
0.01,-0.000017,-0.0168,-8.400146,0.016893,8.446417,-0.000002,0,0.000002,3.141593,0.001766,0.882891,0.575786,1.867068,9.791353,1.467408,0,0,0,32.116873,8.458752,30.041557,0.1136,NaN,1.82905,NaN,0.036334,2141434.824815,41.47416,0.001699,0.42733,0.001115,0.346776,0.010018,0.070535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.618209,299.449202,84509.12292,347.236216,0.002,0.00485
0.012,-0.000016,-0.01623,-8.114749,0.016319,8.159447,-0.000002,0,0.000002,3.141593,0.001706,0.852894,0.575786,1.867068,9.791353,1.467364,0,0,0,32.116823,8.458703,30.041508,0.1136,NaN,1.829049,NaN,0.036306,2139784.693757,50.69064,0.001699,0.427379,0.001117,0.346826,0.010018,0.070535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.608428,299.449202,84509.122919,347.236216,0.002,0.005463
0.014,-0.000016,-0.015659,-7.829351,0.015745,7.872477,-0.000002,0,0.000002,3.141593,0.001646,0.822898,0.575786,1.867068,9.791353,1.46732,0,0,0,32.116774,8.458653,30.04146,0.1136,NaN,1.829047,NaN,0.036278,2138134.566926,59.90712,0.001699,0.427428,0.001118,0.346875,0.010018,0.070535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.598647,299.449202,84509.122918,347.236216,0.002,0.00609
0.016,-0.000015,-0.015088,-7.543952,0.015171,7.585506,-0.000002,0,0.000002,3.141593,0.001586,0.792901,0.575786,1.867068,9.791353,1.467275,0,0,0,32.116724,8.458604,30.041411,0.1136,NaN,1.829046,NaN,0.03625,2136484.444332,69.1236,0.001699,0.427477,0.00112,0.346925,0.010018,0.070535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.588866,299.449202,84509.122917,347.236216,0.002,0.006705
0.018,-0.000015,-0.014517,-7.258552,0.014597,7.298534,-0.000002,0,0.000002,3.141593,0.001526,0.762905,0.575786,1.867068,9.791353,1.467231,0,0,0,32.116675,8.458554,30.041362,0.1136,NaN,1.829044,NaN,0.036222,2134834.325985,78.34008,0.001698,0.427527,0.001121,0.346974,0.010018,0.070535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.579084,299.449202,84509.122916,347.236216,0.002,0.007339
0.02,-0.000014,-0.013946,-6.973151,0.014023,7.011561,-0.000001,0,0.000001,3.141593,0.001466,0.732908,0.575786,1.867068,9.791353,1.467186,0,0,0,32.116625,8.458505,30.041313,0.1136,NaN,1.829043,NaN,0.036194,2133184.211895,87.55656,0.001698,0.427576,0.001123,0.347024,0.010018,0.070534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,12.569303,299.449202,84509.122915,347.236216,0.002,0.007971
