# 5MPH-SA-36C (Up to date)
# 2965 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (24.7 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019087,-9.543694,0.019193,9.596263,-0.000002,0,0.000002,3.141593,0.002006,1.003083,0.575786,1.867068,9.791353,1.473322,0,0,0,32.57763,8.45895,27.522782,0.116076,NaN,1.773077,NaN,0.007471,419208.624075,4.60824,0.000079,0.548924,0.001205,0.468645,0.009841,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.63651,308.373667,85898.455906,352.644442,0.002,0.005549
0.004,-0.000019,-0.018525,-9.262335,0.018627,9.313354,-0.000002,0,0.000002,3.141593,0.001947,0.973511,0.575786,1.867068,9.791353,1.473118,0,0,0,32.57758,8.458901,27.522736,0.116075,NaN,1.773076,NaN,0.00746,418593.405715,13.82472,0.000079,0.549074,0.001213,0.468794,0.009841,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.632588,308.373667,85898.455904,352.644442,0.002,0.006801
0.006,-0.000018,-0.017962,-8.980975,0.018061,9.030444,-0.000002,0,0.000002,3.141593,0.001888,0.943938,0.575786,1.867068,9.791353,1.472914,0,0,0,32.577531,8.458851,27.522691,0.116075,NaN,1.773074,NaN,0.007449,417978.204726,23.0412,0.00008,0.549223,0.00122,0.468944,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.628667,308.373667,85898.455903,352.644442,0.002,0.008059
0.008,-0.000017,-0.017399,-8.699614,0.017495,8.747534,-0.000002,0,0.000002,3.141593,0.001829,0.914366,0.575786,1.867068,9.791353,1.47271,0,0,0,32.577481,8.458802,27.522645,0.116075,NaN,1.773073,NaN,0.007438,417363.021187,32.25768,0.00008,0.549373,0.001228,0.469094,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.624745,308.373667,85898.455902,352.644442,0.002,0.009243
0.01,-0.000017,-0.016837,-8.418252,0.016929,8.464622,-0.000002,0,0.000002,3.141593,0.00177,0.884794,0.575786,1.867068,9.791353,1.472505,0,0,0,32.577432,8.458752,27.522599,0.116075,NaN,1.773072,NaN,0.007427,416747.855173,41.47416,0.00008,0.549523,0.001236,0.469245,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.620823,308.373667,85898.455901,352.644442,0.002,0.01039
0.012,-0.000016,-0.016274,-8.13689,0.016363,8.18171,-0.000002,0,0.000002,3.141593,0.00171,0.855222,0.575786,1.867068,9.791353,1.472299,0,0,0,32.577382,8.458703,27.522554,0.116075,NaN,1.77307,NaN,0.007416,416132.706763,50.69064,0.00008,0.549674,0.001244,0.469395,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.616902,308.373667,85898.4559,352.644442,0.002,0.011527
0.014,-0.000016,-0.015711,-7.855526,0.015798,7.898797,-0.000002,0,0.000002,3.141593,0.001651,0.825649,0.575786,1.867068,9.791353,1.472093,0,0,0,32.577333,8.458653,27.522508,0.116075,NaN,1.773069,NaN,0.007405,415517.576035,59.90712,0.000081,0.549825,0.001252,0.469546,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.61298,308.373667,85898.455899,352.644442,0.002,0.012677
0.016,-0.000015,-0.015148,-7.574162,0.015232,7.615883,-0.000002,0,0.000002,3.141593,0.001592,0.796077,0.575786,1.867068,9.791353,1.471886,0,0,0,32.577283,8.458604,27.522462,0.116075,NaN,1.773067,NaN,0.007394,414902.463068,69.1236,0.000081,0.549976,0.00126,0.469697,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.609058,308.373667,85898.455898,352.644442,0.002,0.013891
0.018,-0.000015,-0.014586,-7.292797,0.014666,7.332968,-0.000002,0,0.000002,3.141593,0.001533,0.766504,0.575786,1.867068,9.791353,1.471679,0,0,0,32.577234,8.458554,27.522417,0.116075,NaN,1.773066,NaN,0.007383,414287.36794,78.34008,0.000081,0.550127,0.001268,0.469849,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.605137,308.373667,85898.455897,352.644442,0.002,0.015143
0.02,-0.000014,-0.014023,-7.011431,0.0141,7.050052,-0.000001,0,0.000001,3.141593,0.001474,0.736931,0.575786,1.867068,9.791353,1.47147,0,0,0,32.577184,8.458505,27.522371,0.116075,NaN,1.773065,NaN,0.007372,413672.290732,87.55656,0.000082,0.550279,0.001276,0.470001,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.601215,308.373667,85898.455896,352.644442,0.002,0.01636
0.022,-0.000013,-0.01346,-6.730065,0.013534,6.767136,-0.000001,0,0.000001,3.141593,0.001415,0.707358,0.575786,1.867068,9.791353,1.471262,0,0,0,32.577135,8.458455,27.522325,0.116075,NaN,1.773063,NaN,0.007361,413057.231524,96.77304,0.000082,0.550431,0.001285,0.470153,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.597293,308.373667,85898.455895,352.644442,0.002,0.017612
0.024,-0.000013,-0.012897,-6.448697,0.012968,6.484218,-0.000001,0,0.000001,3.141593,0.001356,0.677785,0.575786,1.867068,9.791353,1.471052,0,0,0,32.577085,8.458406,27.52228,0.116075,NaN,1.773062,NaN,0.00735,412442.190396,105.98952,0.000082,0.550583,0.001293,0.470305,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.593372,308.373667,85898.455894,352.644442,0.002,0.019072
0.026,-0.000006,-0.005884,-2.941796,0.005916,2.958,-0.000001,0,0.000001,3.141593,0.000618,0.309195,0.575786,1.867068,9.791353,1.468349,0,0,0,32.57646,8.457781,27.521703,0.116074,NaN,1.773044,NaN,0.007341,411931.43804,220.85919,0.000089,0.55071,0.001399,0.470432,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,2.58945,308.373667,85898.45588,352.644442,0.002,0.020319
0.028,0.00004,0.039837,19.918954,0.040056,20.028673,0.000004,0,0.000004,0,0.004187,2.093566,0.575786,1.867068,9.791353,1.450695,0,0,0,32.57526,8.45658,27.520596,0.116073,NaN,1.77301,NaN,0.007345,412119.751822,969.648,0.000141,0.550663,0.002229,0.470385,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,2.585528,308.373667,85898.455792,352.644442,0.002,0.021541
0.03,0.000212,0.131849,46.007093,0.132575,46.260513,0.000022,0,0.000022,0,0.013858,4.83554,0.575786,1.867068,9.791353,1.41532,0,0,0,32.574059,8.45538,27.519488,0.116071,NaN,1.772975,NaN,0.007369,413518.34152,1824.09,0.000302,0.550317,0.004724,0.470039,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000016,0.15748,0.019478,1.466077,0,2.581607,308.373666,85898.455461,352.644442,0.002,0.022794
0.032,0.000617,0.273769,70.963545,0.275277,71.354432,0.000065,0,0.000065,0,0.028774,7.458569,0.575786,1.867068,9.791353,1.361426,0,0,0,32.571949,8.45327,27.517541,0.116069,NaN,1.772915,NaN,0.007432,417016.726179,2641.330208,0.000722,0.549458,0.011116,0.469179,0.00984,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000034,0.15748,0.019478,1.466077,0,2.577685,308.373666,85898.45468,352.644441,0.002,0.024085
0.034,0.001343,0.451981,89.110222,0.45447,89.601066,0.000141,0,0.000141,0,0.047505,9.365862,0.575786,1.867068,9.791353,1.295327,0,0,0,32.568929,8.45025,27.514754,0.116065,NaN,1.772828,NaN,0.007543,423246.638088,3235.359667,0.001613,0.547951,0.024128,0.467671,0.009841,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000056,0.15748,0.019478,1.466077,0,2.573763,308.373664,85898.453282,352.64444,0.002,0.025339
0.036,0.002459,0.664218,106.124143,0.667877,106.708704,0.000258,0,0.000258,0,0.069812,11.154097,0.575786,1.867068,9.791353,1.219564,0,0,0,32.565909,8.44723,27.511967,0.116061,NaN,1.772742,NaN,0.007719,433110.382095,3792.187333,0.003301,0.545625,0.047151,0.465343,0.009842,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000082,0.15748,0.019478,1.466077,0,2.569842,308.373662,85898.451132,352.644439,0.002,0.026584
0.038,0.004034,0.910966,123.381429,0.915983,124.061048,0.000424,0,0.000424,0,0.095746,12.967911,0.575786,1.867068,9.791353,1.136319,0,0,0,32.562397,8.443718,27.508725,0.116057,NaN,1.772642,NaN,0.007978,447637.990355,4356.815417,0.006225,0.542323,0.083229,0.46204,0.009844,0.070439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000112,0.15748,0.019478,1.466077,0,2.56592,308.373659,85898.448098,352.644437,0.002,0.027837
0.04,0.006136,1.190807,139.930577,1.197367,140.701354,0.000645,0,0.000645,0,0.125159,14.707296,0.575786,1.867068,9.791353,1.048936,0,0,0,32.558235,8.439556,27.504883,0.116052,NaN,1.772522,NaN,0.008335,467678.708698,4898.042438,0.010873,0.537995,0.133185,0.457708,0.009847,0.07044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000147,0.15748,0.019478,1.466077,0,2.561999,308.373655,85898.444049,352.644435,0.002,0.029061
0.042,0.008805,1.478496,143.854704,1.48664,144.647096,0.000925,0,0.000925,0,0.155396,15.119739,0.575786,1.867068,9.791353,0.967179,0,0,0,32.553916,8.435236,27.500894,0.116047,NaN,1.772399,NaN,0.008763,491695.65837,5025.8485,0.01715,0.53312,0.190045,0.45283,0.00985,0.07044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000182,0.15748,0.019478,1.466077,0,2.558077,308.37365,85898.438907,352.644432,0.002,0.030291
