# 5MPH-SA-45DEG-HOT (Up to date)
# 3005 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (24.4 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019081,-9.540467,0.019186,9.593018,-0.000002,0,0.000002,3.141593,0.002005,1.002743,0.575786,1.867068,9.791353,1.47357,0,0,0,31.8471,8.45895,29.722842,0.111926,NaN,1.817664,NaN,0.0071,387325.135306,4.60824,0.000072,0.569125,0.00124,0.488837,0.00985,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.548231,318.289739,84555.222678,358.653582,0.002,0.002153
0.004,-0.000019,-0.018505,-9.252653,0.018607,9.30362,-0.000002,0,0.000002,3.141593,0.001945,0.972493,0.575786,1.867068,9.791353,1.473361,0,0,0,31.84705,8.458901,29.722792,0.111926,NaN,1.817663,NaN,0.007083,386420.468999,13.82472,0.000073,0.569375,0.001248,0.489087,0.00985,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.542227,318.289739,84555.222677,358.653582,0.002,0.002588
0.006,-0.000018,-0.01793,-8.964839,0.018028,9.01422,-0.000002,0,0.000002,3.141593,0.001884,0.942243,0.575786,1.867068,9.791353,1.473151,0,0,0,31.847001,8.458851,29.722742,0.111926,NaN,1.817661,NaN,0.007066,385515.819686,23.0412,0.000073,0.569626,0.001257,0.489338,0.00985,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.536224,318.289739,84555.222676,358.653582,0.002,0.00299
0.008,-0.000017,-0.017354,-8.677025,0.01745,8.72482,-0.000002,0,0.000002,3.141593,0.001824,0.911992,0.575786,1.867068,9.791353,1.47294,0,0,0,31.846951,8.458802,29.722693,0.111926,NaN,1.817659,NaN,0.00705,384611.187487,32.25768,0.000073,0.569878,0.001265,0.48959,0.00985,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.53022,318.289739,84555.222675,358.653582,0.002,0.003384
0.01,-0.000017,-0.016778,-8.389209,0.016871,8.435419,-0.000002,0,0.000002,3.141593,0.001763,0.881741,0.575786,1.867068,9.791353,1.472728,0,0,0,31.846902,8.458752,29.722643,0.111926,NaN,1.817658,NaN,0.007033,383706.572524,41.47416,0.000073,0.570131,0.001274,0.489843,0.00985,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.524216,318.289739,84555.222674,358.653582,0.002,0.003791
0.012,-0.000016,-0.016203,-8.101392,0.016292,8.146017,-0.000002,0,0.000002,3.141593,0.001703,0.851491,0.575786,1.867068,9.791353,1.472515,0,0,0,31.846852,8.458703,29.722593,0.111926,NaN,1.817656,NaN,0.007017,382801.974917,50.69064,0.000073,0.570384,0.001283,0.490096,0.009849,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.518212,318.289739,84555.222673,358.653582,0.002,0.004183
0.014,-0.000016,-0.015627,-7.813575,0.015713,7.856614,-0.000002,0,0.000002,3.141593,0.001642,0.82124,0.575786,1.867068,9.791353,1.472301,0,0,0,31.846803,8.458653,29.722543,0.111926,NaN,1.817655,NaN,0.007,381897.394792,59.90712,0.000073,0.570638,0.001291,0.490351,0.009849,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.512209,318.289739,84555.222672,358.653582,0.002,0.004592
0.016,-0.000015,-0.015052,-7.525756,0.015134,7.56721,-0.000002,0,0.000002,3.141593,0.001582,0.790989,0.575786,1.867068,9.791353,1.472086,0,0,0,31.846753,8.458604,29.722493,0.111926,NaN,1.817653,NaN,0.006984,380992.832271,69.1236,0.000074,0.570893,0.0013,0.490606,0.009849,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.506205,318.289739,84555.222671,358.653582,0.002,0.004977
0.018,-0.000014,-0.014476,-7.237937,0.014556,7.277805,-0.000002,0,0.000002,3.141593,0.001521,0.760738,0.575786,1.867068,9.791353,1.47187,0,0,0,31.846704,8.458554,29.722443,0.111926,NaN,1.817652,NaN,0.006967,380088.287481,78.34008,0.000074,0.571149,0.001309,0.490862,0.009849,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.500201,318.289739,84555.222669,358.653582,0.002,0.005375
0.02,-0.000014,-0.0139,-6.950117,0.013977,6.9884,-0.000001,0,0.000001,3.141593,0.001461,0.730487,0.575786,1.867068,9.791353,1.471653,0,0,0,31.846654,8.458505,29.722394,0.111926,NaN,1.81765,NaN,0.00695,379183.760548,87.55656,0.000074,0.571406,0.001318,0.491119,0.009849,0.070438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,2.494197,318.289739,84555.222668,358.653582,0.002,0.005778
