# 5MPH-SA (Up to date)
# 2955 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (24 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019081,-9.540465,0.019186,9.593017,-0.000002,0,0.000002,3.141593,0.002005,1.002743,0.575786,1.867068,9.791353,1.477667,0,0,0,31.8471,8.45895,29.722842,0.111926,NaN,1.817664,NaN,0.004916,321341.957888,4.60824,0.000032,0.589735,0.001132,0.509459,0.009839,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.648173,279.056292,85630.011309,334.878113,0.002,0.01399
0.004,-0.000019,-0.018505,-9.252652,0.018607,9.303618,-0.000002,0,0.000002,3.141593,0.001945,0.972493,0.575786,1.867068,9.791353,1.477264,0,0,0,31.84705,8.458901,29.722792,0.111926,NaN,1.817663,NaN,0.00494,322885.754637,13.82472,0.000033,0.589189,0.001145,0.508914,0.00984,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.656029,279.056292,85630.011303,334.878113,0.002,0.015824
0.006,-0.000018,-0.01793,-8.964838,0.018028,9.014219,-0.000002,0,0.000002,3.141593,0.001884,0.942242,0.575786,1.867068,9.791353,1.476864,0,0,0,31.847001,8.458851,29.722742,0.111926,NaN,1.817661,NaN,0.004963,324429.603469,23.0412,0.000033,0.588648,0.001159,0.508372,0.00984,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.663884,279.056292,85630.011297,334.878113,0.002,0.016768
0.008,-0.000017,-0.017354,-8.677023,0.01745,8.724819,-0.000002,0,0.000002,3.141593,0.001824,0.911992,0.575786,1.867068,9.791353,1.476468,0,0,0,31.846951,8.458802,29.722693,0.111926,NaN,1.817659,NaN,0.004987,325973.503644,32.25768,0.000034,0.58811,0.001172,0.507833,0.00984,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.67174,279.056292,85630.011291,334.878113,0.002,0.017735
0.01,-0.000017,-0.016778,-8.389208,0.016871,8.435418,-0.000002,0,0.000002,3.141593,0.001763,0.881741,0.575786,1.867068,9.791353,1.476076,0,0,0,31.846902,8.458752,29.722643,0.111926,NaN,1.817658,NaN,0.005011,327517.454437,41.47416,0.000035,0.587575,0.001185,0.507298,0.00984,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.679596,279.056292,85630.011285,334.878113,0.002,0.018844
0.012,-0.000016,-0.016203,-8.101391,0.016292,8.146016,-0.000002,0,0.000002,3.141593,0.001703,0.851491,0.575786,1.867068,9.791353,1.475688,0,0,0,31.846852,8.458703,29.722593,0.111926,NaN,1.817656,NaN,0.005034,329061.455137,50.69064,0.000035,0.587043,0.001199,0.506766,0.009841,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.687451,279.056292,85630.011279,334.878113,0.002,0.020826
0.014,-0.000016,-0.015627,-7.813573,0.015713,7.856613,-0.000002,0,0.000002,3.141593,0.001642,0.82124,0.575786,1.867068,9.791353,1.475303,0,0,0,31.846803,8.458653,29.722543,0.111926,NaN,1.817655,NaN,0.005058,330605.505045,59.90712,0.000036,0.586515,0.001212,0.506238,0.009841,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.695307,279.056292,85630.011272,334.878113,0.002,0.02505
0.016,-0.000015,-0.015052,-7.525755,0.015134,7.567209,-0.000002,0,0.000002,3.141593,0.001582,0.790989,0.575786,1.867068,9.791353,1.474922,0,0,0,31.846753,8.458604,29.722493,0.111926,NaN,1.817653,NaN,0.005081,332149.603475,69.1236,0.000037,0.58599,0.001225,0.505712,0.009841,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.703163,279.056292,85630.011266,334.878113,0.002,0.027951
0.018,-0.000014,-0.014476,-7.237936,0.014556,7.277804,-0.000002,0,0.000002,3.141593,0.001521,0.760738,0.575786,1.867068,9.791353,1.474544,0,0,0,31.846704,8.458554,29.722443,0.111926,NaN,1.817652,NaN,0.005105,333693.749756,78.34008,0.000038,0.585468,0.001238,0.50519,0.009841,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.711018,279.056292,85630.01126,334.878113,0.002,0.03137
0.02,-0.000014,-0.0139,-6.950116,0.013977,6.988399,-0.000001,0,0.000001,3.141593,0.001461,0.730487,0.575786,1.867068,9.791353,1.47417,0,0,0,31.846654,8.458505,29.722394,0.111926,NaN,1.81765,NaN,0.005129,335237.943226,87.55656,0.000038,0.58495,0.001251,0.504672,0.009842,0.070436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,1.718874,279.056292,85630.011254,334.878113,0.002,0.032365
