# LMATLAB-SA-W20 (Up to date)
# 2938 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (32 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019088,-9.544196,0.019194,9.596768,-0.000002,0,0.000002,3.141593,0.002006,1.003135,0.575786,1.867068,9.791353,1.468212,0,0,0,32.68887,8.45895,27.528083,0.116731,NaN,1.772224,NaN,0.025348,1422328.50546,4.60824,0.000858,0.445733,0.001137,0.365309,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.455906,352.644442,0.002,0.002113
0.004,-0.000019,-0.018528,-9.263795,0.01863,9.314822,-0.000002,0,0.000002,3.141593,0.001947,0.973664,0.575786,1.867068,9.791353,1.468149,0,0,0,32.68882,8.458901,27.528037,0.116731,NaN,1.772222,NaN,0.025348,1422337.696542,13.82472,0.00086,0.445733,0.001139,0.365308,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.455904,352.644442,0.002,0.002734
0.006,-0.000018,-0.017967,-8.983392,0.018066,9.032875,-0.000002,0,0.000002,3.141593,0.001888,0.944193,0.575786,1.867068,9.791353,1.468087,0,0,0,32.688771,8.458851,27.527991,0.116731,NaN,1.772221,NaN,0.025348,1422346.893253,23.0412,0.000862,0.445732,0.001141,0.365308,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.455903,352.644442,0.002,0.00336
0.008,-0.000017,-0.017406,-8.702989,0.017502,8.750927,-0.000002,0,0.000002,3.141593,0.001829,0.914721,0.575786,1.867068,9.791353,1.468024,0,0,0,32.688721,8.458802,27.527946,0.116731,NaN,1.77222,NaN,0.025348,1422356.095592,32.25768,0.000863,0.445732,0.001143,0.365307,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.455902,352.644442,0.002,0.003994
0.01,-0.000017,-0.016845,-8.422585,0.016938,8.468979,-0.000002,0,0.000002,3.141593,0.00177,0.885249,0.575786,1.867068,9.791353,1.467961,0,0,0,32.688672,8.458752,27.5279,0.116731,NaN,1.772218,NaN,0.025349,1422365.30356,41.47416,0.000865,0.445732,0.001145,0.365307,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.455901,352.644442,0.002,0.0046
0.012,-0.000016,-0.016284,-8.14218,0.016374,8.187029,-0.000002,0,0.000002,3.141593,0.001712,0.855778,0.575786,1.867068,9.791353,1.467898,0,0,0,32.688622,8.458703,27.527854,0.116731,NaN,1.772217,NaN,0.025349,1422374.517156,50.69064,0.000866,0.445731,0.001147,0.365306,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.4559,352.644442,0.002,0.005227
0.014,-0.000016,-0.015724,-7.861774,0.01581,7.905079,-0.000002,0,0.000002,3.141593,0.001653,0.826306,0.575786,1.867068,9.791353,1.467836,0,0,0,32.688573,8.458653,27.527809,0.116731,NaN,1.772215,NaN,0.025349,1422383.736381,59.90712,0.000868,0.445731,0.001149,0.365306,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.455899,352.644442,0.002,0.005826
0.016,-0.000015,-0.015163,-7.581367,0.015246,7.623128,-0.000002,0,0.000002,3.141593,0.001594,0.796834,0.575786,1.867068,9.791353,1.467773,0,0,0,32.688523,8.458604,27.527763,0.11673,NaN,1.772214,NaN,0.025349,1422392.961233,69.1236,0.000869,0.44573,0.001151,0.365305,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.455898,352.644442,0.002,0.006439
0.018,-0.000015,-0.014602,-7.30096,0.014682,7.341176,-0.000002,0,0.000002,3.141593,0.001535,0.767362,0.575786,1.867068,9.791353,1.46771,0,0,0,32.688474,8.458554,27.527717,0.11673,NaN,1.772213,NaN,0.025349,1422402.191715,78.34008,0.000871,0.44573,0.001153,0.365305,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.455897,352.644442,0.002,0.007052
0.02,-0.000014,-0.014041,-7.020552,0.014118,7.059223,-0.000001,0,0.000001,3.141593,0.001476,0.73789,0.575786,1.867068,9.791353,1.467647,0,0,0,32.688424,8.458505,27.527671,0.11673,NaN,1.772211,NaN,0.025349,1422411.427824,87.55656,0.000872,0.445729,0.001155,0.365305,0.009941,0.070483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,8.9408,308.373667,85898.455896,352.644442,0.002,0.007649
