# LMATLAB-SA-W717.5 (Up to date)
# 2985 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (30.7 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019079,-9.53972,0.019185,9.592267,-0.000002,0,0.000002,3.141593,0.002005,1.002665,0.575786,1.867068,9.791353,1.468516,0,0,0,31.67867,8.45895,27.433334,0.112466,NaN,1.779695,NaN,0.022179,1244498.553007,4.60824,0.000665,0.455229,0.001151,0.374849,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455906,352.644442,0.002,0.002263
0.004,-0.000019,-0.018501,-9.250377,0.018603,9.30133,-0.000002,0,0.000002,3.141593,0.001945,0.972254,0.575786,1.867068,9.791353,1.468442,0,0,0,31.67862,8.458901,27.433289,0.112466,NaN,1.779694,NaN,0.022179,1244508.009705,13.82472,0.000667,0.455229,0.001153,0.374848,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455904,352.644442,0.002,0.002892
0.006,-0.000018,-0.017922,-8.961033,0.018021,9.010392,-0.000002,0,0.000002,3.141593,0.001884,0.941842,0.575786,1.867068,9.791353,1.468368,0,0,0,31.678571,8.458851,27.433244,0.112466,NaN,1.779692,NaN,0.022179,1244517.473249,23.0412,0.000668,0.455228,0.001156,0.374848,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455903,352.644442,0.002,0.0034
0.008,-0.000017,-0.017343,-8.671687,0.017439,8.719454,-0.000002,0,0.000002,3.141593,0.001823,0.911431,0.575786,1.867068,9.791353,1.468294,0,0,0,31.678521,8.458802,27.433199,0.112466,NaN,1.779691,NaN,0.022179,1244526.943638,32.25768,0.00067,0.455227,0.001158,0.374847,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455902,352.644442,0.002,0.003762
0.01,-0.000017,-0.016765,-8.382341,0.016857,8.428514,-0.000002,0,0.000002,3.141593,0.001762,0.88102,0.575786,1.867068,9.791353,1.46822,0,0,0,31.678472,8.458752,27.433154,0.112466,NaN,1.779689,NaN,0.022179,1244536.420873,41.47416,0.000671,0.455227,0.001161,0.374847,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455901,352.644442,0.002,0.004174
0.012,-0.000016,-0.016186,-8.092995,0.016275,8.137573,-0.000002,0,0.000002,3.141593,0.001701,0.850608,0.575786,1.867068,9.791353,1.468146,0,0,0,31.678422,8.458703,27.433109,0.112466,NaN,1.779688,NaN,0.02218,1244545.904953,50.69064,0.000672,0.455226,0.001163,0.374846,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.4559,352.644442,0.002,0.004557
0.014,-0.000016,-0.015607,-7.803647,0.015693,7.846631,-0.000002,0,0.000002,3.141593,0.00164,0.820196,0.575786,1.867068,9.791353,1.468072,0,0,0,31.678373,8.458653,27.433064,0.112466,NaN,1.779686,NaN,0.02218,1244555.395879,59.90712,0.000674,0.455226,0.001166,0.374846,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455899,352.644442,0.002,0.004959
0.016,-0.000015,-0.015029,-7.514298,0.015111,7.555689,-0.000002,0,0.000002,3.141593,0.00158,0.789785,0.575786,1.867068,9.791353,1.467998,0,0,0,31.678323,8.458604,27.433018,0.112466,NaN,1.779685,NaN,0.02218,1244564.89365,69.1236,0.000675,0.455225,0.001168,0.374845,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455898,352.644442,0.002,0.005339
0.018,-0.000014,-0.01445,-7.224948,0.014529,7.264745,-0.000002,0,0.000002,3.141593,0.001519,0.759373,0.575786,1.867068,9.791353,1.467924,0,0,0,31.678274,8.458554,27.432973,0.112466,NaN,1.779684,NaN,0.02218,1244574.398267,78.34008,0.000677,0.455225,0.001171,0.374844,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455897,352.644442,0.002,0.005708
0.02,-0.000014,-0.013871,-6.935598,0.013948,6.973801,-0.000001,0,0.000001,3.141593,0.001458,0.728961,0.575786,1.867068,9.791353,1.46785,0,0,0,31.678224,8.458505,27.432928,0.112466,NaN,1.779682,NaN,0.02218,1244583.909728,87.55656,0.000678,0.455224,0.001173,0.374844,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455895,352.644442,0.002,0.006098
0.022,-0.000013,-0.013292,-6.646246,0.013366,6.682856,-0.000001,0,0.000001,3.141593,0.001397,0.698549,0.575786,1.867068,9.791353,1.467776,0,0,0,31.678175,8.458455,27.432883,0.112466,NaN,1.779681,NaN,0.02218,1244593.428035,96.77304,0.00068,0.455224,0.001176,0.374843,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455894,352.644442,0.002,0.006474
0.024,-0.000013,-0.012714,-6.356894,0.012784,6.39191,-0.000001,0,0.000001,3.141593,0.001336,0.668136,0.575786,1.867068,9.791353,1.467702,0,0,0,31.678125,8.458406,27.432838,0.112465,NaN,1.779679,NaN,0.022181,1244602.953186,105.98952,0.000681,0.455223,0.001178,0.374843,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455893,352.644442,0.002,0.006847
0.026,-0.000006,-0.005501,-2.750471,0.005531,2.765622,-0.000001,0,0.000001,3.141593,0.000578,0.289086,0.575786,1.867068,9.791353,1.46678,0,0,0,31.6775,8.457781,27.432269,0.112465,NaN,1.779661,NaN,0.022183,1244722.240122,220.85919,0.000699,0.455216,0.001209,0.374836,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455879,352.644442,0.002,0.007236
0.028,0.000042,0.041517,20.759062,0.041746,20.873409,0.000004,0,0.000004,0,0.004364,2.181865,0.575786,1.867068,9.791353,1.460773,0,0,0,31.6763,8.45658,27.431177,0.112463,NaN,1.779626,NaN,0.022197,1245525.782971,969.648,0.000825,0.455169,0.001425,0.374789,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000005,0.15748,0.019478,1.466077,0,7.8232,308.373667,85898.455789,352.644442,0.002,0.007609
0.03,0.00022,0.13669,47.587627,0.137443,47.849753,0.000023,0,0.000023,0,0.014367,5.001661,0.575786,1.867068,9.791353,1.448638,0,0,0,31.675099,8.45538,27.430084,0.112462,NaN,1.779591,NaN,0.022229,1247289.585142,1824.09,0.001124,0.455066,0.001936,0.374686,0.009908,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000017,0.15748,0.019478,1.466077,0,7.8232,308.373666,85898.455446,352.644442,0.002,0.008004
0.032,0.00064,0.283188,73.252507,0.284748,73.656002,0.000067,0,0.000067,0,0.029764,7.699149,0.575786,1.867068,9.791353,1.430031,0,0,0,31.672989,8.45327,27.428163,0.112459,NaN,1.779529,NaN,0.022283,1250362.148215,2641.330208,0.001707,0.454888,0.002926,0.374507,0.009909,0.070472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000035,0.15748,0.019478,1.466077,0,7.8232,308.373666,85898.454637,352.644441,0.002,0.00839
0.034,0.00139,0.467007,91.914498,0.46958,92.420788,0.000146,0,0.000146,0,0.049084,9.660603,0.575786,1.867068,9.791353,1.406823,0,0,0,31.669969,8.45025,27.425413,0.112456,NaN,1.779441,NaN,0.022363,1254826.338494,3235.359667,0.002676,0.454629,0.004553,0.374248,0.009909,0.070473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000058,0.15748,0.019478,1.466077,0,7.8232,308.373664,85898.453192,352.64444,0.002,0.00876
