# LMATLAB-SA (Up to date)
# 2958 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (29.7 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (rad),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (rad),Longitude (rad),Gravitational acceleration (m/s²),Angle of attack (rad),Roll rate (rad/s),Pitch rate (rad/s),Yaw rate (rad/s),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (m),CG location (m),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (m),Reference area (m²),Vertical orientation (zenith) (rad),Lateral orientation (azimuth) (rad),Wind velocity (m/s),Air temperature (K),Air pressure (Pa),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.002,-0.000019,-0.019088,-9.544187,0.019194,9.596759,-0.000002,0,0.000002,3.141593,0.002006,1.003134,0.575786,1.867068,9.791353,1.468775,0,0,0,32.68887,8.45895,29.807779,0.116815,NaN,1.825398,NaN,0.020056,1157285.344524,4.60824,0.000558,0.470168,0.00118,0.389796,0.009907,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.074655,308.373667,85898.455906,352.644442,0.002,0.002044
0.004,-0.000019,-0.018528,-9.263785,0.01863,9.314813,-0.000002,0,0.000002,3.141593,0.001947,0.973663,0.575786,1.867068,9.791353,1.468699,0,0,0,32.68882,8.458901,29.80773,0.116815,NaN,1.825397,NaN,0.020034,1156006.615621,13.82472,0.000558,0.470252,0.001183,0.38988,0.009906,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.066783,308.373667,85898.455904,352.644442,0.002,0.00269
0.006,-0.000018,-0.017967,-8.983383,0.018066,9.032866,-0.000002,0,0.000002,3.141593,0.001888,0.944192,0.575786,1.867068,9.791353,1.468623,0,0,0,32.688771,8.458851,29.80768,0.116815,NaN,1.825395,NaN,0.020012,1154727.893508,23.0412,0.000558,0.470336,0.001185,0.389965,0.009906,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.05891,308.373667,85898.455903,352.644442,0.002,0.00308
0.008,-0.000017,-0.017406,-8.70298,0.017502,8.750918,-0.000002,0,0.000002,3.141593,0.001829,0.91472,0.575786,1.867068,9.791353,1.468546,0,0,0,32.688721,8.458802,29.807631,0.116815,NaN,1.825394,NaN,0.01999,1153449.178207,32.25768,0.000558,0.470421,0.001188,0.390049,0.009906,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.051038,308.373667,85898.455902,352.644442,0.002,0.003575
0.01,-0.000017,-0.016845,-8.422575,0.016938,8.468969,-0.000002,0,0.000002,3.141593,0.00177,0.885248,0.575786,1.867068,9.791353,1.468469,0,0,0,32.688672,8.458752,29.807582,0.116815,NaN,1.825393,NaN,0.019967,1152170.469742,41.47416,0.000558,0.470505,0.001191,0.390134,0.009906,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.043166,308.373667,85898.455901,352.644442,0.002,0.004049
0.012,-0.000016,-0.016284,-8.14217,0.016374,8.18702,-0.000002,0,0.000002,3.141593,0.001712,0.855777,0.575786,1.867068,9.791353,1.468392,0,0,0,32.688622,8.458703,29.807533,0.116815,NaN,1.825391,NaN,0.019945,1150891.768135,50.69064,0.000558,0.47059,0.001194,0.390219,0.009906,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.035293,308.373667,85898.4559,352.644442,0.002,0.004456
0.014,-0.000016,-0.015724,-7.861765,0.01581,7.905069,-0.000002,0,0.000002,3.141593,0.001653,0.826305,0.575786,1.867068,9.791353,1.468315,0,0,0,32.688573,8.458653,29.807484,0.116815,NaN,1.82539,NaN,0.019923,1149613.073408,59.90712,0.000558,0.470674,0.001197,0.390304,0.009906,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.027421,308.373667,85898.455899,352.644442,0.002,0.004863
0.016,-0.000015,-0.015163,-7.581358,0.015246,7.623118,-0.000002,0,0.000002,3.141593,0.001594,0.796833,0.575786,1.867068,9.791353,1.468237,0,0,0,32.688523,8.458604,29.807435,0.116815,NaN,1.825388,NaN,0.019901,1148334.385586,69.1236,0.000558,0.470759,0.0012,0.390389,0.009906,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.019549,308.373667,85898.455898,352.644442,0.002,0.005264
0.018,-0.000015,-0.014602,-7.30095,0.014682,7.341166,-0.000002,0,0.000002,3.141593,0.001535,0.767361,0.575786,1.867068,9.791353,1.46816,0,0,0,32.688474,8.458554,29.807386,0.116815,NaN,1.825387,NaN,0.019879,1147055.70469,78.34008,0.000559,0.470844,0.001203,0.390474,0.009906,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.011676,308.373667,85898.455897,352.644442,0.002,0.005656
0.02,-0.000014,-0.014041,-7.020542,0.014118,7.059213,-0.000001,0,0.000001,3.141593,0.001476,0.737889,0.575786,1.867068,9.791353,1.468082,0,0,0,32.688424,8.458505,29.807337,0.116815,NaN,1.825385,NaN,0.019857,1145777.030744,87.55656,0.000559,0.470929,0.001206,0.390559,0.009906,0.070465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000002,0.15748,0.019478,1.466077,0,7.003804,308.373667,85898.455896,352.644442,0.002,0.006111
