Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,65.614,0,0,66.9794,82.82547,2.555818,0,0,0,0,0,0,84,84,0,0
0.010,S,0.010,0.010,0,0.3211589,0,72.70269,65.614,0,0,66.96613,82.82547,2.557958,4.96478402657319,3.28066458978185,3.72643533150218,23.5092873633321,0.03280665,0.03726435,84,84,0.0001640332,0.0001863217
0.02,S,0.02,0.02018142,0,0.3670838,0,145.4054,65.61226,0.03244429,0,66.95286,82.82547,2.560098,39.4318295287138,38.7213860386428,7.45140545319745,23.5875184501895,0.4200205,0.1117784,84,84,0.002428169,0.0009315355
0.03,S,0.03,0.02024858,0,0.3673016,0,218.1081,65.60706,0.03267996,0,66.93959,82.82547,2.562239,75.0228302686387,74.1853030887766,11.1788133155233,23.724034785838,1.161873,0.2235665,84,84,0.01033764,0.00260826
0.04,S,0.04,0.02036577,0,0.3676774,0,290.8108,65.59838,0.03309313,0,66.92632,82.82547,2.564379,110.67091301458,109.662275386158,14.9075935217993,23.9513629121605,2.258496,0.3726425,84,84,0.02743948,0.005589305
0.05,S,0.05,0.02056092,0,0.3682908,0,363.5134,65.58624,0.03378663,0,66.91305,82.82547,2.56652,146.349567668943,145.15787456857,18.638331674852,24.3157328602223,3.710075,0.5590258,84,84,0.05728234,0.01024765
0.05999999,S,0.05999999,0.02087372,0,0.3692429,0,436.2161,65.57062,0.03491241,0,66.89978,82.82547,2.56866,182.057438463624,180.677673842521,22.3716131468409,24.8742469534809,5.516851,0.782742,84,84,0.103417,0.01695649
0.06999999,S,0.06999999,0.02135317,0,0.3706319,0,508.9188,65.55153,0.03667204,0,66.88651,82.82547,2.570801,217.797726413117,216.227243302066,26.1080233781104,25.6903574678583,7.679123,1.043822,84,84,0.1693968,0.02608931
0.07999999,S,0.07999999,0.02205376,0,0.3725192,0,581.6215,65.52898,0.03931699,0,66.87324,82.82547,2.572941,253.574925923767,251.812095553047,29.8481421603973,26.8278473279037,10.19724,1.342304,84,84,0.2587786,0.03801993
0.08999999,S,0.08999999,0.02303024,0,0.3748963,0,597.545,65.50295,0.04314916,0,66.85997,82.82547,2.575081,261.507236854363,259.701625297805,30.6773653510612,28.1915174394921,12.79426,1.649078,84,84,0.3737361,0.05297684
0.09999999,S,0.09999999,0.02420089,0,0.3774065,0,599.2738,65.47454,0.04796607,0,66.84669,82.82547,2.577222,262.481654892358,260.670785216003,30.779228221376,29.7290650808788,15.40097,1.95687,84,84,0.5147123,0.07100658
0.11,S,0.11,0.0255208,0,0.3798583,0,601.0026,65.44598,0.05368703,0,66.83343,82.82547,2.579362,263.457136398421,261.641002313127,30.881201852238,31.4174197246792,18.01738,2.265682,84,84,0.681804,0.09211934
0.12,S,0.12,0.02697018,0,0.3821623,0,602.7313,65.41733,0.06032139,0,66.82015,82.82547,2.581502,264.433404077088,262.612000704921,30.983258020341,33.2359314288296,20.6435,2.575515,84,84,0.8751084,0.1163253
0.13,S,0.13,0.02853129,0,0.3842658,0,604.46,65.3886,0.0678776,0,66.80688,82.82547,2.583643,265.410452981478,263.583775522729,31.0853958156698,35.1666218605202,23.27934,2.886369,84,84,1.094723,0.1436347
0.14,S,0.14,0.03018871,0,0.3861435,0,606.1888,65.35979,0.07636343,0,66.79362,82.82547,2.585783,266.388257435536,264.556301280088,31.1876121647838,37.1941180493577,25.9249,3.198245,84,84,1.340744,0.1740578
0.15,S,0.15,0.03192923,0,0.3877902,0,607.9175,65.3309,0.08578606,0,66.78034,82.82547,2.587924,267.36685107225,265.529611340946,31.2899113679932,39.3054435744787,28.5802,3.511144,84,84,1.613269,0.2076048
0.16,S,0.16,0.03374172,0,0.389213,0,609.6462,65.30193,0.09615226,0,66.76707,82.82547,2.590064,268.346232825641,266.503704742378,31.3922925301848,41.4896962930386,31.24524,3.825067,84,84,1.912397,0.2442858
0.17,S,0.17,0.03561683,0,0.3904263,0,611.375,65.27287,0.1074685,0,66.7538,82.82547,2.592204,269.326401851418,267.47858055727,31.4947563460857,43.7377542041199,33.92002,4.140015,84,84,2.238223,0.2841112
0.18,S,0.18,0.03754671,0,0.391448,0,613.1037,65.24373,0.1197411,0,66.74053,82.82547,2.594345,270.307337256526,268.454218102101,31.597299851458,46.0420061405541,36.60456,4.455988,84,84,2.590846,0.3270912
0.19,S,0.19,0.03952484,0,0.3922972,0,614.8325,65.21451,0.1329762,0,66.72726,82.82547,2.596485,271.289061648465,269.430639821252,31.699925798265,48.3960791234782,39.29887,4.772987,84,84,2.970363,0.3732361
0.2,S,0.2,0.04154575,0,0.3929931,0,616.5612,65.1852,0.1471801,0,66.71399,82.82547,2.598626,272.271582164618,270.407852817921,31.8026349352635,50.7946210215898,42.00295,5.091013,84,84,3.376872,0.4225561
0.21,S,0.21,0.04360484,0,0.3935534,0,618.29,65.15582,0.1623589,0,66.70072,82.82547,2.600766,273.254932779214,271.385890841103,31.9054312077701,53.2331372598389,44.71681,5.410067,84,84,3.810471,0.4750615
0.22,S,0.22,0.04569826,0,0.3939945,0,620.0187,65.12634,0.1785187,0,66.68745,82.82547,2.602906,274.239020983185,272.364661978489,32.0083041593775,55.7078345457328,47.44046,5.73015,84,84,4.271257,0.5307626
0.23,S,0.23,0.04782275,0,0.3943313,0,621.7474,65.09679,0.1956661,0,66.67418,82.82547,2.605047,275.223940868754,273.344259772146,32.1112640197291,58.215490189936,50.1739,6.051263,84,84,4.759329,0.5896697
0.24,S,0.24,0.04997553,0,0.3945769,0,623.4762,65.06715,0.2138072,0,66.66091,82.82547,2.607187,276.209627831271,274.324619971151,32.2143040336564,60.753370016768,52.91714,6.373406,84,84,5.274785,0.6517931
0.25,S,0.25,0.05215428,0,0.3947429,0,625.0865,65.03744,0.2329484,0,66.64764,82.82547,2.609328,277.137517248364,275.247494492307,32.3113020829345,63.3186080927981,55.66962,6.696519,84,84,5.817719,0.7171427
