Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,67.5,0,0,70.75,85.00175,2.298669,0,0,0,0,0,0,84,84,0,0
0.010,S,0.010,0.010,0,0.3727422,0,10.35974,67.5,0,0,70.71592,85.00175,2.304166,0,0,0,22.0049991607666,0,0,84,84,0,0
0.02,S,0.02,0.01932262,0,0.4363156,0,20.71948,67.49979,0.04097784,0,70.68184,85.00175,2.309663,0,0,0,22.0049991607666,0,0,84,84,0,0
0.03,S,0.03,0.01932262,0,0.4363156,0,506.115,67.49913,0.04097784,0,70.64776,85.00175,2.31516,209.253509712243,207.728778089196,25.21479883841,22.3538749499316,2.077288,0.252148,84,84,0.01038644,0.00126074
0.04,S,0.04,0.01962897,0,0.4371798,0,1123.381,67.49303,0.04237122,0,70.61368,85.00175,2.320657,503.510324425404,500.38933230488,55.9746631830103,23.8904538392946,7.081182,0.8118947,84,84,0.05617879,0.006580953
0.05,S,0.05,0.02097824,0,0.4405698,0,1117.626,67.45718,0.04877175,0,70.5796,85.00175,2.326154,501.046896380953,497.939344239892,55.7171592144802,26.3021769455581,12.06058,1.369066,84,84,0.1518876,0.01748576
0.05999999,S,0.05999999,0.02309599,0,0.4447683,0,1116.906,67.40951,0.05967888,0,70.54551,85.00175,2.331651,501.075208012754,497.967501420802,55.7201185726316,29.3781487070435,17.04025,1.926267,84,84,0.2973917,0.03396242
0.06999999,S,0.06999999,0.02579702,0,0.4486605,0,1125,67.36257,0.07510486,0,70.51143,85.00175,2.337148,505.304894347084,502.174111035196,56.1622511757521,32.9641171950971,22.06199,2.48789,84,84,0.4929029,0.05603321
0.07999999,S,0.07999999,0.02894588,0,0.4517668,0,1143.689,67.31533,0.09521294,0,70.47735,85.00175,2.342645,514.604567999338,511.423041270366,57.1343527446952,36.9697540241691,27.17622,3.059234,84,84,0.739094,0.08376882
0.08999999,S,0.08999999,0.03246327,0,0.4540143,0,1165.026,67.26757,0.1203533,0,70.44327,85.00175,2.348142,525.186165641626,521.946891986324,58.2404543867099,41.3186492909528,32.39569,3.641639,84,84,1.036953,0.1172732
0.09999999,S,0.09999999,0.03628208,0,0.4554861,0,1186.364,67.21893,0.1508198,0,70.40919,85.00175,2.353639,535.787594135946,532.490456666964,59.3486275207244,45.9498398662692,37.7206,4.235125,84,84,1.387535,0.156657
0.11,S,0.11,0.0403488,0,0.4563204,0,1207.701,67.16938,0.1868634,0,70.37511,85.00175,2.359136,546.409563857553,543.054442184542,60.4589472174042,50.8198821811775,43.15115,4.839715,84,84,1.791894,0.2020312
0.12,S,0.12,0.04462527,0,0.456657,0,1225.053,67.11893,0.2287379,0,70.34103,85.00175,2.364633,555.141988924495,551.73919203633,61.3717511412343,55.8801600255421,48.66854,5.453433,84,84,2.250992,0.2534969
0.13,S,0.13,0.04906881,0,0.4566164,0,1236.428,67.06763,0.2765292,0,70.30695,85.00175,2.37013,561.024893172686,557.589975340298,61.986693406158,61.0806855577575,54.24444,6.0733,84,84,2.765557,0.3111306
0.14,S,0.14,0.05363552,0,0.4562988,0,1247.803,67.01576,0.3301598,0,70.27287,85.00175,2.375627,566.918883990547,563.451782495316,62.6027940905084,66.4035258500417,59.87896,6.699328,84,84,3.336174,0.3749937
0.15,S,0.15,0.05830967,0,0.4557812,0,1259.177,66.96342,0.3897604,0,70.23878,85.00175,2.381124,572.823501729659,569.324156378908,63.2200055146565,71.8355430803889,65.5722,7.331528,84,84,3.963429,0.445148
0.16,S,0.16,0.06307971,0,0.4551207,0,1272.561,66.91059,0.4554655,0,70.2047,85.00175,2.386621,579.704796836296,576.167871603744,63.9393087749889,77.3762126553539,71.33388,7.970922,84,84,4.64796,0.5216603
0.17,S,0.17,0.0679452,0,0.4543582,0,1286.806,66.85725,0.5275384,0,70.17062,85.00175,2.392118,587.01304228671,583.43620247486,64.7032414675904,83.0223014650267,77.16824,8.617954,84,84,5.390471,0.6046047
0.18,S,0.18,0.07290329,0,0.4535239,0,1299.011,66.80333,0.6062058,0,70.13654,85.00175,2.397614,593.352907533267,589.741439682187,65.3659483199267,88.7588328377351,83.06566,9.271614,84,84,6.19164,0.6940525
0.19,S,0.19,0.07794085,0,0.4526422,0,1303.058,66.74881,0.6915083,0,70.10246,85.00175,2.403111,595.773167143018,592.14847933553,65.618938640015,94.5431908798524,88.98714,9.927803,84,84,7.051904,0.7900496
0.2,S,0.2,0.08302044,0,0.4517365,0,1307.104,66.69398,0.782984,0,70.06837,85.00175,2.408608,598.19723596424,594.559307114699,65.8723268037905,100.371464972893,94.93273,10.58653,84,84,7.971503,0.8926213
0.21,S,0.21,0.08813865,0,0.4508198,0,1312.252,66.63898,0.8806794,0,70.03429,85.00175,2.414105,601.15556697731,597.501478349519,66.1815614650319,106.245701838884,100.9077,11.24835,84,84,8.950706,1.001796
0.22,S,0.22,0.09329727,0,0.4499008,0,1317.675,66.58379,0.9847369,0,70.00021,85.00175,2.419602,604.250553837632,600.579558463142,66.5050807781104,112.164853065835,106.9135,11.9134,84,84,9.989812,1.117604
0.23,S,0.23,0.09849539,0,0.4489861,0,1323.098,66.52838,1.095248,0,69.96613,85.00175,2.425099,607.349692360266,603.66176706402,66.8290340739273,118.126898484942,112.9501,12.58169,84,84,11.08913,1.24008
0.24,S,0.24,0.1037312,0,0.4480807,0,1328.521,66.47274,1.212285,0,69.93205,85.00175,2.430596,610.452934116722,606.748056036188,67.1534159073199,124.130298880889,119.0176,13.25322,84,84,12.24897,1.369254
0.25,S,0.25,0.1090034,0,0.4471883,0,1333.944,66.41687,1.335921,0,69.89797,85.00175,2.436093,613.560544843326,609.838689584269,67.4782548276182,130.173706703915,125.116,13.928,84,84,13.46964,1.505161
0.26,S,0.26,0.1143108,0,0.4463116,0,1339.368,66.36076,1.46623,0,69.86389,85.00175,2.44159,616.672406031238,612.933549937263,67.8035376780647,136.25599788849,131.2453,14.60604,84,84,14.75144,1.647831
0.27,S,0.27,0.1196525,0,0.4454524,0,1344.791,66.30444,1.603291,0,69.82981,85.00175,2.447087,619.788385312441,616.032505413284,68.129251004504,142.37632071824,137.4056,15.28733,84,84,16.0947,1.797298
0.28,S,0.28,0.1250276,0,0.444635,0,1350.214,66.24788,1.74727,0,69.79572,85.00175,2.452584,622.908636747046,619.135709235632,68.4554109136278,148.533975092184,143.597,15.97188,84,84,17.49971,1.953594
0.29,S,0.29,0.1304355,0,0.4446782,0,1355.637,66.19109,1.901774,0,69.76164,85.00175,2.458081,626.031320076571,622.241331248358,68.7818246565562,154.728186210514,149.8194,16.6597,84,84,18.96679,2.116751
0.3,S,0.3,0.1358756,0,0.4447247,0,1361.06,66.13408,2.063815,0,69.72756,85.00175,2.463578,629.158071846899,625.350998975502,69.1086640765827,160.958467490065,156.0729,17.35079,84,84,20.49625,2.286804
0.31,S,0.31,0.1413475,0,0.4447745,0,1366.483,66.07684,2.233506,0,69.69348,85.00175,2.469075,632.288675550603,628.464497183212,69.4359057677506,167.224317354482,162.3575,18.04515,84,84,22.08841,2.463784
0.32,S,0.32,0.1468507,0,0.4448276,0,1371.906,66.01936,2.410948,0,69.6594,85.00175,2.474572,635.42338968612,631.58208287663,69.7635775273637,173.525400078738,168.6733,18.74279,84,84,23.74356,2.647723
0.33,S,0.33,0.152385,0,0.4448842,0,1377.329,65.96166,2.596255,0,69.62532,85.00175,2.480069,638.561995769423,634.70353885609,70.0916557414943,179.861338064364,175.0203,19.44371,84,84,25.46203,2.838656
0.3399999,S,0.3399999,0.1579499,0,0.4449444,0,1382.752,65.90373,2.789532,0,69.59124,85.00175,2.485566,641.704499458706,637.828870710722,70.4201413903241,186.231897810854,181.3986,20.14791,84,84,27.24412,3.036614
0.3499999,S,0.3499999,0.1635453,0,0.4450081,0,1388.175,65.84557,2.990895,0,69.55716,85.00175,2.491063,644.85100681268,640.958183924319,70.7490455608153,192.636792463914,187.8082,20.8554,84,84,29.09015,3.241631
0.3599999,S,0.3599999,0.1691711,0,0.4450755,0,1393.598,65.78719,3.200454,0,69.52308,85.00175,2.49656,648.001371800379,644.091333311474,71.0783525992348,199.075765579681,194.2491,21.56618,84,84,31.00044,3.453738
0.3699999,S,0.3699999,0.1748268,0,0.4451466,0,1399.021,65.72857,3.418319,0,69.489,85.00175,2.502057,651.155676254682,647.228400176374,71.4080718394224,205.548691566058,200.7214,22.28026,84,84,32.97529,3.672971
0.3799999,S,0.3799999,0.1805124,0,0.4452215,0,1404.444,65.66972,3.644608,0,69.45492,85.00175,2.507554,654.313872130164,650.369336826622,71.7381974799196,212.055369317365,207.2251,22.99764,84,84,35.01503,3.89936
0.3899999,S,0.3899999,0.1862279,0,0.4453004,0,1409.867,65.61065,3.879433,0,69.42083,85.00175,2.513051,657.475965780477,653.514149542486,72.0687305752817,218.595622025317,213.7602,23.71833,84,84,37.11995,4.13294
0.3999999,S,0.3999999,0.1919729,0,0.4453833,0,1415.12,65.55135,4.122912,0,69.38675,85.00175,2.518548,660.558482018013,656.57981935062,72.3909454797303,225.168586351401,220.326,24.44224,84,84,39.29038,4.373743
0.4099999,S,0.4099999,0.1977467,0,0.4454703,0,1418.843,65.49181,4.375133,0,69.35267,85.00175,2.524045,662.893086603765,658.901664705696,72.6349813459646,231.766617075863,226.915,25.16859,84,84,41.52659,4.621797
0.4199999,S,0.4199999,0.2035428,0,0.4455613,0,1422.566,65.4321,4.635909,0,69.31859,85.00175,2.529541,665.229616043128,661.225424221393,72.8792180537507,238.38967648361,233.5273,25.89738,84,84,43.8288,4.877127
0.4299999,S,0.4299999,0.2093609,0,0.4456565,0,1426.289,65.37222,4.905334,0,69.28451,85.00175,2.535038,667.567958750585,663.550986838089,73.123644716477,245.037546981848,240.1628,26.62862,84,84,46.19725,5.139757
