Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
s,m,mbar,m/s,degC,,V
0.00,-6.561218E-06,866.20,0,29.9, -,8.148581
0.05,-6.561218E-06,866.20,0,29.9, -,8.148581
0.10,0.9451081,866.10,0.8998857,29.9, -,8.148581
0.15,3.779829,865.80,3.599543,29.9, -,8.148581
0.20,7.560502,865.40,7.199085,29.9, -,8.148581
0.25,11.34317,865.00,10.79863,29.9, -,8.148581
0.30,14.18081,864.70,13.49829,29.9, -,8.148581
0.35,17.01924,864.40,16.19794,29.9, -,8.148581
0.40,22.69909,863.80,21.61177,29.9, -,8.148581
0.45,26.48685,863.40,25.22583,29.9, -,8.148581
0.50,31.22398,862.90,29.73977,29.9, -,8.148581
0.55,35.01552,862.50,33.35383,29.9, -,8.168028
0.60,43.5514,861.60,41.48183,29.9, -,8.168028
0.65,48.29655,861.10,45.99577,29.9, -,8.168028
0.70,53.99344,860.50,51.42411,29.9, -,8.168028
0.75,58.7435,860.00,55.95257,29.9, -,8.168028
0.80,68.25034,859.00,65.00948,29.9, -,8.168028
0.85,73.9585,858.40,70.45234,29.9, -,8.168028
0.90,79.67049,857.80,75.8952,29.9, -,8.168028
0.95,85.38512,857.20,81.33806,29.9, -,8.168028
1.00,94.91711,856.20,90.40948,29.9, -,8.168028
1.05,102.5491,855.40,97.68114,29.9, -,8.168028
1.10,112.0973,854.40,106.7816,29.9, -,8.168028
1.15,121.6546,853.40,114.9822,29.9, -,8.168028
1.20,132.1784,852.30,122.3119,29.9, -,8.168028
1.25,141.7548,851.30,127.8273,29.9, -,8.168028
1.30,152.2991,850.20,134.2717,29.9, -,8.168028
1.35,162.855,849.10,141.6304,29.9, -,8.168028
1.40,172.4606,848.10,148.0747,29.9, -,8.168028
1.45,182.0753,847.10,151.8194,29.9, -,8.168028
1.50,192.662,846.00,158.2928,29.9, -,8.168028
1.55,203.2598,844.90,163.8663,29.9, -,8.168028
1.60,215.7996,843.60,172.1975,29.9, -,8.168028
1.65,228.3544,842.30,176.0293,29.9, -,8.168028
1.70,241.8924,840.90,184.404,29.9, -,8.168028
1.75,255.4492,839.50,191.8934,29.9, -,8.168028
1.80,268.0538,838.20,199.3682,29.9, -,8.168028
1.85,279.703,837.00,201.4002,29.9, -,8.168028
1.90,295.256,835.40,210.7764,29.9, -,8.168028
1.95,310.8337,833.80,220.1672,29.9, -,8.168028
2.00,327.4113,832.10,230.5159,29.9, -,8.168028
2.05,343.0385,830.50,236.3216,29.9, -,8.168028
2.10,358.6901,828.90,243.9561,29.9, -,8.168028
2.15,373.3859,827.40,248.8474,29.9, -,8.168028
2.20,393.0139,825.40,258.4414,29.9, -,8.168028
2.25,412.6804,823.40,267.1354,29.9, -,8.168028
2.30,433.3723,821.30,277.7309,29.9, -,8.168028
2.35,449.1659,819.70,282.7238,29.9, -,8.168028
2.40,494.7127,815.10,316.0486,29.9, -,8.168028
2.45,567.4221,807.80,376.1522,29.9, -,8.168028
2.50,723.5868,792.30,515.7216,29.9, -,8.168028
2.55,839.0024,781.00,615.5508,29.9, -,8.168028
2.60,911.1788,774.00,674.2031,29.9, -,8.168028
2.65,953.6992,769.90,702.7527,29.9, -,8.168028
2.70,893.6017,775.70,633.5631,29.9, -,8.168028
2.75,781.6376,786.60,514.0379,29.9, -,8.168028
2.80,734.7629,791.20,456.4743,29.9, -,8.168028
2.85,730.6977,791.60,440.5956,29.9, -,8.168028
2.90,724.6021,792.20,423.701,29.9, -,8.168028
2.95,720.541,792.60,405.0211,29.9, -,8.168028
3.00,713.4374,793.30,383.4239,29.9, -,8.168028
3.05,715.4666,793.10,369.5627,29.9, -,8.168028
3.10,724.6021,792.20,363.3796,29.9, -,8.168028
3.15,737.8131,790.90,361.0573,29.9, -,8.168028
3.20,754.0975,789.30,362.5814,29.9, -,8.168028
3.25,768.3676,787.90,357.4724,29.9, -,8.168028
3.30,785.7238,786.20,355.2807,29.9, -,8.168028
3.35,799.0165,784.90,348.2267,29.9, -,8.168028
3.40,810.2786,783.80,343.916,29.9, -,8.168028
3.45,819.5018,782.90,309.3139,29.9, -,8.168028
3.50,833.867,781.50,253.7533,29.9, -,8.148581
3.55,848.253,780.10,118.7269,29.9, -,8.148581
3.60,862.6594,778.70,22.52617,29.9, -,8.148581
3.65,873.994,777.60,-35.41486,29.9, -,8.148581
3.70,886.373,776.40,-64.12411,29.9, -,8.148581
3.75,898.7682,775.20,4.905828,29.9, -,8.148581
3.80,913.2488,773.80,125.3309,29.9, -,8.148581
3.85,925.6777,772.60,181.8204,29.9, -,8.148581
3.90,939.1597,771.30,198.5409,29.9, -,8.148581
3.95,951.6212,770.10,216.2193,29.9, -,8.148581
4.00,965.1387,768.80,232.9543,29.9, -,8.148581
4.05,976.5908,767.70,250.6182,29.9, -,8.148581
4.10,989.0996,766.50,260.604,29.9, -,8.148581
4.15,1000.58,765.40,262.8392,29.9, -,8.148581
4.20,1014.165,764.10,263.1875,29.9, -,8.148581
4.25,1026.721,762.90,259.6315,29.9, -,8.148581
4.30,1039.293,761.70,258.0204,29.9, -,8.148581
4.35,1050.833,760.60,252.476,29.9, -,8.148581
4.40,1064.487,759.30,252.8243,29.9, -,8.148581
4.45,1077.108,758.10,254.1161,29.9, -,8.148581
4.50,1089.744,756.90,257.3673,29.9, -,8.148581
4.55,1101.342,755.80,254.7257,29.9, -,8.168028
4.60,1115.067,754.50,254.1016,29.9, -,8.168028
4.65,1126.694,753.40,251.46,29.9, -,8.168028
4.70,1139.395,752.20,252.7518,29.9, -,8.168028
4.75,1151.052,751.10,252.0696,29.9, -,8.168028
4.80,1163.784,749.90,252.3889,29.9, -,8.168028
4.85,1175.47,748.80,249.7328,29.9, -,8.168028
4.90,1188.234,747.60,250.0521,29.9, -,8.168028
4.95,1199.949,746.50,248.3684,29.9, -,8.168028
5.00,1213.812,745.20,249.7038,29.9, -,8.168028
5.05,1225.558,744.10,248.0201,29.9, -,8.168028
5.10,1237.317,743.00,248.3249,29.9, -,8.168028
5.15,1248.02,742.00,246.5977,29.9, -,8.168028
5.20,1260.878,740.80,247.9185,29.9, -,8.168028
5.25,1273.754,739.60,247.2509,29.9, -,8.168028
5.30,1286.646,738.40,247.5702,29.9, -,8.168028
5.35,1297.403,737.40,245.843,29.9, -,8.168028
5.40,1310.326,736.20,247.1638,29.9, -,8.168028
5.45,1321.109,735.20,244.4351,29.9, -,8.168028
5.50,1332.984,734.10,243.7239,29.9, -,8.168028
5.55,1343.792,733.10,241.9822,29.9, -,8.168028
5.60,1356.776,731.90,243.303,29.9, -,8.168028
5.65,1367.61,730.90,240.5453,29.9, -,8.168028
5.70,1380.627,729.70,241.866,29.9, -,8.168028
5.75,1392.575,728.60,241.1549,29.9, -,8.168028
5.80,1405.624,727.40,242.4756,29.9, -,8.168028
5.85,1415.423,726.50,239.6889,29.9, -,8.168028
5.90,1426.323,725.50,238.9342,29.9, -,8.168028
5.95,1437.234,724.50,237.1634,29.9, -,8.168028
6.00,1449.25,723.40,237.4392,29.9, -,8.168028
6.05,1460.188,722.40,234.6524,29.9, -,8.168028
6.10,1473.328,721.20,235.9733,29.9, -,8.168028
6.15,1484.292,720.20,235.204,29.9, -,8.168028
6.20,1495.269,719.20,235.4652,29.9, -,8.168028
6.25,1506.258,718.20,233.68,29.9, -,8.168028
6.30,1519.461,717.00,233.9848,29.9, -,8.168028
6.35,1530.477,716.00,232.1995,29.9, -,8.168028
6.40,1540.402,715.10,231.4013,29.9, -,8.168028
6.45,1550.337,714.20,228.5564,29.9, -,8.168028
6.50,1561.388,713.20,228.8032,29.9, -,8.168028
6.55,1573.559,712.10,229.0935,29.9, -,8.148581
6.60,1585.745,711.00,230.4143,29.9, -,8.148581
6.65,1597.946,709.90,229.674,29.9, -,8.148581
6.70,1607.94,709.00,228.8758,29.9, -,8.148581
6.75,1616.832,708.20,224.9424,29.9, -,8.148581
6.80,1627.959,707.20,224.1586,29.9, -,8.148581
6.85,1639.099,706.20,222.3443,29.9, -,8.148581
6.90,1651.368,705.10,224.6956,29.9, -,8.148581
6.95,1662.534,704.10,224.9569,29.9, -,8.148581
7.00,1673.713,703.10,225.2182,29.9, -,8.148581
7.05,1683.785,702.20,223.3748,29.9, -,8.148581
7.10,1693.869,701.30,222.5621,29.9, -,8.148581
7.15,1703.961,700.40,219.6592,29.9, -,8.148581
7.20,1716.313,699.30,220.98,29.9, -,8.148581
7.25,1726.429,698.40,220.1672,29.9, -,8.148581
7.30,1737.682,697.40,220.4139,29.9, -,8.148581
7.35,1747.821,696.50,217.4966,29.9, -,8.148581
7.40,1757.971,695.60,216.6692,29.9, -,8.148581
7.45,1768.131,694.70,216.9015,29.9, -,8.148581
7.50,1778.303,693.80,217.1192,29.9, -,8.148581
7.55,1788.484,692.90,216.2919,29.9, -,8.148581
7.60,1799.809,691.90,215.4791,29.9, -,8.148581
7.65,1811.148,690.90,214.6663,29.9, -,8.148581
7.70,1821.365,690.00,212.7649,29.9, -,8.148581
7.75,1831.592,689.10,212.9826,29.9, -,8.148581
7.80,1840.692,688.30,213.1858,29.9, -,8.148581
7.85,1850.939,687.40,212.344,29.9, -,8.148581
7.90,1861.198,686.50,211.5022,29.9, -,8.148581
7.95,1871.467,685.60,209.6008,29.9, -,8.148581
8.00,1881.747,684.70,208.759,29.9, -,8.148581
8.05,1893.182,683.70,208.9912,29.9, -,8.148581
8.10,1902.34,682.90,208.1203,29.9, -,8.148581
8.15,1912.654,682.00,208.338,29.9, -,8.148581
8.20,1921.83,681.20,207.4672,29.9, -,8.148581
8.25,1932.164,680.30,205.5513,29.9, -,8.148581
8.30,1941.359,679.50,204.6659,29.9, -,8.148581
8.35,1951.715,678.60,203.8096,29.9, -,8.148581
8.40,1962.08,677.70,204.0273,29.9, -,8.148581
8.45,1971.304,676.90,203.1419,29.9, -,8.148581
8.50,1981.691,676.00,203.3596,29.9, -,8.148581
8.55,1992.09,675.10,203.5774,29.9, -,8.168028
8.60,2001.342,674.30,202.692,29.9, -,8.168028
8.65,2010.603,673.50,200.7326,29.9, -,8.168028
8.70,2019.873,672.70,198.7586,29.9, -,8.168028
8.75,2029.152,671.90,197.8733,29.9, -,8.168028
8.80,2039.602,671.00,198.091,29.9, -,8.168028
8.85,2047.738,670.30,197.1766,29.9, -,8.168028
8.90,2058.208,669.40,197.3943,29.9, -,8.168028
8.95,2067.524,668.60,196.4944,29.9, -,8.168028
9.00,2076.849,667.80,195.5945,29.9, -,8.168028
9.05,2087.351,666.90,195.7977,29.9, -,8.168028
9.10,2096.696,666.10,193.8092,29.9, -,8.168028
9.15,2106.049,665.30,193.9979,29.9, -,8.168028
9.20,2115.412,664.50,193.0835,29.9, -,8.168028
9.25,2123.612,663.80,192.1546,29.9, -,8.168028
9.30,2132.991,663.00,191.2402,29.9, -,8.168028
9.35,2142.38,662.20,191.4289,29.9, -,8.168028
9.40,2151.778,661.40,190.529,29.9, -,8.168028
9.45,2160.009,660.70,188.497,29.9, -,8.168028
9.50,2170.603,659.80,189.8033,29.9, -,8.148581
9.55,2178.85,659.10,187.7568,29.9, -,8.148581
9.60,2188.284,658.30,186.8424,29.9, -,8.148581
9.65,2196.546,657.60,185.899,29.9, -,8.148581
9.70,2205.998,656.80,186.0731,29.9, -,8.148581
9.75,2214.275,656.10,185.1297,29.9, -,8.148581
9.80,2223.744,655.30,185.3039,29.9, -,8.148581
9.85,2232.037,654.60,183.2429,29.9, -,8.148581
9.90,2241.523,653.80,184.5201,29.9, -,8.148581
9.95,2249.832,653.10,182.4591,29.9, -,8.148581
10.00,2259.336,652.30,182.6478,29.9, -,8.148581
10.05,2268.85,651.50,182.8219,29.9, -,8.148581
10.10,2277.182,650.80,180.7609,29.9, -,8.148581
10.15,2285.521,650.10,179.803,29.9, -,8.148581
10.20,2293.868,649.40,178.845,29.9, -,8.148581
10.25,2302.222,648.70,177.8871,29.9, -,8.148581
10.30,2310.583,648.00,178.0467,29.9, -,8.148581
10.35,2320.148,647.20,178.2354,29.9, -,8.148581
10.40,2328.525,646.50,177.2775,29.9, -,8.148581
10.45,2336.909,645.80,176.305,29.9, -,8.148581
10.50,2345.301,645.10,176.4647,29.9, -,8.148581
10.55,2353.699,644.40,174.3746,29.9, -,8.168028
10.60,2362.106,643.70,174.5343,29.9, -,8.168028
10.65,2370.52,643.00,173.5618,29.9, -,8.168028
10.70,2378.942,642.30,173.7215,29.9, -,8.168028
10.75,2387.37,641.60,172.749,29.9, -,8.168028
10.80,2395.806,640.90,172.9087,29.9, -,8.168028
10.85,2404.25,640.20,171.9362,29.9, -,8.168028
10.90,2412.701,639.50,172.0959,29.9, -,8.168028
10.95,2419.95,638.90,169.9768,29.9, -,8.168028
11.00,2428.416,638.20,170.1219,29.9, -,8.168028
11.05,2436.888,637.50,169.135,29.9, -,8.168028
11.10,2445.368,636.80,168.148,29.9, -,8.168028
11.15,2452.643,636.20,167.132,29.9, -,8.168028
11.20,2461.137,635.50,167.2771,29.9, -,8.168028
11.25,2468.424,634.90,166.2611,29.9, -,8.168028
11.30,2476.932,634.20,166.4063,29.9, -,8.168028
11.35,2485.448,633.50,166.5514,29.9, -,8.168028
11.40,2492.753,632.90,164.3888,29.9, -,8.168028
11.45,2500.064,632.30,163.3728,29.9, -,8.168028
11.50,2509.821,631.50,164.6791,29.9, -,8.168028
