Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
s,m,mbar,m/s,degC,,V
0.00,-5.225335E-05,866.80,0,29.8, -,8.051342
0.05,2.832814,866.50,2.699657,29.8, -,8.051342
0.10,4.722025,866.30,4.499428,29.8, -,8.051342
0.15,7.556216,866.00,7.199085,29.8, -,8.051342
0.20,9.446311,865.80,8.998857,29.8, -,8.051342
0.25,14.17281,865.30,13.49829,29.8, -,8.051342
0.30,17.95525,864.90,17.09783,29.8, -,8.051342
0.35,20.79373,864.60,19.79748,29.8, -,8.051342
0.40,24.57865,864.20,23.39703,29.8, -,8.051342
0.45,31.2064,863.50,29.71074,29.8, -,8.051342
0.50,34.99581,863.10,33.3248,29.8, -,8.051342
0.55,39.73428,862.60,37.83874,29.7, -,8.070789
0.60,45.42314,862.00,43.25257,29.7, -,8.070789
0.65,53.01347,861.20,50.48069,29.7, -,8.070789
0.70,57.76041,860.70,54.99463,29.7, -,8.070789
0.75,64.40998,860.00,61.32285,29.7, -,8.070789
0.80,70.11278,859.40,66.7512,29.7, -,8.070789
0.85,78.67359,858.50,74.90823,29.7, -,8.070789
0.90,84.38445,857.90,80.35108,29.7, -,8.070789
0.95,90.09913,857.30,85.79395,29.7, -,8.070789
1.00,96.77007,856.60,92.1512,29.7, -,8.070789
1.05,106.3074,855.60,101.2371,29.7, -,8.070789
1.10,114.8985,854.70,106.7235,29.7, -,8.070789
1.15,125.4093,853.60,114.9386,29.7, -,8.070789
1.20,134.9739,852.60,121.3539,29.7, -,8.070789
1.25,145.5052,851.50,129.5835,29.7, -,8.070789
1.30,155.0888,850.50,134.2136,29.7, -,8.070789
1.35,165.6411,849.40,140.6579,29.7, -,8.070789
1.40,175.244,848.40,147.1023,29.7, -,8.070789
1.45,185.818,847.30,153.5757,29.7, -,8.070789
1.50,195.4401,846.30,156.4205,29.7, -,8.051342
1.55,206.9989,845.10,163.8082,29.7, -,8.051342
1.60,218.5705,843.90,170.3106,29.7, -,8.051342
1.65,232.0882,842.50,177.771,29.7, -,8.051342
1.70,244.6564,841.20,182.5171,29.7, -,8.051342
1.75,259.1778,839.70,191.8353,29.7, -,8.051342
1.80,270.8102,838.50,196.5815,29.7, -,8.051342
1.85,284.3984,837.10,204.0999,29.7, -,8.051342
1.90,298.0045,835.70,208.9041,29.7, -,8.051342
1.95,315.5255,833.90,220.1527,29.7, -,8.051342
2.00,330.1499,832.40,228.6435,29.7, -,8.051342
2.05,346.7501,830.70,238.0923,29.7, -,8.051342
2.10,361.4201,829.20,242.9837,29.7, -,8.051342
2.15,378.0722,827.50,250.6617,29.7, -,8.051342
2.20,395.7338,825.70,257.4689,29.7, -,8.051342
2.25,418.3469,823.40,269.8931,29.7, -,8.051342
2.30,436.0804,821.60,276.7584,29.7, -,8.051342
2.35,457.7963,819.40,288.3118,29.7, -,8.051342
2.40,501.3715,815.00,319.7642,29.7, -,8.051342
2.45,600.116,805.10,404.6583,29.7, -,8.051342
2.50,742.463,791.00,530.1488,29.7, -,8.051342
2.55,853.9195,780.10,627.1333,29.7, -,8.051342
2.60,917.8799,773.90,677.0479,29.7, -,8.051342
2.65,950.0165,770.80,696.6422,29.7, -,8.051342
2.70,886.8795,776.90,623.6353,29.7, -,8.051342
2.75,769.9551,788.30,500.3074,29.7, -,8.051342
2.80,733.3156,791.90,451.5829,29.7, -,8.051342
2.85,729.2532,792.30,436.6332,29.7, -,8.051342
2.90,725.192,792.70,419.8257,29.7, -,8.051342
2.95,719.1038,793.30,401.0732,29.7, -,8.051342
3.00,714.033,793.80,379.5486,29.7, -,8.051342
3.05,719.1038,793.30,370.4481,29.7, -,8.051342
3.10,728.2375,792.40,363.3361,29.7, -,8.051342
3.15,743.4796,790.90,363.8731,29.7, -,8.051342
3.20,756.7089,789.60,360.6074,29.7, -,8.051342
3.25,774.0341,787.90,360.2881,29.7, -,8.051342
3.30,789.3467,786.40,353.3358,29.7, -,8.051342
3.35,802.6373,785.10,349.0976,29.7, -,8.051342
3.40,812.8725,784.10,338.1683,29.7, -,8.051342
3.45,824.1432,783.00,307.4126,29.7, -,8.051342
3.50,837.4799,781.70,226.0745,29.7, -,8.070789
3.55,852.8909,780.20,105.185,29.7, -,8.070789
3.60,865.2371,779.00,10.79863,29.7, -,8.070789
3.65,878.6292,777.70,-37.35977,29.7, -,8.070789
3.70,889.9757,776.60,-57.15725,29.7, -,8.070789
3.75,903.4014,775.30,15.76251,29.7, -,8.070789
3.80,915.8107,774.10,138.9307,29.7, -,8.070789
3.85,930.3076,772.70,187.6262,29.7, -,8.070789
3.90,942.7507,771.50,203.3451,29.7, -,8.070789
3.95,956.2483,770.20,220.0656,29.7, -,8.070789
4.00,968.7242,769.00,237.744,29.7, -,8.070789
4.05,981.2158,767.80,254.479,29.7, -,8.070789
4.10,992.6801,766.70,260.5605,29.7, -,8.070789
4.15,1005.202,765.50,263.7971,29.7, -,8.070789
4.20,1016.694,764.40,260.2266,29.7, -,8.070789
4.25,1031.341,763.00,261.5764,29.7, -,8.070789
4.30,1041.815,762.00,255.045,29.7, -,8.070789
4.35,1056.499,760.60,254.4354,29.7, -,8.070789
4.40,1069.102,759.40,253.7823,29.7, -,8.070789
4.45,1082.774,758.10,257.048,29.7, -,8.070789
4.50,1094.357,757.00,257.3383,29.7, -,8.070789
4.55,1107.009,755.80,256.6852,29.7, -,8.070789
4.60,1117.564,754.80,252.0696,29.7, -,8.070789
4.65,1131.304,753.50,253.4049,29.7, -,8.070789
4.70,1142.944,752.40,251.7358,29.7, -,8.070789
4.75,1156.719,751.10,254.0435,29.7, -,8.070789
4.80,1167.328,750.10,251.3584,29.7, -,8.070789
4.85,1180.074,748.90,251.6777,29.7, -,8.070789
4.90,1191.772,747.80,249.0216,29.7, -,8.070789
4.95,1204.55,746.60,249.3409,29.7, -,8.070789
5.00,1217.344,745.40,248.6587,29.7, -,8.070789
5.05,1230.155,744.20,248.978,29.7, -,8.070789
5.10,1240.844,743.20,247.2509,29.7, -,8.070789
5.15,1252.616,742.10,247.5411,29.7, -,8.070789
5.20,1265.472,740.90,247.8605,29.7, -,8.070789
5.25,1278.346,739.70,249.1812,29.7, -,8.070789
5.30,1290.163,738.60,246.4816,29.7, -,8.070789
