Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,7.77947E-05,915.70,0,100.22, -,8.304162
0.05,5.927183,915.50,5.666667,100.22, -,8.304162
0.10,8.890224,915.40,8.476191,100.22, -,8.304162
0.15,17.78454,915.10,16.95238,100.22, -,8.304162
0.20,29.64428,914.70,28.23809,100.22, -,8.304162
0.25,41.51004,914.30,39.52381,100.22, -,8.304162
0.30,62.28432,913.60,59.28571,100.22, -,8.304162
0.35,86.04137,912.80,81.90476,100.22, -,8.304162
0.40,115.7618,911.80,110.1905,100.22, -,8.304162
0.45,145.5087,910.80,138.5238,100.22, -,8.304162
0.50,190.1787,909.30,181.0476,100.22, -,8.304162
0.55,214.0267,908.50,203.7619,100.22, -,8.304162
0.60,231.9234,907.90,220.8095,100.22, -,8.304162
0.65,234.9084,907.80,223.6667,100.22, -,8.304162
0.70,225.958,908.10,215.1429,100.22, -,8.304162
0.75,222.9739,908.20,212.2857,100.22, -,8.304162
0.80,228.9406,908.00,217.9524,100.22, -,8.304162
0.85,243.8611,907.50,232.1429,100.22, -,8.304162
0.90,273.7221,906.50,260.5714,100.22, -,8.304162
0.95,300.6206,905.60,286.1905,100.22, -,8.304162
1.00,324.5475,904.80,309,100.22, -,8.304162
1.05,348.4916,904.00,331.8095,100.22, -,8.304162
1.10,384.4408,902.80,360.381,100.22, -,8.304162
1.15,414.4277,901.80,386.1429,100.22, -,8.304162
1.20,459.4586,900.30,420.5714,100.22, -,8.304162
1.25,507.5578,898.70,455.0952,100.22, -,8.304162
1.30,555.7283,897.10,489.6667,100.22, -,8.304162
1.35,600.9503,895.60,512.9524,100.22, -,8.304162
1.40,637.1705,894.40,524.8095,100.22, -,8.304162
1.45,667.3854,893.40,525.2857,100.22, -,8.304162
1.50,706.7072,892.10,534.381,100.22, -,8.284714
1.55,740.0137,891.00,523.5714,100.22, -,8.284714
1.60,785.4865,889.50,544.1429,100.22, -,8.284714
1.65,827.9844,888.10,567.5714,100.22, -,8.284714
1.70,870.5349,886.70,605.2381,100.22, -,8.284714
1.75,907.0513,885.50,648.5238,100.22, -,8.284714
1.80,943.6078,884.30,686.1905,100.22, -,8.284714
1.85,980.2046,883.10,715.381,100.22, -,8.284714
1.90,1022.95,881.70,741.9048,100.22, -,8.284714
1.95,1059.634,880.50,748.4286,100.22, -,8.284714
2.00,1099.42,879.20,760.7143,100.22, -,8.284714
2.05,1133.124,878.10,770,100.22, -,8.284714
2.10,1176.067,876.70,788.0952,100.22, -,8.284714
2.15,1209.849,875.60,786.0476,100.22, -,8.284714
2.20,1252.891,874.20,798.4762,100.22, -,8.284714
2.25,1292.909,872.90,793.6667,100.22, -,8.284714
2.30,1332.977,871.60,786,100.22, -,8.284714
2.35,1366.917,870.50,772.4762,100.22, -,8.284714
2.40,1403.983,869.30,764.7143,100.22, -,8.284714
2.45,1437.996,868.20,762.619,100.22, -,8.284714
2.50,1481.337,866.80,775.1429,100.22, -,8.284714
2.55,1515.429,865.70,770.1905,100.22, -,8.304162
2.60,1555.765,864.40,776.9048,100.22, -,8.304162
2.65,1589.936,863.30,766.1429,100.22, -,8.304162
2.70,1627.252,862.10,761.1905,100.22, -,8.304162
2.75,1661.495,861.00,753.2857,100.22, -,8.304162
2.80,1702.009,859.70,757.0952,100.22, -,8.304162
2.85,1733.209,858.70,752,100.22, -,8.304162
2.90,1773.811,857.40,755.8095,100.22, -,8.304162
2.95,1808.208,856.30,747.8571,100.22, -,8.304162
3.00,1848.902,855.00,751.6667,100.22, -,8.304162
3.05,1883.375,853.90,746.5714,100.22, -,8.304162
3.10,1924.165,852.60,753.3333,100.22, -,8.304162
3.15,1955.574,851.60,742.3333,100.22, -,8.304162
3.20,1993.304,850.40,746.0952,100.22, -,8.304162
3.25,2027.929,849.30,738.0952,100.22, -,8.304162
3.30,2065.743,848.10,736,100.22, -,8.304162
3.35,2097.288,847.10,727.9048,100.22, -,8.304162
3.40,2135.179,845.90,731.6667,100.22, -,8.304162
3.45,2169.954,844.80,729.4762,100.22, -,8.304162
3.50,2207.932,843.60,733.2857,100.22, -,8.284714
3.55,2239.612,842.60,722.1905,100.22, -,8.284714
3.60,2277.668,841.40,725.9524,100.22, -,8.284714
3.65,2309.416,840.40,717.7619,100.22, -,8.284714
3.70,2347.554,839.20,721.5714,100.22, -,8.284714
3.75,2379.369,838.20,716.3333,100.22, -,8.284714
3.80,2417.589,837.00,720.0952,100.22, -,8.284714
3.85,2446.283,836.10,708.8571,100.22, -,8.284714
3.90,2481.385,835.00,712.5714,100.22, -,8.284714
3.95,2516.526,833.90,707.381,100.22, -,8.284714
4.00,2554.905,832.70,711.1905,100.22, -,8.284714
4.05,2586.921,831.70,702.9048,100.22, -,8.284714
4.10,2622.176,830.60,703.6667,100.22, -,8.284714
4.15,2651.047,829.70,692.2857,100.22, -,8.284714
4.20,2689.583,828.50,699.0952,100.22, -,8.284714
4.25,2718.516,827.60,690.7143,100.22, -,8.284714
4.30,2753.911,826.50,691.4286,100.22, -,8.284714
4.35,2786.121,825.50,686.0952,100.22, -,8.284714
4.40,2818.364,824.50,686.7619,100.22, -,8.284714
4.45,2850.638,823.50,681.381,100.22, -,8.284714
4.50,2886.175,822.40,682.1429,100.22, -,8.284714
4.55,2915.281,821.50,673.6667,100.22, -,8.304162
4.60,2947.651,820.50,674.2857,100.22, -,8.304162
4.65,2980.052,819.50,668.9048,100.22, -,8.304162
4.70,3015.73,818.40,672.6667,100.22, -,8.304162
4.75,3044.951,817.50,664.1429,100.22, -,8.304162
4.80,3080.7,816.40,667.9048,100.22, -,8.304162
4.85,3109.979,815.50,659.4286,100.22, -,8.304162
4.90,3142.542,814.50,663.0952,100.22, -,8.304162
4.95,3171.876,813.60,657.619,100.22, -,8.304162
5.00,3207.764,812.50,658.3333,100.22, -,8.304162
5.05,3237.157,811.60,649.7619,100.22, -,8.304162
5.10,3273.116,810.50,653.5238,100.22, -,8.304162
5.15,3302.568,809.60,648,100.22, -,8.304162
5.20,3332.044,808.70,648.619,100.22, -,8.304162
5.25,3361.549,807.80,640,100.22, -,8.304162
5.30,3394.362,806.80,643.6667,100.22, -,8.304162
5.35,3423.922,805.90,638.0952,100.22, -,8.304162
5.40,3460.089,804.80,641.8571,100.22, -,8.304162
5.45,3489.707,803.90,639.3333,100.22, -,8.304162
5.50,3519.355,803.00,636.8571,100.22, -,8.284714
5.55,3545.73,802.20,628.0952,100.22, -,8.284714
5.60,3578.729,801.20,631.8095,100.22, -,8.284714
5.65,3608.457,800.30,629.3333,100.22, -,8.284714
5.70,3641.52,799.30,629.9524,100.22, -,8.284714
5.75,3667.994,798.50,621.1429,100.22, -,8.284714
5.80,3701.116,797.50,624.8571,100.22, -,8.284714
5.85,3727.639,796.70,616.0476,100.22, -,8.284714
5.90,3760.822,795.70,619.7619,100.22, -,8.284714
5.95,3790.717,794.80,617.2381,100.22, -,8.284714
6.00,3820.637,793.90,617.7619,100.22, -,8.284714
6.05,3847.259,793.10,608.9048,100.22, -,8.284714
6.10,3877.231,792.20,609.4286,100.22, -,8.284714
6.15,3903.897,791.40,600.5714,100.22, -,8.284714
6.20,3933.923,790.50,601.1429,100.22, -,8.284714
6.25,3960.636,789.70,598.4762,100.22, -,8.284714
6.30,3990.714,788.80,599.0476,100.22, -,8.284714
6.35,4017.473,788.00,593.2857,100.22, -,8.284714
6.40,4047.604,787.10,593.8571,100.22, -,8.284714
6.45,4074.41,786.30,584.9524,100.22, -,8.284714
6.50,4104.592,785.40,585.5238,100.22, -,8.284714
6.55,4128.088,784.70,579.6667,100.22, -,8.284714
6.60,4158.322,783.80,583.381,100.22, -,8.284714
6.65,4185.219,783.00,577.5714,100.22, -,8.284714
6.70,4215.506,782.10,578.0952,100.22, -,8.284714
6.75,4239.08,781.40,569.0476,100.22, -,8.284714
6.80,4269.417,780.50,572.7619,100.22, -,8.284714
6.85,4293.033,779.80,563.7143,100.22, -,8.284714
6.90,4323.418,778.90,567.4286,100.22, -,8.284714
6.95,4347.073,778.20,558.3333,100.22, -,8.284714
7.00,4377.511,777.30,558.8571,100.22, -,8.284714
7.05,4404.59,776.50,556.1905,100.22, -,8.284714
7.10,4431.692,775.70,556.6667,100.22, -,8.284714
7.15,4458.816,774.90,553.9524,100.22, -,8.284714
7.20,4485.965,774.10,554.4286,100.22, -,8.284714
7.25,4509.736,773.40,548.4286,100.22, -,8.284714
7.30,4536.928,772.60,548.9048,100.22, -,8.284714
7.35,4564.141,771.80,546.1429,100.22, -,8.284714
7.40,4591.376,771.00,546.619,100.22, -,8.284714
7.45,4618.634,770.20,543.8571,100.22, -,8.284714
7.50,4645.916,769.40,544.3333,100.22, -,8.304162
7.55,4669.806,768.70,538.3333,100.22, -,8.304162
7.60,4697.131,767.90,541.9524,100.22, -,8.304162
7.65,4721.059,767.20,535.9524,100.22, -,8.304162
7.70,4748.427,766.40,536.381,100.22, -,8.304162
7.75,4772.393,765.70,530.3333,100.22, -,8.304162
7.80,4799.804,764.90,534,100.22, -,8.304162
7.85,4823.809,764.20,527.9524,100.22, -,8.304162
7.90,4854.698,763.30,534.9048,100.22, -,8.304162
7.95,4878.743,762.60,528.8571,100.22, -,8.304162
8.00,4902.804,761.90,529.2381,100.22, -,8.304162
8.05,4926.885,761.20,523.1905,100.22, -,8.304162
8.10,4954.428,760.40,523.619,100.22, -,8.304162
8.15,4975.101,759.80,517.4762,100.22, -,8.304162
8.20,5002.685,759.00,517.9524,100.22, -,8.304162
8.25,5026.84,758.30,515.0952,100.22, -,8.304162
8.30,5051.014,757.60,515.4762,100.22, -,8.304162
8.35,5075.203,756.90,512.619,100.22, -,8.304162
8.40,5099.413,756.20,509.7619,100.22, -,8.304162
8.45,5123.641,755.50,506.9048,100.22, -,8.304162
8.50,5151.352,754.70,507.3333,100.22, -,8.304162
8.55,5172.152,754.10,501.1429,100.22, -,8.284714
8.60,5199.904,753.30,504.8095,100.22, -,8.284714
