Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,-6.334705E-05,915.50,0,102.56, -,8.245819
0.05,5.92809,915.30,5.666667,102.56, -,8.245819
0.10,20.75216,914.80,19.76191,102.56, -,8.245819
0.15,32.61505,914.40,31.04762,102.56, -,8.245819
0.20,41.51725,914.10,39.52381,102.56, -,8.245819
0.25,56.35707,913.60,53.66667,102.56, -,8.245819
0.30,74.17283,913.00,70.61905,102.56, -,8.245819
0.35,112.8074,911.70,107.4286,102.56, -,8.245819
0.40,142.5569,910.70,135.7619,102.56, -,8.245819
0.45,175.313,909.60,166.9524,102.56, -,8.245819
0.50,205.1182,908.60,195.3333,102.56, -,8.245819
0.55,231.9645,907.70,220.9048,102.56, -,8.245819
0.60,240.918,907.40,229.4286,102.56, -,8.245819
0.65,240.918,907.40,229.4286,102.56, -,8.245819
0.70,228.9811,907.80,218.0476,102.56, -,8.245819
0.75,231.9645,907.70,220.9048,102.56, -,8.245819
0.80,246.889,907.20,235.0952,102.56, -,8.245819
0.85,264.8083,906.60,252.1429,102.56, -,8.245819
0.90,285.7236,905.90,272.0476,102.56, -,8.245819
0.95,324.6051,904.60,309.0952,102.56, -,8.245819
1.00,351.5475,903.70,334.7619,102.56, -,8.245819
1.05,384.5091,902.60,366.1429,102.56, -,8.245819
1.10,417.5014,901.50,391.9048,102.56, -,8.245819
1.15,456.5348,900.20,415,102.56, -,8.245819
1.20,504.6402,898.60,449.5238,102.56, -,8.245819
1.25,555.8256,896.90,489.8095,102.56, -,8.245819
1.30,601.0557,895.40,518.7619,102.56, -,8.245819
1.35,637.2844,894.20,536.3333,102.56, -,8.245819
1.40,673.5525,893.00,534.0476,102.56, -,8.245819
1.45,709.86,891.80,540.2857,102.56, -,8.245819
1.50,743.1757,890.70,540.8095,102.56, -,8.245819
1.55,785.6273,889.30,552.8571,102.56, -,8.245819
1.60,831.1705,887.80,570.6667,102.56, -,8.245819
1.65,873.7325,886.40,602.6667,102.56, -,8.245819
1.70,910.259,885.20,637.4762,102.56, -,8.245819
1.75,946.8256,884.00,683.6667,102.56, -,8.245819
1.80,983.4324,882.80,715.6667,102.56, -,8.245819
1.85,1026.19,881.40,742.1905,102.56, -,8.245819
1.90,1065.945,880.10,763,102.56, -,8.245819
1.95,1105.745,878.80,781,102.56, -,8.245819
2.00,1139.46,877.70,776.0476,102.56, -,8.245819
2.05,1179.349,876.40,788.381,102.56, -,8.245819
2.10,1216.213,875.20,792.0952,102.56, -,8.245819
2.15,1259.272,873.80,801.6667,102.56, -,8.245819
2.20,1296.225,872.60,799.6667,102.56, -,8.245819
2.25,1336.303,871.30,792.0476,102.56, -,8.245819
2.30,1370.252,870.20,775.619,102.56, -,8.245819
2.35,1407.328,869.00,767.8571,102.56, -,8.245819
2.40,1444.446,867.80,768.6667,102.56, -,8.245819
2.45,1484.704,866.50,772.4762,102.56, -,8.245819
2.50,1521.908,865.30,773.3333,102.56, -,8.245819
2.55,1559.155,864.10,777.0952,102.56, -,8.265266
2.60,1596.441,862.90,772.1905,102.56, -,8.265266
2.65,1633.772,861.70,764.381,102.56, -,8.265266
2.70,1671.144,860.50,759.4286,102.56, -,8.265266
2.75,1708.559,859.30,760.2381,102.56, -,8.265266
2.80,1742.892,858.20,758.1429,102.56, -,8.265266
2.85,1780.388,857.00,759,102.56, -,8.265266
2.90,1814.796,855.90,751.0476,102.56, -,8.265266
2.95,1855.508,854.60,751.9524,102.56, -,8.265266
3.00,1889.994,853.50,746.9048,102.56, -,8.265266
3.05,1930.797,852.20,753.6667,102.56, -,8.265266
3.10,1965.363,851.10,748.5714,102.56, -,8.265266
3.15,2003.11,849.90,749.4286,102.56, -,8.265266
3.20,2034.601,848.90,738.4286,102.56, -,8.265266
3.25,2072.429,847.70,739.2857,102.56, -,8.265266
3.30,2107.144,846.60,734.1429,102.56, -,8.265266
3.35,2141.894,845.50,734.9048,102.56, -,8.265266
3.40,2179.845,844.30,735.7143,102.56, -,8.265266
3.45,2214.672,843.20,733.5714,102.56, -,8.265266
3.50,2249.537,842.10,728.4286,102.56, -,8.245819
3.55,2284.437,841.00,726.2381,102.56, -,8.245819
3.60,2316.197,840.00,721,102.56, -,8.245819
3.65,2354.35,838.80,721.8095,102.56, -,8.245819
3.70,2389.361,837.70,719.5714,102.56, -,8.245819
3.75,2424.412,836.60,717.381,102.56, -,8.245819
3.80,2456.307,835.60,712.1429,102.56, -,8.245819
3.85,2491.427,834.50,712.8571,102.56, -,8.245819
3.90,2526.584,833.40,710.619,102.56, -,8.245819
3.95,2561.781,832.30,711.381,102.56, -,8.245819
4.00,2597.014,831.20,706.1905,102.56, -,8.245819
4.05,2629.077,830.20,703.8571,102.56, -,8.245819
4.10,2661.171,829.20,695.5714,102.56, -,8.245819
4.15,2696.512,828.10,696.3333,102.56, -,8.245819
4.20,2728.673,827.10,691,102.56, -,8.245819
4.25,2764.085,826.00,694.7143,102.56, -,8.245819
