UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Jun 12 2025 18:32:16.000 UTC,1749771136.0,2928.5,31.04431,-103.53509,32,3,0,0,107,3,6,6,9,-42,4.097,0.5,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:16.199 UTC,1749771136.199,2928.4,31.04431,-103.53509,32,3,0,0,-72,3,4,9,8,-42,4.097,0.4,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:16.299 UTC,1749771136.299,2928.4,31.04431,-103.53509,32,3,0,0,108,3,4,8,9,-42,4.12,0.4,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:16.399 UTC,1749771136.399,2928.4,31.04431,-103.53509,32,3,0,0,-71,3,4,10,8,-42,4.12,0.4,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:16.499 UTC,1749771136.499,2928.4,31.04431,-103.53509,32,3,0,0,-90,3,6,9,7,-42,4.12,0.4,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:16.599 UTC,1749771136.599,2928.3,31.04431,-103.53509,32,3,0,0,0,3,6,9,7,-42,4.12,0.3,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:17.000 UTC,1749771137.0,2928.3,31.04431,-103.53509,32,3,0,0,107,3,5,9,8,-42,4.12,0.3,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:17.199 UTC,1749771137.199,2928.2,31.04431,-103.53509,32,3,0,0,-144,3,6,7,9,-42,4.12,0.2,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:17.399 UTC,1749771137.399,2928.2,31.04431,-103.53509,32,3,0,0,36,3,5,8,9,-42,4.12,0.2,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:17.499 UTC,1749771137.499,2928.2,31.04431,-103.53509,32,3,0,0,146,3,5,8,9,-42,4.12,0.2,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:17.899 UTC,1749771137.899,2928.1,31.04431,-103.53509,32,3,0,0,145,3,3,9,10,-42,4.12,0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:18.000 UTC,1749771138.0,2928.1,31.04431,-103.53509,32,3,0,0,144,3,3,9,10,-42,4.12,0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:18.199 UTC,1749771138.199,2928.1,31.04431,-103.53509,32,3,0,0,-43,3,3,9,10,-42,4.12,0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:18.299 UTC,1749771138.299,2928.1,31.04431,-103.53509,32,3,0,0,156,3,3,9,10,-42,4.12,0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:18.399 UTC,1749771138.399,2928.0,31.04431,-103.53509,32,3,0,0,-75,3,3,9,10,-42,4.12,0.0,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:18.499 UTC,1749771138.499,2928.0,31.04431,-103.53509,32,3,0,0,32,3,3,10,9,-42,4.12,0.0,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:18.599 UTC,1749771138.599,2928.0,31.04431,-103.53509,32,3,0,0,-114,3,3,9,10,-42,4.12,0.0,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:18.699 UTC,1749771138.699,2928.0,31.04431,-103.53509,32,3,0,0,-21,3,3,9,10,-42,4.12,-0.0,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:18.799 UTC,1749771138.799,2928.0,31.04431,-103.53509,32,3,0,0,136,3,3,10,9,-42,4.12,-0.0,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:19.000 UTC,1749771139.0,2928.0,31.04431,-103.53509,32,3,0,0,72,3,3,10,9,-42,4.118,-0.0,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:19.199 UTC,1749771139.199,2928.0,31.04431,-103.53509,32,3,0,0,145,3,3,9,10,-42,4.118,-0.0,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:19.399 UTC,1749771139.399,2927.9,31.04431,-103.53509,32,3,0,0,-158,3,3,9,10,-42,4.118,-0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:19.499 UTC,1749771139.499,2927.9,31.04431,-103.53509,32,3,0,0,135,3,3,9,10,-42,4.118,-0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:19.599 UTC,1749771139.599,2927.9,31.04431,-103.53509,32,3,0,0,-143,3,3,9,10,-42,4.118,-0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:19.799 UTC,1749771139.799,2927.9,31.04431,-103.53509,32,3,0,0,147,3,3,10,9,-42,4.118,-0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:20.000 UTC,1749771140.0,2927.9,31.04431,-103.53509,32,3,0,0,-45,3,3,10,9,-42,4.118,-0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:20.199 UTC,1749771140.199,2927.9,31.04431,-103.53509,32,3,0,0,-32,3,3,10,9,-42,4.118,-0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:20.299 UTC,1749771140.299,2927.9,31.04431,-103.53509,32,3,0,0,147,3,3,11,8,-42,4.118,-0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:20.399 UTC,1749771140.399,2927.9,31.04431,-103.53509,32,3,0,0,-45,3,3,10,9,-42,4.118,-0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:20.499 UTC,1749771140.499,2927.9,31.04431,-103.53509,32,3,0,0,158,3,3,11,8,-42,4.118,-0.1,FALSE,FALSE,FALSE,0.0000
Jun 12 2025 18:32:20.599 UTC,1749771140.599,2927.8,31.04431,-103.53509,32,3,0,0,-23,3,3,11,8,-42,4.118,-0.2,FALSE,FALSE,FALSE,0.0000
