Row,x5_mph,x6_mph,x7_mph,x8_mph,x9_mph,x10_mph,x11_mph,x12_mph,x13_mph,x14_mph,x15_mph,x16_mph,x17_mph,x18_mph,x19_mph,x20_mph
20°C,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875,1.1875,1.09375,1.09375,NaN,NaN
21°C,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875,1.1875,1.09375,1.09375,NaN
22°C,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875,1.1875,1.09375,1.09375,NaN
23°C,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875,1.1875,1.09375,1.09375
24°C,1.5625,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875,1.1875,1.09375,1.09375
25°C,1.5625,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875,1.1875,1.09375
26°C,1.5625,1.5625,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875,1.1875,1.09375
27°C,1.5625,1.5625,1.5625,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875,1.1875
28°C,1.5625,1.5625,1.5625,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875,1.1875
29°C,1.5625,1.5625,1.5625,1.5625,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875
30°C,1.5625,1.5625,1.5625,1.5625,1.5625,1.375,1.375,1.375,1.375,1.375,1.375,1.375,1.1875,1.1875,1.1875,1.1875
